timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,PA,Adams,42001,25334,8698,308,59.94,77.31
2024-11-05T15-30-22,PA,Allegheny,42003,275245,408543,6624,92.44,77.31
2024-11-05T15-30-22,PA,Armstrong,42005,28084,8442,268,98.0,77.31
2024-11-05T15-30-22,PA,Beaver,42007,20777,10408,259,33.7,77.31
2024-11-05T15-30-22,PA,Bedford,42009,19425,3829,147,85.55,77.31
2024-11-05T15-30-22,PA,Berks,42011,107045,81909,1831,97.3,77.31
2024-11-05T15-30-22,PA,Blair,42013,19619,6345,185,40.69,77.31
2024-11-05T15-30-22,PA,Bradford,42015,21577,7450,242,93.04,77.31
2024-11-05T15-30-22,PA,Bucks,42017,102477,103177,1944,51.85,77.31
2024-11-05T15-30-22,PA,Butler,42019,79147,40046,996,98.0,77.31
2024-11-05T15-30-22,PA,Cambria,42021,7270,7463,109,20.29,77.31
2024-11-05T15-30-22,PA,Cameron,42023,0,0,0,0.0,77.31
2024-11-05T15-30-22,PA,Carbon,42025,20323,7270,231,90.0,77.31
2024-11-05T15-30-22,PA,Centre,42027,34204,31481,707,82.7,77.31
2024-11-05T15-30-22,PA,Chester,42029,59116,90209,1520,47.54,77.31
2024-11-05T15-30-22,PA,Clarion,42031,14972,4529,135,97.92,77.31
2024-11-05T15-30-22,PA,Clearfield,42033,30363,9565,301,98.0,77.31
2024-11-05T15-30-22,PA,Clinton,42035,12908,5366,162,98.0,77.31
2024-11-05T15-30-22,PA,Columbia,42037,18134,7292,243,97.0,77.31
2024-11-05T15-30-22,PA,Crawford,42039,29450,12644,326,96.0,77.31
2024-11-05T15-30-22,PA,Cumberland,42041,79784,65506,1852,98.0,77.31
2024-11-05T15-30-22,PA,Dauphin,42043,44212,52662,1086,64.49,77.31
2024-11-05T15-30-22,PA,Delaware,42045,89921,138564,2272,68.25,77.31
2024-11-05T15-30-22,PA,Elk,42047,12506,4464,127,95.0,77.31
2024-11-05T15-30-22,PA,Erie,42049,28538,37173,597,48.83,77.31
2024-11-05T15-30-22,PA,Fayette,42051,41467,18703,282,98.0,77.31
2024-11-05T15-30-22,PA,Forest,42053,1897,719,24,98.0,77.31
2024-11-05T15-30-22,PA,Franklin,42055,59105,22968,715,98.0,77.31
2024-11-05T15-30-22,PA,Fulton,42057,6908,1051,34,98.0,77.31
2024-11-05T15-30-22,PA,Greene,42059,12258,4554,324,98.0,77.31
2024-11-05T15-30-22,PA,Huntingdon,42061,17561,5332,160,98.0,77.31
2024-11-05T15-30-22,PA,Indiana,42063,29111,12610,314,98.0,77.31
2024-11-05T15-30-22,PA,Jefferson,42065,18196,4696,186,98.0,77.31
2024-11-05T15-30-22,PA,Juniata,42067,8308,1489,75,98.0,77.31
2024-11-05T15-30-22,PA,Lackawanna,42069,55744,58956,808,98.0,77.31
2024-11-05T15-30-22,PA,Lancaster,42071,161481,115017,2767,98.0,77.31
2024-11-05T15-30-22,PA,Lawrence,42073,31164,15281,322,98.0,77.31
2024-11-05T15-30-22,PA,Lebanon,42075,47775,24265,660,98.0,77.31
2024-11-05T15-30-22,PA,Lehigh,42077,73801,81188,1895,83.47,77.31
2024-11-05T15-30-22,PA,Luzerne,42079,74461,51666,972,83.36,77.31
2024-11-05T15-30-22,PA,Lycoming,42081,41677,17012,497,98.0,77.31
2024-11-05T15-30-22,PA,McKean,42083,6813,2558,69,46.85,77.31
2024-11-05T15-30-22,PA,Mercer,42085,36679,19272,484,91.89,77.31
2024-11-05T15-30-22,PA,Mifflin,42087,14255,2716,109,95.0,77.31
2024-11-05T15-30-22,PA,Monroe,42089,34188,34706,717,85.6,77.31
2024-11-05T15-30-22,PA,Montgomery,42091,105486,199362,3143,59.36,77.31
2024-11-05T15-30-22,PA,Montour,42093,4790,2351,80,90.0,77.31
2024-11-05T15-30-22,PA,Northampton,42095,81562,73115,1520,96.07,77.31
2024-11-05T15-30-22,PA,Northumberland,42097,29984,12716,870,97.81,77.31
2024-11-05T15-30-22,PA,Perry,42099,16131,4058,227,81.75,77.31
2024-11-05T15-30-22,PA,Philadelphia,42101,118786,422654,6318,70.3,77.31
2024-11-05T15-30-22,PA,Pike,42103,21209,12923,276,98.0,77.31
2024-11-05T15-30-22,PA,Potter,42105,7303,1664,75,98.0,77.31
2024-11-05T15-30-22,PA,Schuylkill,42107,43838,13652,496,98.0,77.31
2024-11-05T15-30-22,PA,Snyder,42109,14592,5184,135,97.66,77.31
2024-11-05T15-30-22,PA,Somerset,42111,26216,5316,231,76.33,77.31
2024-11-05T15-30-22,PA,Sullivan,42113,2697,956,24,98.0,77.31
2024-11-05T15-30-22,PA,Susquehanna,42115,15949,5998,196,98.0,77.31
2024-11-05T15-30-22,PA,Tioga,42117,16222,5080,214,98.0,77.31
2024-11-05T15-30-22,PA,Union,42119,12594,7457,195,96.87,77.31
2024-11-05T15-30-22,PA,Venango,42121,18747,7531,223,98.0,77.31
2024-11-05T15-30-22,PA,Warren,42123,12171,5535,140,87.17,77.31
2024-11-05T15-30-22,PA,Washington,42125,74880,43830,842,98.0,77.31
2024-11-05T15-30-22,PA,Wayne,42127,19911,9100,223,98.0,77.31
2024-11-05T15-30-22,PA,Westmoreland,42129,118551,55671,1268,83.9,77.31
2024-11-05T15-30-22,PA,Wyoming,42131,10183,4656,149,98.0,77.31
2024-11-05T15-30-22,PA,York,42133,58035,51117,1024,45.13,77.31
