final_state,final_county,final_fips,final_trump_votes,final_harris_votes,final_other_votes
PA,Adams,42001,37523,18207,810
PA,Allegheny,42003,282324,429065,8344
PA,Armstrong,42005,27489,8457,424
PA,Beaver,42007,54759,38122,1241
PA,Bedford,42009,23025,4367,182
PA,Berks,42011,109736,92895,2909
PA,Blair,42013,45306,17636,653
PA,Bradford,42015,21600,8046,513
PA,Bucks,42017,187367,204712,4155
PA,Butler,42019,74359,37508,1438
PA,Cambria,42021,48085,21730,759
PA,Cameron,42023,1771,634,29
PA,Carbon,42025,21984,11212,433
PA,Centre,42027,36372,40055,1066
PA,Chester,42029,128565,182372,3565
PA,Clarion,42031,14578,4678,237
PA,Clearfield,42033,29203,9673,546
PA,Clinton,42035,11902,5502,221
PA,Columbia,42037,20098,10532,541
PA,Crawford,42039,28559,12924,521
PA,Cumberland,42041,77212,62245,2138
PA,Dauphin,42043,66408,78983,1977
PA,Delaware,42045,118532,206423,2976
PA,Elk,42047,12140,4522,244
PA,Erie,42049,66869,68286,1928
PA,Fayette,42051,41227,20444,468
PA,Forest,42053,1882,728,36
PA,Franklin,42055,57245,22422,1116
PA,Fulton,42057,6824,1085,68
PA,Greene,42059,12579,4911,179
PA,Huntingdon,42061,17061,5445,286
PA,Indiana,42063,28089,12634,475
PA,Jefferson,42065,17960,4527,337
PA,Juniata,42067,9649,2253,141
PA,Lackawanna,42069,52334,61991,1085
PA,Lancaster,42071,160209,115847,4183
PA,Lawrence,42073,29597,15978,501
PA,Lebanon,42075,46731,23932,989
PA,Lehigh,42077,84259,98288,2166
PA,Luzerne,42079,86929,64873,1519
PA,Lycoming,42081,41462,16971,821
PA,McKean,42083,14083,5098,285
PA,Mercer,42085,36143,21067,744
PA,Mifflin,42087,16670,4603,229
PA,Monroe,42089,38726,44060,1043
PA,Montgomery,42091,185460,319511,5186
PA,Montour,42093,5844,3771,156
PA,Northampton,42095,83854,85087,2001
PA,Northumberland,42097,28952,12677,654
PA,Perry,42099,18293,5950,409
PA,Philadelphia,42101,132740,603790,4847
PA,Pike,42103,19213,13019,322
PA,Potter,42105,7239,1726,99
PA,Schuylkill,42107,48871,20727,1005
PA,Snyder,42109,13983,4910,247
PA,Somerset,42111,31466,8654,423
PA,Sullivan,42113,2619,921,55
PA,Susquehanna,42115,15207,6236,309
PA,Tioga,42117,15742,4955,378
PA,Union,42119,12356,7475,284
PA,Venango,42121,18569,7585,374
PA,Warren,42123,14237,6066,347
PA,Washington,42125,72080,45088,1310
PA,Wayne,42127,18637,9191,261
PA,Westmoreland,42129,130218,72129,2350
PA,Wyoming,42131,9936,4704,218
PA,York,42133,146733,88114,3624
