timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MO,Adair,29001,6967,2918,227,100.00,100.00
2024-11-05T15-30-22,MO,Andrew,29003,7311,2138,229,100.00,100.00
2024-11-05T15-30-22,MO,Atchison,29005,2125,427,70,100.00,100.00
2024-11-05T15-30-22,MO,Audrain,29007,7622,2484,277,100.00,100.00
2024-11-05T15-30-22,MO,Barry,29009,12721,2920,303,100.00,100.00
2024-11-05T15-30-22,MO,Barton,29011,5055,726,106,100.00,100.00
2024-11-05T15-30-22,MO,Bates,29013,6402,1604,149,100.00,100.00
2024-11-05T15-30-22,MO,Benton,29015,8151,2229,256,100.00,100.00
2024-11-05T15-30-22,MO,Bollinger,29017,5247,692,122,100.00,100.00
2024-11-05T15-30-22,MO,Boone,29019,41770,45101,2159,100.00,100.00
2024-11-05T15-30-22,MO,Buchanan,29021,22432,11819,903,100.00,100.00
2024-11-05T15-30-22,MO,Butler,29023,14510,2866,282,100.00,100.00
2024-11-05T15-30-22,MO,Caldwell,29025,3601,940,106,100.00,100.00
2024-11-05T15-30-22,MO,Callaway,29027,15250,5413,633,100.00,100.00
2024-11-05T15-30-22,MO,Camden,29029,19104,5519,532,100.00,100.00
2024-11-05T15-30-22,MO,Cape Girardeau,29031,29523,9405,834,100.00,100.00
2024-11-05T15-30-22,MO,Carroll,29033,3623,754,81,100.00,100.00
2024-11-05T15-30-22,MO,Carter,29035,2467,322,29,100.00,100.00
2024-11-05T15-30-22,MO,Cass,29037,38034,19112,1318,100.00,100.00
2024-11-05T15-30-22,MO,Cedar,29039,5774,1142,153,100.00,100.00
2024-11-05T15-30-22,MO,Chariton,29041,3131,832,73,100.00,100.00
2024-11-05T15-30-22,MO,Christian,29043,37568,11822,897,100.00,100.00
2024-11-05T15-30-22,MO,Clark,29045,2616,556,94,100.00,100.00
2024-11-05T15-30-22,MO,Clay,29047,67765,58365,2691,100.00,100.00
2024-11-05T15-30-22,MO,Clinton,29049,7921,2874,257,100.00,100.00
2024-11-05T15-30-22,MO,Cole,29051,28418,10671,917,100.00,100.00
2024-11-05T15-30-22,MO,Cooper,29053,6378,2166,239,100.00,100.00
2024-11-05T15-30-22,MO,Crawford,29055,8531,1945,209,100.00,100.00
2024-11-05T15-30-22,MO,Dade,29057,3360,699,76,100.00,100.00
2024-11-05T15-30-22,MO,Dallas,29059,6665,1508,180,100.00,100.00
2024-11-05T15-30-22,MO,Daviess,29061,3074,716,103,100.00,100.00
2024-11-05T15-30-22,MO,DeKalb,29063,3744,877,128,100.00,100.00
2024-11-05T15-30-22,MO,Dent,29065,5851,1016,150,100.00,100.00
2024-11-05T15-30-22,MO,Douglas,29067,5998,1041,140,100.00,100.00
2024-11-05T15-30-22,MO,Dunklin,29069,8040,1652,185,100.00,100.00
2024-11-05T15-30-22,MO,Franklin,29071,39500,13800,1279,100.00,100.00
2024-11-05T15-30-22,MO,Gasconade,29073,6354,1413,138,100.00,100.00
2024-11-05T15-30-22,MO,Gentry,29075,2639,553,48,100.00,100.00
