timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MT,Beaverhead,30001,4139,1511,121,100.00,100.00
2024-11-05T15-30-22,MT,Big Horn,30003,2206,2118,127,100.00,100.00
2024-11-05T15-30-22,MT,Blaine,30005,1555,1387,82,100.00,100.00
2024-11-05T15-30-22,MT,Broadwater,30007,3723,930,145,100.00,100.00
2024-11-05T15-30-22,MT,Carbon,30009,4812,2370,169,100.00,100.00
2024-11-05T15-30-22,MT,Carter,30011,774,53,18,100.00,100.00
2024-11-05T15-30-22,MT,Cascade,30013,23339,13324,932,100.00,100.00
2024-11-05T15-30-22,MT,Chouteau,30015,1994,888,49,100.00,100.00
2024-11-05T15-30-22,MT,Custer,30017,4203,1417,170,100.00,100.00
2024-11-05T15-30-22,MT,Daniels,30019,787,140,20,100.00,100.00
2024-11-05T15-30-22,MT,Dawson,30021,3553,926,124,100.00,100.00
2024-11-05T15-30-22,MT,Deer Lodge,30023,2259,2487,142,100.00,100.00
2024-11-05T15-30-22,MT,Fallon,30025,1302,158,29,100.00,100.00
2024-11-05T15-30-22,MT,Fergus,30027,4945,1602,154,100.00,100.00
2024-11-05T15-30-22,MT,Flathead,30029,41539,20064,1451,100.00,100.00
2024-11-05T15-30-22,MT,Gallatin,30031,32843,35200,1742,100.00,100.00
2024-11-05T15-30-22,MT,Garfield,30033,752,34,7,100.00,100.00
2024-11-05T15-30-22,MT,Glacier,30035,1955,2986,154,100.00,100.00
2024-11-05T15-30-22,MT,Golden Valley,30037,440,67,11,100.00,100.00
2024-11-05T15-30-22,MT,Granite,30039,1507,613,46,100.00,100.00
2024-11-05T15-30-22,MT,Hill,30041,3910,2666,206,100.00,100.00
2024-11-05T15-30-22,MT,Jefferson,30043,5507,2605,211,100.00,100.00
2024-11-05T15-30-22,MT,Judith Basin,30045,1090,234,34,100.00,100.00
2024-11-05T15-30-22,MT,Lake,30047,9937,6485,428,100.00,100.00
2024-11-05T15-30-22,MT,Lewis and Clark,30049,21678,19360,1065,100.00,100.00
2024-11-05T15-30-22,MT,Liberty,30051,787,204,9,100.00,100.00
2024-11-05T15-30-22,MT,Lincoln,30053,8820,2634,298,100.00,100.00
2024-11-05T15-30-22,MT,McCone,30055,922,142,19,100.00,100.00
2024-11-05T15-30-22,MT,Madison,30057,4611,1726,135,100.00,100.00
2024-11-05T15-30-22,MT,Meagher,30059,894,245,27,100.00,100.00
2024-11-05T15-30-22,MT,Mineral,30061,2026,708,81,100.00,100.00
2024-11-05T15-30-22,MT,Missoula,30063,27670,43378,1762,100.00,100.00
2024-11-05T15-30-22,MT,Musselshell,30065,2555,369,75,100.00,100.00
2024-11-05T15-30-22,MT,Park,30067,5947,5442,336,100.00,100.00
2024-11-05T15-30-22,MT,Petroleum,30069,287,35,8,100.00,100.00
2024-11-05T15-30-22,MT,Phillips,30071,1786,368,38,100.00,100.00
2024-11-05T15-30-22,MT,Pondera,30073,2054,743,53,100.00,100.00
2024-11-05T15-30-22,MT,Powder River,30075,960,123,13,100.00,100.00
2024-11-05T15-30-22,MT,Powell,30077,2413,735,124,100.00,100.00
2024-11-05T15-30-22,MT,Prairie,30079,540,125,23,100.00,100.00
2024-11-05T15-30-22,MT,Ravalli,30081,20740,8387,673,100.00,100.00
2024-11-05T15-30-22,MT,Richland,30083,4324,748,155,100.00,100.00
2024-11-05T15-30-22,MT,Roosevelt,30085,2122,1656,107,100.00,100.00
2024-11-05T15-30-22,MT,Rosebud,30087,2469,1129,95,100.00,100.00
2024-11-05T15-30-22,MT,Sanders,30089,6088,1714,242,100.00,100.00
2024-11-05T15-30-22,MT,Sheridan,30091,1365,466,57,100.00,100.00
2024-11-05T15-30-22,MT,Silver Bow,30093,7790,9866,569,100.00,100.00
2024-11-05T15-30-22,MT,Stillwater,30095,4709,1076,132,100.00,100.00
2024-11-05T15-30-22,MT,Sweet Grass,30097,1805,510,67,100.00,100.00
2024-11-05T15-30-22,MT,Teton,30099,2612,891,75,100.00,100.00
2024-11-05T15-30-22,MT,Toole,30101,1632,355,51,100.00,100.00
2024-11-05T15-30-22,MT,Treasure,30103,384,47,16,100.00,100.00
2024-11-05T15-30-22,MT,Valley,30105,3009,961,107,100.00,100.00
2024-11-05T15-30-22,MT,Wheatland,30107,854,203,21,100.00,100.00
2024-11-05T15-30-22,MT,Wibaux,30109,454,77,12,100.00,100.00
2024-11-05T15-30-22,MT,Yellowstone,30111,51191,27956,2174,100.00,100.00
