timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WA,Adams,53001,3865,1396,0,100.00,100.00
2024-11-05T15-30-22,WA,Asotin,53003,7198,4030,0,100.00,100.00
2024-11-05T15-30-22,WA,Benton,53005,63118,35632,0,100.00,100.00
2024-11-05T15-30-22,WA,Chelan,53007,24465,17205,0,100.00,100.00
2024-11-05T15-30-22,WA,Clallam,53009,23100,24709,0,100.00,100.00
2024-11-05T15-30-22,WA,Clark,53011,130045,137977,0,100.00,100.00
2024-11-05T15-30-22,WA,Columbia,53013,1797,627,0,100.00,100.00
2024-11-05T15-30-22,WA,Cowlitz,53015,36035,22143,0,100.00,100.00
2024-11-05T15-30-22,WA,Douglas,53017,13907,7009,0,100.00,100.00
2024-11-05T15-30-22,WA,Ferry,53019,2806,1258,0,100.00,100.00
2024-11-05T15-30-22,WA,Franklin,53021,19676,11385,0,100.00,100.00
2024-11-05T15-30-22,WA,Garfield,53023,1064,299,0,100.00,100.00
2024-11-05T15-30-22,WA,Grant,53025,25186,10448,0,100.00,100.00
2024-11-05T15-30-22,WA,Grays Harbor,53027,20740,16558,0,100.00,100.00
2024-11-05T15-30-22,WA,Island,53029,23677,27931,0,100.00,100.00
2024-11-05T15-30-22,WA,Jefferson,53031,7312,17201,0,100.00,100.00
2024-11-05T15-30-22,WA,King,53033,314226,797248,0,100.00,100.00
2024-11-05T15-30-22,WA,Kitsap,53035,66682,87731,0,100.00,100.00
2024-11-05T15-30-22,WA,Kittitas,53037,16394,9662,0,100.00,100.00
2024-11-05T15-30-22,WA,Klickitat,53039,7625,5691,0,100.00,100.00
2024-11-05T15-30-22,WA,Lewis,53041,31084,13751,0,100.00,100.00
2024-11-05T15-30-22,WA,Lincoln,53043,5472,1591,0,100.00,100.00
2024-11-05T15-30-22,WA,Mason,53045,19942,16173,0,100.00,100.00
2024-11-05T15-30-22,WA,Okanogan,53047,12161,8190,0,100.00,100.00
2024-11-05T15-30-22,WA,Pacific,53049,7352,6676,0,100.00,100.00
2024-11-05T15-30-22,WA,Pend Oreille,53051,5960,2464,0,100.00,100.00
2024-11-05T15-30-22,WA,Pierce,53053,212218,220153,0,100.00,100.00
2024-11-05T15-30-22,WA,San Juan,53055,3400,9348,0,100.00,100.00
2024-11-05T15-30-22,WA,Skagit,53057,34231,34821,0,100.00,100.00
2024-11-05T15-30-22,WA,Skamania,53059,4109,3058,0,100.00,100.00
2024-11-05T15-30-22,WA,Snohomish,53061,183458,225276,0,100.00,100.00
2024-11-05T15-30-22,WA,Spokane,53063,153974,127594,0,100.00,100.00
2024-11-05T15-30-22,WA,Stevens,53065,20673,7256,0,100.00,100.00
2024-11-05T15-30-22,WA,Thurston,53067,71764,90696,0,100.00,100.00
2024-11-05T15-30-22,WA,Wahkiakum,53069,1845,1158,0,100.00,100.00
2024-11-05T15-30-22,WA,Walla Walla,53071,16730,12408,0,100.00,100.00
2024-11-05T15-30-22,WA,Whatcom,53073,54769,81435,0,100.00,100.00
2024-11-05T15-30-22,WA,Whitman,53075,9610,10087,0,100.00,100.00
2024-11-05T15-30-22,WA,Yakima,53077,52148,35093,0,100.00,100.00
