timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,ID,Ada,16001,86638,36917,4760,100.0,100.00
2024-11-05T15-30-22,ID,Adams,16003,2001,557,77,100.0,100.00
2024-11-05T15-30-22,ID,Benewah,16009,3857,833,195,100.0,100.00
2024-11-05T15-30-22,ID,Boise,16015,3524,972,227,100.0,100.00
2024-11-05T15-30-22,ID,Bonner,16017,20570,7340,899,100.0,100.00
2024-11-05T15-30-22,ID,Boundary,16021,5588,1064,219,100.0,100.00
2024-11-05T15-30-22,ID,Canyon,16027,69017,23594,3990,100.0,100.00
2024-11-05T15-30-22,ID,Clearwater,16035,3462,749,109,100.0,100.00
2024-11-05T15-30-22,ID,Gem,16045,8313,1658,389,100.0,100.00
2024-11-05T15-30-22,ID,Idaho County,16049,7881,1425,323,100.0,100.00
2024-11-05T15-30-22,ID,Kootenai,16055,69278,20798,2834,100.0,100.00
2024-11-05T15-30-22,ID,Latah,16057,10366,8808,683,100.0,100.00
2024-11-05T15-30-22,ID,Lewis,16061,1465,293,53,100.0,100.00
2024-11-05T15-30-22,ID,Nez Perce,16069,13333,5833,665,100.0,100.00
2024-11-05T15-30-22,ID,Owyhee,16073,4023,695,141,100.0,100.00
2024-11-05T15-30-22,ID,Payette,16075,9217,1937,394,100.0,100.00
2024-11-05T15-30-22,ID,Shoshone,16079,4056,1444,194,100.0,100.00
2024-11-05T15-30-22,ID,Valley,16085,4130,2801,209,100.0,100.00
2024-11-05T15-30-22,ID,Washington,16087,4330,938,166,100.0,100.00
