timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IL,Alexander,17003,1399,820,0,100.0,100.00
2024-11-05T15-30-22,IL,Clark,17023,6150,1828,0,100.0,100.00
2024-11-05T15-30-22,IL,Clay,17025,5541,1035,0,100.0,100.00
2024-11-05T15-30-22,IL,Clinton,17027,14935,4029,0,100.0,100.00
2024-11-05T15-30-22,IL,Coles,17029,4586,1651,0,100.0,100.00
2024-11-05T15-30-22,IL,Crawford,17033,6755,1994,0,100.0,100.00
2024-11-05T15-30-22,IL,Cumberland,17035,4550,1112,0,100.0,100.00
2024-11-05T15-30-22,IL,Edwards,17047,2777,425,0,100.0,100.00
2024-11-05T15-30-22,IL,Effingham,17049,15397,3417,0,100.0,100.00
2024-11-05T15-30-22,IL,Franklin,17055,13474,3995,0,100.0,100.00
2024-11-05T15-30-22,IL,Gallatin,17059,1881,542,0,100.0,100.00
2024-11-05T15-30-22,IL,Hamilton,17065,3396,672,0,100.0,100.00
2024-11-05T15-30-22,IL,Hardin,17069,1520,342,0,100.0,100.00
2024-11-05T15-30-22,IL,Jackson,17077,11429,10865,0,100.0,100.00
2024-11-05T15-30-22,IL,Jasper,17079,4326,905,0,100.0,100.00
2024-11-05T15-30-22,IL,Jefferson,17081,12549,3775,0,100.0,100.00
2024-11-05T15-30-22,IL,Johnson,17087,4930,1104,0,100.0,100.00
2024-11-05T15-30-22,IL,Lawrence,17101,4690,1270,0,100.0,100.00
2024-11-05T15-30-22,IL,Marion,17121,12419,4151,0,100.0,100.00
2024-11-05T15-30-22,IL,Massac,17127,4934,1545,0,100.0,100.00
2024-11-05T15-30-22,IL,Monroe,17133,15040,5744,0,100.0,100.00
2024-11-05T15-30-22,IL,Perry,17145,7239,1955,0,100.0,100.00
2024-11-05T15-30-22,IL,Pope,17151,1712,374,0,100.0,100.00
2024-11-05T15-30-22,IL,Pulaski,17153,1675,657,0,100.0,100.00
2024-11-05T15-30-22,IL,Randolph,17157,11218,3013,0,100.0,100.00
2024-11-05T15-30-22,IL,Richland,17159,5909,1576,0,100.0,100.00
2024-11-05T15-30-22,IL,St. Clair County,17163,31993,17495,0,100.0,100.00
2024-11-05T15-30-22,IL,Saline,17165,7945,2405,0,100.0,100.00
2024-11-05T15-30-22,IL,Union,17181,6080,2113,0,100.0,100.00
2024-11-05T15-30-22,IL,Wabash,17185,4123,1128,0,100.0,100.00
2024-11-05T15-30-22,IL,Washington,17189,6192,1279,0,100.0,100.00
2024-11-05T15-30-22,IL,Wayne,17191,7010,1086,0,100.0,100.00
2024-11-05T15-30-22,IL,White,17193,5441,1371,0,100.0,100.00
2024-11-05T15-30-22,IL,Williamson,17199,23539,9202,0,100.0,100.00
