timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IN,Clay,18021,9070,2260,349,100.0,100.00
2024-11-05T15-30-22,IN,Crawford,18025,3373,1208,140,100.0,100.00
2024-11-05T15-30-22,IN,Daviess,18027,8975,1786,330,100.0,100.00
2024-11-05T15-30-22,IN,Dubois,18037,15013,5230,760,100.0,100.00
2024-11-05T15-30-22,IN,Fountain,18045,3871,835,104,100.0,100.00
2024-11-05T15-30-22,IN,Gibson,18051,11743,3438,381,100.0,100.00
2024-11-05T15-30-22,IN,Greene,18055,10652,2974,404,100.0,100.00
2024-11-05T15-30-22,IN,Knox,18083,10824,3249,344,100.0,100.00
2024-11-05T15-30-22,IN,Martin,18101,3625,977,288,100.0,100.00
2024-11-05T15-30-22,IN,Orange,18117,6275,1815,216,100.0,100.00
2024-11-05T15-30-22,IN,Owen,18119,6866,2151,468,100.0,100.00
2024-11-05T15-30-22,IN,Parke,18121,5017,1254,179,100.0,100.00
2024-11-05T15-30-22,IN,Perry,18123,5404,2783,145,100.0,100.00
2024-11-05T15-30-22,IN,Pike,18125,4526,1172,147,100.0,100.00
2024-11-05T15-30-22,IN,Posey,18129,9351,3187,256,100.0,100.00
2024-11-05T15-30-22,IN,Spencer,18147,7374,2566,191,100.0,100.00
2024-11-05T15-30-22,IN,Sullivan,18153,6164,1969,223,100.0,100.00
2024-11-05T15-30-22,IN,Vanderburgh,18163,42270,29110,1382,100.0,100.00
2024-11-05T15-30-22,IN,Vermillion,18165,4801,1862,228,100.0,100.00
2024-11-05T15-30-22,IN,Vigo,18167,23448,15408,1161,100.0,100.00
2024-11-05T15-30-22,IN,Warrick,18173,21299,10077,685,100.0,100.00
