timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MD,Baltimore,24005,20211,12367,987,100.0,100.00
2024-11-05T15-30-22,MD,Caroline,24011,11082,4341,470,100.0,100.00
2024-11-05T15-30-22,MD,Cecil,24015,32647,16171,1843,100.0,100.00
2024-11-05T15-30-22,MD,Dorchester,24019,9709,6305,387,100.0,100.00
2024-11-05T15-30-22,MD,Harford,24025,83858,56960,4934,100.0,100.00
2024-11-05T15-30-22,MD,Kent,24029,5649,4846,303,100.0,100.00
2024-11-05T15-30-22,MD,Queen Anne's,24035,20362,10141,980,100.0,100.00
2024-11-05T15-30-22,MD,Somerset,24039,6057,3380,209,100.0,100.00
2024-11-05T15-30-22,MD,Talbot,24041,11694,10211,495,100.0,100.00
2024-11-05T15-30-22,MD,Wicomico,24045,24946,19248,1244,100.0,100.00
2024-11-05T15-30-22,MD,Worcester,24047,20141,11015,812,100.0,100.00
