timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MT,Big Horn,30003,2115,2305,0,100.0,100.00
2024-11-05T15-30-22,MT,Blaine,30005,1491,1414,0,100.0,100.00
2024-11-05T15-30-22,MT,Broadwater,30007,3833,886,0,100.0,100.00
2024-11-05T15-30-22,MT,Carbon,30009,4919,2314,0,100.0,100.00
2024-11-05T15-30-22,MT,Carter,30011,774,65,0,100.0,100.00
2024-11-05T15-30-22,MT,Cascade,30013,23122,13725,0,100.0,100.00
2024-11-05T15-30-22,MT,Chouteau,30015,1963,909,0,100.0,100.00
2024-11-05T15-30-22,MT,Custer,30017,4293,1374,0,100.0,100.00
2024-11-05T15-30-22,MT,Daniels,30019,780,150,0,100.0,100.00
2024-11-05T15-30-22,MT,Dawson,30021,3628,860,0,100.0,100.00
2024-11-05T15-30-22,MT,Fallon,30025,1299,156,0,100.0,100.00
2024-11-05T15-30-22,MT,Fergus,30027,5132,1482,0,100.0,100.00
2024-11-05T15-30-22,MT,Garfield,30033,737,33,0,100.0,100.00
2024-11-05T15-30-22,MT,Golden Valley,30037,448,70,0,100.0,100.00
2024-11-05T15-30-22,MT,Hill,30041,3904,2719,0,100.0,100.00
2024-11-05T15-30-22,MT,Jefferson,30043,5685,2506,0,100.0,100.00
2024-11-05T15-30-22,MT,Judith Basin,30045,1091,248,0,100.0,100.00
2024-11-05T15-30-22,MT,Lewis and Clark,30049,22256,18845,0,100.0,100.00
2024-11-05T15-30-22,MT,Liberty,30051,767,207,0,100.0,100.00
2024-11-05T15-30-22,MT,McCone,30055,928,132,0,100.0,100.00
2024-11-05T15-30-22,MT,Meagher,30059,922,239,0,100.0,100.00
2024-11-05T15-30-22,MT,Musselshell,30065,2574,388,0,100.0,100.00
2024-11-05T15-30-22,MT,Park,30067,6230,5255,0,100.0,100.00
2024-11-05T15-30-22,MT,Petroleum,30069,289,36,0,100.0,100.00
2024-11-05T15-30-22,MT,Phillips,30071,1797,364,0,100.0,100.00
2024-11-05T15-30-22,MT,Pondera,30073,1473,474,0,100.0,100.00
2024-11-05T15-30-22,MT,Powder River,30075,959,127,0,100.0,100.00
2024-11-05T15-30-22,MT,Prairie,30079,560,113,0,100.0,100.00
2024-11-05T15-30-22,MT,Richland,30083,4372,782,0,100.0,100.00
2024-11-05T15-30-22,MT,Roosevelt,30085,1980,1864,0,100.0,100.00
2024-11-05T15-30-22,MT,Rosebud,30087,2484,1163,0,100.0,100.00
2024-11-05T15-30-22,MT,Sheridan,30091,1340,481,0,100.0,100.00
2024-11-05T15-30-22,MT,Stillwater,30095,4804,1042,0,100.0,100.00
2024-11-05T15-30-22,MT,Sweet Grass,30097,1833,521,0,100.0,100.00
2024-11-05T15-30-22,MT,Teton,30099,2592,923,0,100.0,100.00
2024-11-05T15-30-22,MT,Toole,30101,1601,406,0,100.0,100.00
2024-11-05T15-30-22,MT,Treasure,30103,381,59,0,100.0,100.00
2024-11-05T15-30-22,MT,Valley,30105,3030,951,0,100.0,100.00
2024-11-05T15-30-22,MT,Wheatland,30107,873,196,0,100.0,100.00
2024-11-05T15-30-22,MT,Wibaux,30109,459,70,0,100.0,100.00
2024-11-05T15-30-22,MT,Yellowstone,30111,52114,27859,0,100.0,100.00
