timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,NC,Avery,37011,7086,2085,0,100.0,100.00
2024-11-05T15-30-22,NC,Buncombe,37021,60589,95289,0,100.0,100.00
2024-11-05T15-30-22,NC,Cherokee,37039,14033,3552,0,100.0,100.00
2024-11-05T15-30-22,NC,Clay,37043,5786,1779,0,100.0,100.00
2024-11-05T15-30-22,NC,Graham,37075,3851,797,0,100.0,100.00
2024-11-05T15-30-22,NC,Haywood,37087,24264,13163,0,100.0,100.00
2024-11-05T15-30-22,NC,Henderson,37089,42645,26679,0,100.0,100.00
2024-11-05T15-30-22,NC,Jackson,37099,12166,9455,0,100.0,100.00
2024-11-05T15-30-22,NC,McDowell,37111,17859,5472,0,100.0,100.00
2024-11-05T15-30-22,NC,Macon,37113,15329,6194,0,100.0,100.00
2024-11-05T15-30-22,NC,Madison,37115,8395,5087,0,100.0,100.00
2024-11-05T15-30-22,NC,Mitchell,37121,6755,1838,0,100.0,100.00
2024-11-05T15-30-22,NC,Polk,37149,2783,1085,0,100.0,100.00
2024-11-05T15-30-22,NC,Swain,37173,4337,2480,0,100.0,100.00
2024-11-05T15-30-22,NC,Transylvania,37175,12177,8393,0,100.0,100.00
2024-11-05T15-30-22,NC,Yancey,37199,7491,3629,0,100.0,100.00
