timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,OK,Alfalfa,40003,1547,184,0,100.0,100.00
2024-11-05T15-30-22,OK,Beaver,40007,1538,145,0,100.0,100.00
2024-11-05T15-30-22,OK,Beckham,40009,4707,752,0,100.0,100.00
2024-11-05T15-30-22,OK,Blaine,40011,2465,503,0,100.0,100.00
2024-11-05T15-30-22,OK,Caddo,40015,5276,1756,0,100.0,100.00
2024-11-05T15-30-22,OK,Canadian,40017,16432,5397,0,100.0,100.00
2024-11-05T15-30-22,OK,Cimarron,40025,690,34,0,100.0,100.00
2024-11-05T15-30-22,OK,Creek,40037,7769,1912,0,100.0,100.00
2024-11-05T15-30-22,OK,Custer,40039,6036,1432,0,100.0,100.00
2024-11-05T15-30-22,OK,Dewey,40043,1569,188,0,100.0,100.00
2024-11-05T15-30-22,OK,Ellis,40045,1312,170,0,100.0,100.00
2024-11-05T15-30-22,OK,Garfield,40047,12980,3169,0,100.0,100.00
2024-11-05T15-30-22,OK,Grant,40053,1362,230,0,100.0,100.00
2024-11-05T15-30-22,OK,Greer,40055,1109,225,0,100.0,100.00
2024-11-05T15-30-22,OK,Harmon,40057,539,106,0,100.0,100.00
2024-11-05T15-30-22,OK,Harper,40059,1044,115,0,100.0,100.00
2024-11-05T15-30-22,OK,Jackson,40065,4533,942,0,100.0,100.00
2024-11-05T15-30-22,OK,Kay,40071,9516,2953,0,100.0,100.00
2024-11-05T15-30-22,OK,Kingfisher,40073,4273,573,0,100.0,100.00
2024-11-05T15-30-22,OK,Kiowa,40075,2036,421,0,100.0,100.00
2024-11-05T15-30-22,OK,Logan,40083,1493,217,0,100.0,100.00
2024-11-05T15-30-22,OK,Major,40093,2426,250,0,100.0,100.00
2024-11-05T15-30-22,OK,Noble,40103,3067,733,0,100.0,100.00
2024-11-05T15-30-22,OK,Oklahoma,40109,10590,12427,0,100.0,100.00
2024-11-05T15-30-22,OK,Osage,40113,10506,4529,0,100.0,100.00
2024-11-05T15-30-22,OK,Pawnee,40117,3933,1093,0,100.0,100.00
2024-11-05T15-30-22,OK,Payne,40119,14300,7683,0,100.0,100.00
2024-11-05T15-30-22,OK,Roger Mills,40129,1169,141,0,100.0,100.00
2024-11-05T15-30-22,OK,Texas,40139,3180,480,0,100.0,100.00
2024-11-05T15-30-22,OK,Washita,40149,3119,439,0,100.0,100.00
2024-11-05T15-30-22,OK,Woods,40151,2248,441,0,100.0,100.00
2024-11-05T15-30-22,OK,Woodward,40153,4654,714,0,100.0,100.00
