timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,SD,Aurora,46003,1146,222,0,100.0,100.00
2024-11-05T15-30-22,SD,Beadle,46005,5505,1465,0,100.0,100.00
2024-11-05T15-30-22,SD,Bennett,46007,730,334,0,100.0,100.00
2024-11-05T15-30-22,SD,Bon Homme,46009,2373,564,0,100.0,100.00
2024-11-05T15-30-22,SD,Brookings,46011,10133,4644,0,100.0,100.00
2024-11-05T15-30-22,SD,Brown,46013,11974,4753,0,100.0,100.00
2024-11-05T15-30-22,SD,Brule,46015,1881,526,0,100.0,100.00
2024-11-05T15-30-22,SD,Buffalo,46017,217,240,0,100.0,100.00
2024-11-05T15-30-22,SD,Butte,46019,4066,838,0,100.0,100.00
2024-11-05T15-30-22,SD,Campbell,46021,704,105,0,100.0,100.00
2024-11-05T15-30-22,SD,Charles Mix,46023,2738,866,0,100.0,100.00
2024-11-05T15-30-22,SD,Clark,46025,1513,304,0,100.0,100.00
2024-11-05T15-30-22,SD,Clay,46027,3209,2371,0,100.0,100.00
2024-11-05T15-30-22,SD,Codington,46029,10406,2880,0,100.0,100.00
2024-11-05T15-30-22,SD,Corson,46031,665,457,0,100.0,100.00
2024-11-05T15-30-22,SD,Custer,46033,4536,1334,0,100.0,100.00
2024-11-05T15-30-22,SD,Davison,46035,7131,1934,0,100.0,100.00
2024-11-05T15-30-22,SD,Day,46037,2118,787,0,100.0,100.00
2024-11-05T15-30-22,SD,Deuel,46039,1856,404,0,100.0,100.00
2024-11-05T15-30-22,SD,Dewey,46041,944,894,0,100.0,100.00
2024-11-05T15-30-22,SD,Douglas,46043,1462,157,0,100.0,100.00
2024-11-05T15-30-22,SD,Edmunds,46045,1701,302,0,100.0,100.00
2024-11-05T15-30-22,SD,Fall River,46047,3272,889,0,100.0,100.00
2024-11-05T15-30-22,SD,Faulk,46049,928,168,0,100.0,100.00
2024-11-05T15-30-22,SD,Grant,46051,2876,705,0,100.0,100.00
2024-11-05T15-30-22,SD,Gregory,46053,1880,340,0,100.0,100.00
2024-11-05T15-30-22,SD,Haakon,46055,991,112,0,100.0,100.00
2024-11-05T15-30-22,SD,Hamlin,46057,2730,434,0,100.0,100.00
2024-11-05T15-30-22,SD,Hand,46059,1470,269,0,100.0,100.00
2024-11-05T15-30-22,SD,Hanson,46061,1665,353,0,100.0,100.00
2024-11-05T15-30-22,SD,Harding,46063,752,45,0,100.0,100.00
2024-11-05T15-30-22,SD,Hughes,46065,6342,2019,0,100.0,100.00
2024-11-05T15-30-22,SD,Hutchinson,46067,3166,534,0,100.0,100.00
2024-11-05T15-30-22,SD,Hyde,46069,580,103,0,100.0,100.00
2024-11-05T15-30-22,SD,Jackson,46071,783,329,0,100.0,100.00
2024-11-05T15-30-22,SD,Jerauld,46073,816,184,0,100.0,100.00
2024-11-05T15-30-22,SD,Jones,46075,477,62,0,100.0,100.00
2024-11-05T15-30-22,SD,Kingsbury,46077,2209,571,0,100.0,100.00
2024-11-05T15-30-22,SD,Lake,46079,4406,1456,0,100.0,100.00
2024-11-05T15-30-22,SD,Lawrence,46081,10757,4288,0,100.0,100.00
2024-11-05T15-30-22,SD,Lincoln,46083,25901,9954,0,100.0,100.00
2024-11-05T15-30-22,SD,Lyman,46085,1099,318,0,100.0,100.00
2024-11-05T15-30-22,SD,McCook,46087,2460,554,0,100.0,100.00
2024-11-05T15-30-22,SD,McPherson,46089,1077,160,0,100.0,100.00
2024-11-05T15-30-22,SD,Marshall,46091,1489,609,0,100.0,100.00
2024-11-05T15-30-22,SD,Meade,46093,11439,2855,0,100.0,100.00
2024-11-05T15-30-22,SD,Mellette,46095,370,253,0,100.0,100.00
2024-11-05T15-30-22,SD,Miner,46097,934,209,0,100.0,100.00
2024-11-05T15-30-22,SD,Minnehaha,46099,60016,32303,0,100.0,100.00
2024-11-05T15-30-22,SD,Moody,46101,2268,889,0,100.0,100.00
2024-11-05T15-30-22,SD,Oglala Lakota,46102,720,2313,0,100.0,100.00
2024-11-05T15-30-22,SD,Pennington,46103,38628,16727,0,100.0,100.00
2024-11-05T15-30-22,SD,Perkins,46105,1395,182,0,100.0,100.00
2024-11-05T15-30-22,SD,Potter,46107,1109,173,0,100.0,100.00
2024-11-05T15-30-22,SD,Roberts,46109,2827,1272,0,100.0,100.00
2024-11-05T15-30-22,SD,Sanborn,46111,1023,188,0,100.0,100.00
2024-11-05T15-30-22,SD,Spink,46115,2430,685,0,100.0,100.00
2024-11-05T15-30-22,SD,Stanley,46117,1355,335,0,100.0,100.00
2024-11-05T15-30-22,SD,Sully,46119,719,147,0,100.0,100.00
2024-11-05T15-30-22,SD,Todd,46121,690,1407,0,100.0,100.00
2024-11-05T15-30-22,SD,Tripp,46123,2232,379,0,100.0,100.00
2024-11-05T15-30-22,SD,Turner,46125,3688,813,0,100.0,100.00
2024-11-05T15-30-22,SD,Union,46127,6650,2057,0,100.0,100.00
2024-11-05T15-30-22,SD,Walworth,46129,2005,401,0,100.0,100.00
2024-11-05T15-30-22,SD,Yankton,46135,7564,3046,0,100.0,100.00
2024-11-05T15-30-22,SD,Ziebach,46137,434,347,0,100.0,100.00
