timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WV,Boone,54005,5180,1958,562,100.0,100.00
2024-11-05T15-30-22,WV,Braxton,54007,3435,1346,207,100.0,100.00
2024-11-05T15-30-22,WV,Cabell,54011,21776,10706,1743,100.0,100.00
2024-11-05T15-30-22,WV,Calhoun,54013,1882,571,183,100.0,100.00
2024-11-05T15-30-22,WV,Clay,54015,2058,726,237,100.0,100.00
2024-11-05T15-30-22,WV,Fayette,54019,9569,4064,1174,100.0,100.00
2024-11-05T15-30-22,WV,Gilmer,54021,1448,617,105,100.0,100.00
2024-11-05T15-30-22,WV,Greenbrier,54025,9759,3686,750,100.0,100.00
2024-11-05T15-30-22,WV,Jackson,54035,8430,2487,1375,100.0,100.00
2024-11-05T15-30-22,WV,Kanawha,54039,36376,26487,8603,100.0,100.00
2024-11-05T15-30-22,WV,Lincoln,54043,5002,1369,438,100.0,100.00
2024-11-05T15-30-22,WV,Logan,54045,7647,2048,543,100.0,100.00
2024-11-05T15-30-22,WV,McDowell,54047,3340,1063,277,100.0,100.00
2024-11-05T15-30-22,WV,Mason,54053,7496,2077,575,100.0,100.00
2024-11-05T15-30-22,WV,Mercer,54055,16933,4507,1050,100.0,100.00
2024-11-05T15-30-22,WV,Mingo,54059,6022,1305,323,100.0,100.00
2024-11-05T15-30-22,WV,Monroe,54063,4658,1109,337,100.0,100.00
2024-11-05T15-30-22,WV,Nicholas,54067,7088,1960,496,100.0,100.00
2024-11-05T15-30-22,WV,Pendleton,54071,2338,629,176,100.0,100.00
2024-11-05T15-30-22,WV,Pocahontas,54075,2493,923,217,100.0,100.00
2024-11-05T15-30-22,WV,Putnam,54079,17882,6490,1909,100.0,100.00
2024-11-05T15-30-22,WV,Raleigh,54081,20705,6249,2119,100.0,100.00
2024-11-05T15-30-22,WV,Roane,54087,3651,1139,467,100.0,100.00
2024-11-05T15-30-22,WV,Summers,54089,3504,1193,261,100.0,100.00
2024-11-05T15-30-22,WV,Wayne,54099,10754,3144,731,100.0,100.00
2024-11-05T15-30-22,WV,Webster,54101,2039,555,123,100.0,100.00
2024-11-05T15-30-22,WV,Wirt,54105,1761,449,160,100.0,100.00
2024-11-05T15-30-22,WV,Wyoming,54109,5265,1181,475,100.0,100.00
