timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,CA,Alameda,06001,140789,499551,29460,100.00,100.00
2024-11-05T15-30-22,CA,Alpine,06003,243,479,16,100.00,100.00
2024-11-05T15-30-22,CA,Amador,06005,14018,7783,601,100.00,100.00
2024-11-05T15-30-22,CA,Butte,06007,47179,44228,3116,100.00,100.00
2024-11-05T15-30-22,CA,Calaveras,06009,16625,9181,673,100.00,100.00
2024-11-05T15-30-22,CA,Colusa,06011,4414,2431,176,100.00,100.00
2024-11-05T15-30-22,CA,Contra Costa,06013,155308,356008,17588,100.00,100.00
2024-11-05T15-30-22,CA,Del Norte,06015,5999,4266,299,100.00,100.00
2024-11-05T15-30-22,CA,El Dorado,06017,61109,47703,3078,100.00,100.00
2024-11-05T15-30-22,CA,Fresno,06019,165924,151628,8442,100.00,100.00
2024-11-05T15-30-22,CA,Glenn,06021,6904,3260,278,100.00,100.00
2024-11-05T15-30-22,CA,Humboldt,06023,21559,39800,2869,100.00,100.00
2024-11-05T15-30-22,CA,Imperial,06025,26546,26083,1396,100.00,100.00
2024-11-05T15-30-22,CA,Inyo,06027,4468,4201,282,100.00,100.00
2024-11-05T15-30-22,CA,Kern,06029,167879,108241,7126,100.00,100.00
2024-11-05T15-30-22,CA,Kings,06031,25074,15519,908,100.00,100.00
2024-11-05T15-30-22,CA,Lake,06033,13161,12794,804,100.00,100.00
2024-11-05T15-30-22,CA,Lassen,06035,8619,2478,274,100.00,100.00
2024-11-05T15-30-22,CA,Los Angeles,06037,1189862,2417109,121456,100.00,100.00
2024-11-05T15-30-22,CA,Madera,06039,32344,20981,1299,100.00,100.00
2024-11-05T15-30-22,CA,Marin,06041,24054,116152,3907,100.00,100.00
2024-11-05T15-30-22,CA,Mariposa,06043,5625,3622,262,100.00,100.00
2024-11-05T15-30-22,CA,Mendocino,06045,13528,24049,1639,100.00,100.00
2024-11-05T15-30-22,CA,Merced,06047,43955,40190,2247,100.00,100.00
2024-11-05T15-30-22,CA,Modoc,06049,2884,1008,124,100.00,100.00
2024-11-05T15-30-22,CA,Mono,06051,2294,3522,248,100.00,100.00
2024-11-05T15-30-22,CA,Monterey,06053,49226,93060,4432,100.00,100.00
2024-11-05T15-30-22,CA,Napa,06055,20357,43212,1980,100.00,100.00
2024-11-05T15-30-22,CA,Nevada,06057,26177,33784,2171,100.00,100.00
2024-11-05T15-30-22,CA,Orange,06059,654815,691731,44419,100.00,100.00
2024-11-05T15-30-22,CA,Placer,06061,123941,103958,6910,100.00,100.00
2024-11-05T15-30-22,CA,Plumas,06063,5725,4020,322,100.00,100.00
2024-11-05T15-30-22,CA,Riverside,06065,463677,451782,24946,100.00,100.00
2024-11-05T15-30-22,CA,Sacramento,06067,252140,381564,22922,100.00,100.00
2024-11-05T15-30-22,CA,San Benito,06069,11702,15179,768,100.00,100.00
2024-11-05T15-30-22,CA,San Bernardino,06071,378416,362114,21184,100.00,100.00
2024-11-05T15-30-22,CA,San Diego,06073,593270,841372,43144,100.00,100.00
2024-11-05T15-30-22,CA,San Francisco,06075,62594,323719,16651,100.00,100.00
2024-11-05T15-30-22,CA,San Joaquin,06077,128996,126647,8028,100.00,100.00
2024-11-05T15-30-22,CA,San Luis Obispo,06079,64932,81314,4520,100.00,100.00
2024-11-05T15-30-22,CA,San Mateo,06081,76616,242957,10937,100.00,100.00
2024-11-05T15-30-22,CA,Santa Barbara,06083,64870,114149,5696,100.00,100.00
2024-11-05T15-30-22,CA,Santa Clara,06085,210924,510744,28765,100.00,100.00
2024-11-05T15-30-22,CA,Santa Cruz,06087,27978,100998,5159,100.00,100.00
2024-11-05T15-30-22,CA,Shasta,06089,59539,27130,2231,100.00,100.00
2024-11-05T15-30-22,CA,Sierra,06091,1066,641,47,100.00,100.00
2024-11-05T15-30-22,CA,Siskiyou,06093,12461,8329,699,100.00,100.00
2024-11-05T15-30-22,CA,Solano,06095,70345,113997,5492,100.00,100.00
2024-11-05T15-30-22,CA,Sonoma,06097,63426,179600,8400,100.00,100.00
2024-11-05T15-30-22,CA,Stanislaus,06099,106986,85347,5139,100.00,100.00
2024-11-05T15-30-22,CA,Sutter,06101,25372,13016,948,100.00,100.00
2024-11-05T15-30-22,CA,Tehama,06103,18503,7415,614,100.00,100.00
2024-11-05T15-30-22,CA,Trinity,06105,2979,2449,217,100.00,100.00
2024-11-05T15-30-22,CA,Tulare,06107,81854,53221,3196,100.00,100.00
2024-11-05T15-30-22,CA,Tuolumne,06109,17210,10909,691,100.00,100.00
2024-11-05T15-30-22,CA,Ventura,06111,158901,217424,11270,100.00,100.00
2024-11-05T15-30-22,CA,Yolo,06113,27844,61405,3340,100.00,100.00
2024-11-05T15-30-22,CA,Yuba,06115,18491,10725,854,100.00,100.00
