timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,FL,Alachua,12001,52939,81578,2031,100.00,100.00
2024-11-05T15-30-22,FL,Baker,12003,12926,1982,69,100.00,100.00
2024-11-05T15-30-22,FL,Bay,12005,71497,25201,1077,100.00,100.00
2024-11-05T15-30-22,FL,Bradford,12007,10920,2946,66,100.00,100.00
2024-11-05T15-30-22,FL,Brevard,12009,216533,141233,3683,100.00,100.00
2024-11-05T15-30-22,FL,Broward,12011,358952,507328,8246,100.00,100.00
2024-11-05T15-30-22,FL,Calhoun,12013,5367,1021,40,100.00,100.00
2024-11-05T15-30-22,FL,Charlotte,12015,82480,40450,744,100.00,100.00
2024-11-05T15-30-22,FL,Citrus,12017,71356,26276,601,100.00,100.00
2024-11-05T15-30-22,FL,Clay,12019,87711,37926,1169,100.00,100.00
2024-11-05T15-30-22,FL,Collier,12021,143267,71720,1376,100.00,100.00
2024-11-05T15-30-22,FL,Columbia,12023,25108,8250,234,100.00,100.00
2024-11-05T15-30-22,FL,DeSoto,12027,8888,3525,75,100.00,100.00
2024-11-05T15-30-22,FL,Dixie,12029,6920,1183,45,100.00,100.00
2024-11-05T15-30-22,FL,Duval,12031,236285,229365,5618,100.00,100.00
2024-11-05T15-30-22,FL,Escambia,12033,96407,64601,1746,100.00,100.00
2024-11-05T15-30-22,FL,Flagler,12035,51014,28431,518,100.00,100.00
2024-11-05T15-30-22,FL,Franklin,12037,4831,1870,57,100.00,100.00
2024-11-05T15-30-22,FL,Gadsden,12039,7495,14203,170,100.00,100.00
2024-11-05T15-30-22,FL,Gilchrist,12041,8931,1662,93,100.00,100.00
2024-11-05T15-30-22,FL,Glades,12043,4034,1222,23,100.00,100.00
2024-11-05T15-30-22,FL,Gulf,12045,6684,1970,43,100.00,100.00
2024-11-05T15-30-22,FL,Hamilton,12047,3964,1727,42,100.00,100.00
2024-11-05T15-30-22,FL,Hardee,12049,6337,1751,56,100.00,100.00
2024-11-05T15-30-22,FL,Hendry,12051,9253,4096,111,100.00,100.00
2024-11-05T15-30-22,FL,Hernando,12053,75446,34431,810,100.00,100.00
2024-11-05T15-30-22,FL,Highlands,12055,36382,15227,296,100.00,100.00
2024-11-05T15-30-22,FL,Hillsborough,12057,342017,321455,8509,100.00,100.00
2024-11-05T15-30-22,FL,Holmes,12059,8193,882,41,100.00,100.00
2024-11-05T15-30-22,FL,Indian River,12061,62737,35654,624,100.00,100.00
2024-11-05T15-30-22,FL,Jackson,12063,16074,5892,132,100.00,100.00
2024-11-05T15-30-22,FL,Jefferson,12065,5011,3429,62,100.00,100.00
2024-11-05T15-30-22,FL,Lafayette,12067,3296,441,19,100.00,100.00
2024-11-05T15-30-22,FL,Lake,12069,140500,84546,1735,100.00,100.00
2024-11-05T15-30-22,FL,Lee,12071,250661,139240,2618,100.00,100.00
2024-11-05T15-30-22,FL,Leon,12073,60397,94520,1883,100.00,100.00
2024-11-05T15-30-22,FL,Levy,12075,18245,5994,138,100.00,100.00
2024-11-05T15-30-22,FL,Liberty,12077,2898,566,26,100.00,100.00
2024-11-05T15-30-22,FL,Madison,12079,5874,3231,51,100.00,100.00
2024-11-05T15-30-22,FL,Manatee,12081,140486,86674,1696,100.00,100.00
2024-11-05T15-30-22,FL,Marion,12083,140173,72436,1492,100.00,100.00
2024-11-05T15-30-22,FL,Martin,12085,64121,33539,631,100.00,100.00
2024-11-05T15-30-22,FL,Miami-Dade,12086,605590,480355,8148,100.00,100.00
2024-11-05T15-30-22,FL,Monroe,12087,26064,17933,330,100.00,100.00
2024-11-05T15-30-22,FL,Nassau,12089,47945,17143,533,100.00,100.00
2024-11-05T15-30-22,FL,Okaloosa,12091,80309,32074,1251,100.00,100.00
2024-11-05T15-30-22,FL,Okeechobee,12093,12315,3671,72,100.00,100.00
2024-11-05T15-30-22,FL,Orange,12095,258279,340807,8105,100.00,100.00
2024-11-05T15-30-22,FL,Osceola,12097,86713,84205,1858,100.00,100.00
2024-11-05T15-30-22,FL,Palm Beach,12099,366836,372512,6349,100.00,100.00
2024-11-05T15-30-22,FL,Pasco,12101,197779,117450,3234,100.00,100.00
2024-11-05T15-30-22,FL,Pinellas,12103,269472,242452,5134,100.00,100.00
2024-11-05T15-30-22,FL,Polk,12105,209044,136879,2999,100.00,100.00
2024-11-05T15-30-22,FL,Putnam,12107,26700,9354,218,100.00,100.00
2024-11-05T15-30-22,FL,St. Johns,12109,128759,66862,1831,100.00,100.00
2024-11-05T15-30-22,FL,St. Lucie,12111,100293,83517,1321,100.00,100.00
2024-11-05T15-30-22,FL,Santa Rosa,12113,84314,27035,1075,100.00,100.00
2024-11-05T15-30-22,FL,Sarasota,12115,163219,112668,1970,100.00,100.00
2024-11-05T15-30-22,FL,Seminole,12117,129735,120717,3268,100.00,100.00
2024-11-05T15-30-22,FL,Sumter,12119,72134,32551,532,100.00,100.00
2024-11-05T15-30-22,FL,Suwannee,12121,17561,4217,113,100.00,100.00
2024-11-05T15-30-22,FL,Taylor,12123,7954,1991,52,100.00,100.00
2024-11-05T15-30-22,FL,Union,12125,5224,971,36,100.00,100.00
2024-11-05T15-30-22,FL,Volusia,12127,187691,120132,2672,100.00,100.00
2024-11-05T15-30-22,FL,Wakulla,12129,14246,5441,169,100.00,100.00
2024-11-05T15-30-22,FL,Walton,12131,38970,10287,344,100.00,100.00
2024-11-05T15-30-22,FL,Washington,12133,10370,2140,74,100.00,100.00
