timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,GA,Appling,13001,6761,1560,13,100.00,100.00
2024-11-05T15-30-22,GA,Atkinson,13003,2350,700,7,100.00,100.00
2024-11-05T15-30-22,GA,Bacon,13005,4186,645,8,100.00,100.00
2024-11-05T15-30-22,GA,Baker,13007,883,590,3,100.00,100.00
2024-11-05T15-30-22,GA,Baldwin,13009,9574,9159,92,100.00,100.00
2024-11-05T15-30-22,GA,Banks,13011,9358,1136,25,100.00,100.00
2024-11-05T15-30-22,GA,Barrow,13013,30730,12949,255,100.00,100.00
2024-11-05T15-30-22,GA,Bartow,13015,43271,13942,334,100.00,100.00
2024-11-05T15-30-22,GA,Ben Hill,13017,4281,2199,21,100.00,100.00
2024-11-05T15-30-22,GA,Berrien,13019,6841,1209,18,100.00,100.00
2024-11-05T15-30-22,GA,Bibb,13021,26658,42172,351,100.00,100.00
2024-11-05T15-30-22,GA,Bleckley,13023,4685,1339,20,100.00,100.00
2024-11-05T15-30-22,GA,Brantley,13025,7744,736,20,100.00,100.00
2024-11-05T15-30-22,GA,Brooks,13027,4560,2629,21,100.00,100.00
2024-11-05T15-30-22,GA,Bryan,13029,16738,7779,134,100.00,100.00
2024-11-05T15-30-22,GA,Bulloch,13031,20985,11514,158,100.00,100.00
2024-11-05T15-30-22,GA,Burke,13033,6027,4994,49,100.00,100.00
2024-11-05T15-30-22,GA,Butts,13035,9424,3544,51,100.00,100.00
2024-11-05T15-30-22,GA,Calhoun,13037,900,1153,3,100.00,100.00
2024-11-05T15-30-22,GA,Camden,13039,17819,8405,169,100.00,100.00
2024-11-05T15-30-22,GA,Candler,13043,3366,1196,6,100.00,100.00
2024-11-05T15-30-22,GA,Carroll,13045,42536,17634,324,100.00,100.00
2024-11-05T15-30-22,GA,Catoosa,13047,27150,7704,184,100.00,100.00
2024-11-05T15-30-22,GA,Charlton,13049,3607,1007,14,100.00,100.00
2024-11-05T15-30-22,GA,Chatham,13051,57336,82758,1015,100.00,100.00
2024-11-05T15-30-22,GA,Chattahoochee,13053,982,703,9,100.00,100.00
2024-11-05T15-30-22,GA,Chattooga,13055,8769,1896,41,100.00,100.00
2024-11-05T15-30-22,GA,Cherokee,13057,112142,48838,1301,100.00,100.00
2024-11-05T15-30-22,GA,Clarke,13059,16049,36297,541,100.00,100.00
2024-11-05T15-30-22,GA,Clay,13061,663,771,8,100.00,100.00
2024-11-05T15-30-22,GA,Clayton,13063,16877,94203,649,100.00,100.00
2024-11-05T15-30-22,GA,Clinch,13065,2201,702,5,100.00,100.00
2024-11-05T15-30-22,GA,Cobb,13067,168679,228404,4286,100.00,100.00
2024-11-05T15-30-22,GA,Coffee,13069,11388,4295,32,100.00,100.00
2024-11-05T15-30-22,GA,Colquitt,13071,12451,4114,46,100.00,100.00
2024-11-05T15-30-22,GA,Columbia,13073,53657,31624,639,100.00,100.00
2024-11-05T15-30-22,GA,Cook,13075,5374,1956,27,100.00,100.00
2024-11-05T15-30-22,GA,Coweta,13077,57204,28111,601,100.00,100.00
2024-11-05T15-30-22,GA,Crawford,13079,4742,1582,16,100.00,100.00
2024-11-05T15-30-22,GA,Crisp,13081,5099,2993,24,100.00,100.00
2024-11-05T15-30-22,GA,Dade,13083,6804,1343,53,100.00,100.00
2024-11-05T15-30-22,GA,Dawson,13085,16115,3350,96,100.00,100.00
2024-11-05T15-30-22,GA,Decatur,13087,7140,4372,37,100.00,100.00
2024-11-05T15-30-22,GA,DeKalb,13089,62622,299630,3756,100.00,100.00
2024-11-05T15-30-22,GA,Dodge,13091,6249,2081,20,100.00,100.00
2024-11-05T15-30-22,GA,Dooly,13093,2243,1921,13,100.00,100.00
2024-11-05T15-30-22,GA,Dougherty,13095,9904,23831,115,100.00,100.00
2024-11-05T15-30-22,GA,Douglas,13097,23996,46240,485,100.00,100.00
2024-11-05T15-30-22,GA,Early,13099,2718,2158,3,100.00,100.00
2024-11-05T15-30-22,GA,Echols,13101,1307,127,4,100.00,100.00
2024-11-05T15-30-22,GA,Effingham,13103,26943,9144,157,100.00,100.00
2024-11-05T15-30-22,GA,Elbert,13105,6860,2700,29,100.00,100.00
2024-11-05T15-30-22,GA,Emanuel,13107,6919,2673,27,100.00,100.00
2024-11-05T15-30-22,GA,Evans,13109,3011,1214,19,100.00,100.00
2024-11-05T15-30-22,GA,Fannin,13111,13232,2807,57,100.00,100.00
2024-11-05T15-30-22,GA,Fayette,13113,38177,35822,634,100.00,100.00
2024-11-05T15-30-22,GA,Floyd,13115,31631,12862,245,100.00,100.00
2024-11-05T15-30-22,GA,Forsyth,13117,91281,45509,1459,100.00,100.00
2024-11-05T15-30-22,GA,Franklin,13119,10459,1647,34,100.00,100.00
2024-11-05T15-30-22,GA,Fulton,13121,144655,384752,5831,100.00,100.00
2024-11-05T15-30-22,GA,Gilmer,13123,14976,3413,92,100.00,100.00
2024-11-05T15-30-22,GA,Glascock,13125,1534,133,3,100.00,100.00
2024-11-05T15-30-22,GA,Glynn,13127,27558,16144,210,100.00,100.00
2024-11-05T15-30-22,GA,Gordon,13129,22495,4982,129,100.00,100.00
2024-11-05T15-30-22,GA,Grady,13131,7385,3290,43,100.00,100.00
