timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MN,Aitkin,27001,6741,3524,154,100.00,100.00
2024-11-05T15-30-22,MN,Anoka,27003,106974,97667,5015,100.00,100.00
2024-11-05T15-30-22,MN,Becker,27005,12961,6435,300,100.00,100.00
2024-11-05T15-30-22,MN,Beltrami,27007,12898,11493,416,100.00,100.00
2024-11-05T15-30-22,MN,Benton,27009,15260,7084,419,100.00,100.00
2024-11-05T15-30-22,MN,Big Stone,27011,1796,964,56,100.00,100.00
2024-11-05T15-30-22,MN,Blue Earth,27013,18001,17558,767,100.00,100.00
2024-11-05T15-30-22,MN,Brown,27015,9692,4576,258,100.00,100.00
2024-11-05T15-30-22,MN,Carlton,27017,10435,9905,406,100.00,100.00
2024-11-05T15-30-22,MN,Carver,27019,35586,31869,1349,100.00,100.00
2024-11-05T15-30-22,MN,Cass,27021,12759,6300,257,100.00,100.00
2024-11-05T15-30-22,MN,Chippewa,27023,4175,2026,99,100.00,100.00
2024-11-05T15-30-22,MN,Chisago,27025,23047,11894,561,100.00,100.00
2024-11-05T15-30-22,MN,Clay,27027,15965,16121,648,100.00,100.00
2024-11-05T15-30-22,MN,Clearwater,27029,3575,1169,61,100.00,100.00
2024-11-05T15-30-22,MN,Cook,27031,1142,2416,83,100.00,100.00
2024-11-05T15-30-22,MN,Cottonwood,27033,4157,1705,103,100.00,100.00
2024-11-05T15-30-22,MN,Crow Wing,27035,27423,14173,616,100.00,100.00
2024-11-05T15-30-22,MN,Dakota,27037,109995,143267,5328,100.00,100.00
2024-11-05T15-30-22,MN,Dodge,27039,8095,4108,245,100.00,100.00
2024-11-05T15-30-22,MN,Douglas,27041,16726,7938,355,100.00,100.00
2024-11-05T15-30-22,MN,Faribault,27043,5247,2352,140,100.00,100.00
2024-11-05T15-30-22,MN,Fillmore,27045,7638,4491,206,100.00,100.00
2024-11-05T15-30-22,MN,Freeborn,27047,10003,6448,219,100.00,100.00
2024-11-05T15-30-22,MN,Goodhue,27049,16461,11731,554,100.00,100.00
2024-11-05T15-30-22,MN,Grant,27051,2266,1187,78,100.00,100.00
2024-11-05T15-30-22,MN,Hennepin,27053,197244,502710,16637,100.00,100.00
2024-11-05T15-30-22,MN,Houston,27055,6547,4667,180,100.00,100.00
2024-11-05T15-30-22,MN,Hubbard,27057,8809,4536,225,100.00,100.00
2024-11-05T15-30-22,MN,Isanti,27059,18027,7384,418,100.00,100.00
