timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MS,Adams,28001,5081,6743,104,100.00,100.00
2024-11-05T15-30-22,MS,Alcorn,28003,12657,2328,127,100.00,100.00
2024-11-05T15-30-22,MS,Amite,28005,4484,2246,85,100.00,100.00
2024-11-05T15-30-22,MS,Attala,28007,4723,2930,50,100.00,100.00
2024-11-05T15-30-22,MS,Benton,28009,2535,1318,27,100.00,100.00
2024-11-05T15-30-22,MS,Bolivar,28011,3943,6419,73,100.00,100.00
2024-11-05T15-30-22,MS,Calhoun,28013,4443,1547,44,100.00,100.00
2024-11-05T15-30-22,MS,Carroll,28015,3730,1431,33,100.00,100.00
2024-11-05T15-30-22,MS,Chickasaw,28017,4079,3090,65,100.00,100.00
2024-11-05T15-30-22,MS,Choctaw,28019,2881,965,44,100.00,100.00
2024-11-05T15-30-22,MS,Claiborne,28021,558,2950,33,100.00,100.00
2024-11-05T15-30-22,MS,Clarke,28023,5093,2430,48,100.00,100.00
2024-11-05T15-30-22,MS,Clay,28025,4017,4960,80,100.00,100.00
2024-11-05T15-30-22,MS,Coahoma,28027,2008,4711,71,100.00,100.00
2024-11-05T15-30-22,MS,Copiah,28029,6134,5426,105,100.00,100.00
2024-11-05T15-30-22,MS,Covington,28031,5869,2921,71,100.00,100.00
2024-11-05T15-30-22,MS,DeSoto,28033,48064,29023,1995,100.00,100.00
2024-11-05T15-30-22,MS,Forrest,28035,16579,11475,412,100.00,100.00
2024-11-05T15-30-22,MS,Franklin,28037,2831,1213,22,100.00,100.00
2024-11-05T15-30-22,MS,George,28039,9858,1138,73,100.00,100.00
2024-11-05T15-30-22,MS,Greene,28041,4776,835,38,100.00,100.00
2024-11-05T15-30-22,MS,Grenada,28043,5651,4060,55,100.00,100.00
2024-11-05T15-30-22,MS,Hancock,28045,16684,4262,229,100.00,100.00
2024-11-05T15-30-22,MS,Harrison,28047,48497,26555,871,100.00,100.00
2024-11-05T15-30-22,MS,Hinds,28049,22816,62840,1174,100.00,100.00
2024-11-05T15-30-22,MS,Holmes,28051,1243,5420,67,100.00,100.00
2024-11-05T15-30-22,MS,Humphreys,28053,990,2443,35,100.00,100.00
2024-11-05T15-30-22,MS,Issaquena,28055,296,287,39,100.00,100.00
2024-11-05T15-30-22,MS,Itawamba,28057,9523,1027,71,100.00,100.00
2024-11-05T15-30-22,MS,Jackson,28059,36376,15469,565,100.00,100.00
2024-11-05T15-30-22,MS,Jasper,28061,4118,3722,50,100.00,100.00
2024-11-05T15-30-22,MS,Jefferson,28063,541,2727,31,100.00,100.00
2024-11-05T15-30-22,MS,Jeff Davis,28065,2302,3041,35,100.00,100.00
2024-11-05T15-30-22,MS,Jones,28067,20265,7272,218,100.00,100.00
2024-11-05T15-30-22,MS,Kemper,28069,1691,2381,14,100.00,100.00
2024-11-05T15-30-22,MS,Lafayette,28071,14050,8956,403,100.00,100.00
2024-11-05T15-30-22,MS,Lamar,28073,20775,7038,358,100.00,100.00
2024-11-05T15-30-22,MS,Lauderdale,28075,16487,10677,243,100.00,100.00
2024-11-05T15-30-22,MS,Lawrence,28077,4113,1899,41,100.00,100.00
2024-11-05T15-30-22,MS,Leake,28079,5143,3182,55,100.00,100.00
2024-11-05T15-30-22,MS,Lee,28081,24339,10616,383,100.00,100.00
2024-11-05T15-30-22,MS,Leflore,28083,2854,6476,91,100.00,100.00
2024-11-05T15-30-22,MS,Lincoln,28085,11432,4262,108,100.00,100.00
2024-11-05T15-30-22,MS,Lowndes,28087,13087,11096,243,100.00,100.00
2024-11-05T15-30-22,MS,Madison,28089,32333,22700,677,100.00,100.00
2024-11-05T15-30-22,MS,Marion,28091,7874,3215,99,100.00,100.00
2024-11-05T15-30-22,MS,Marshall,28093,7977,6888,118,100.00,100.00
2024-11-05T15-30-22,MS,Monroe,28095,10861,5090,118,100.00,100.00
2024-11-05T15-30-22,MS,Montgomery,28097,2658,1737,29,100.00,100.00
2024-11-05T15-30-22,MS,Neshoba,28099,8154,2622,85,100.00,100.00
2024-11-05T15-30-22,MS,Newton,28101,6641,2603,79,100.00,100.00
2024-11-05T15-30-22,MS,Noxubee,28103,1151,3269,29,100.00,100.00
2024-11-05T15-30-22,MS,Oktibbeha,28105,8901,8851,299,100.00,100.00
2024-11-05T15-30-22,MS,Panola,28107,8202,6061,159,100.00,100.00
2024-11-05T15-30-22,MS,Pearl River,28109,20438,3982,251,100.00,100.00
2024-11-05T15-30-22,MS,Perry,28111,4425,1078,36,100.00,100.00
2024-11-05T15-30-22,MS,Pike,28113,7943,7402,140,100.00,100.00
2024-11-05T15-30-22,MS,Pontotoc,28115,11740,2214,114,100.00,100.00
2024-11-05T15-30-22,MS,Prentiss,28117,8581,1727,73,100.00,100.00
2024-11-05T15-30-22,MS,Quitman,28119,902,1725,50,100.00,100.00
2024-11-05T15-30-22,MS,Rankin,28121,50896,18060,722,100.00,100.00
2024-11-05T15-30-22,MS,Scott,28123,6098,3729,64,100.00,100.00
2024-11-05T15-30-22,MS,Sharkey,28125,551,1201,14,100.00,100.00
2024-11-05T15-30-22,MS,Simpson,28127,7552,3479,63,100.00,100.00
2024-11-05T15-30-22,MS,Smith,28129,6146,1486,44,100.00,100.00
2024-11-05T15-30-22,MS,Stone,28131,6214,1620,85,100.00,100.00
2024-11-05T15-30-22,MS,Sunflower,28133,2515,5312,49,100.00,100.00
2024-11-05T15-30-22,MS,Tallahatchie,28135,2333,2630,49,100.00,100.00
2024-11-05T15-30-22,MS,Tate,28137,9185,3555,121,100.00,100.00
2024-11-05T15-30-22,MS,Tippah,28139,7984,1547,60,100.00,100.00
2024-11-05T15-30-22,MS,Tishomingo,28141,8064,921,65,100.00,100.00
2024-11-05T15-30-22,MS,Tunica,28143,799,1837,32,100.00,100.00
2024-11-05T15-30-22,MS,Union,28145,10559,1807,112,100.00,100.00
2024-11-05T15-30-22,MS,Walthall,28147,4114,2355,60,100.00,100.00
2024-11-05T15-30-22,MS,Warren,28149,9407,8683,208,100.00,100.00
2024-11-05T15-30-22,MS,Washington,28151,4649,9735,156,100.00,100.00
2024-11-05T15-30-22,MS,Wayne,28153,6013,3028,78,100.00,100.00
2024-11-05T15-30-22,MS,Webster,28155,4195,872,28,100.00,100.00
2024-11-05T15-30-22,MS,Wilkinson,28157,1075,1817,39,100.00,100.00
2024-11-05T15-30-22,MS,Winston,28159,4922,3392,70,100.00,100.00
2024-11-05T15-30-22,MS,Yalobusha,28161,3518,2289,71,100.00,100.00
2024-11-05T15-30-22,MS,Yazoo,28163,4558,4342,71,100.00,100.00
