timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MT,Beaverhead,30001,4058,1543,193,100.00,100.00
2024-11-05T15-30-22,MT,Big Horn,30003,2188,2112,170,100.00,100.00
2024-11-05T15-30-22,MT,Blaine,30005,1526,1348,145,100.00,100.00
2024-11-05T15-30-22,MT,Broadwater,30007,3770,885,155,100.00,100.00
2024-11-05T15-30-22,MT,Carbon,30009,4719,2353,225,100.00,100.00
2024-11-05T15-30-22,MT,Carter,30011,760,75,19,100.00,100.00
2024-11-05T15-30-22,MT,Cascade,30013,22419,14021,1143,100.00,100.00
2024-11-05T15-30-22,MT,Chouteau,30015,1885,940,109,100.00,100.00
2024-11-05T15-30-22,MT,Custer,30017,4208,1385,204,100.00,100.00
2024-11-05T15-30-22,MT,Daniels,30019,778,154,19,100.00,100.00
2024-11-05T15-30-22,MT,Dawson,30021,3627,894,117,100.00,100.00
2024-11-05T15-30-22,MT,Deer Lodge,30023,2329,2376,165,100.00,100.00
2024-11-05T15-30-22,MT,Fallon,30025,1303,163,41,100.00,100.00
2024-11-05T15-30-22,MT,Fergus,30027,4965,1522,225,100.00,100.00
2024-11-05T15-30-22,MT,Flathead,30029,41390,20062,1688,100.00,100.00
2024-11-05T15-30-22,MT,Gallatin,30031,32695,34938,2264,100.00,100.00
2024-11-05T15-30-22,MT,Garfield,30033,756,39,5,100.00,100.00
2024-11-05T15-30-22,MT,Glacier,30035,1939,2933,206,100.00,100.00
2024-11-05T15-30-22,MT,Golden Valley,30037,440,67,8,100.00,100.00
2024-11-05T15-30-22,MT,Granite,30039,1537,579,60,100.00,100.00
2024-11-05T15-30-22,MT,Hill,30041,3871,2634,299,100.00,100.00
2024-11-05T15-30-22,MT,Jefferson,30043,5544,2516,231,100.00,100.00
2024-11-05T15-30-22,MT,Judith Basin,30045,1051,265,37,100.00,100.00
2024-11-05T15-30-22,MT,Lake,30047,9880,6510,520,100.00,100.00
2024-11-05T15-30-22,MT,Lewis and Clark,30049,21479,19085,1459,100.00,100.00
2024-11-05T15-30-22,MT,Liberty,30051,752,214,22,100.00,100.00
2024-11-05T15-30-22,MT,Lincoln,30053,8909,2615,265,100.00,100.00
2024-11-05T15-30-22,MT,McCone,30055,931,129,22,100.00,100.00
2024-11-05T15-30-22,MT,Madison,30057,4615,1689,157,100.00,100.00
2024-11-05T15-30-22,MT,Meagher,30059,888,256,28,100.00,100.00
2024-11-05T15-30-22,MT,Mineral,30061,2049,689,95,100.00,100.00
2024-11-05T15-30-22,MT,Missoula,30063,27306,42903,2564,100.00,100.00
2024-11-05T15-30-22,MT,Musselshell,30065,2550,396,66,100.00,100.00
2024-11-05T15-30-22,MT,Park,30067,6128,5224,365,100.00,100.00
2024-11-05T15-30-22,MT,Petroleum,30069,284,37,3,100.00,100.00
2024-11-05T15-30-22,MT,Phillips,30071,1753,385,51,100.00,100.00
2024-11-05T15-30-22,MT,Pondera,30073,1972,782,98,100.00,100.00
2024-11-05T15-30-22,MT,Powder River,30075,963,131,12,100.00,100.00
2024-11-05T15-30-22,MT,Powell,30077,2466,710,106,100.00,100.00
2024-11-05T15-30-22,MT,Prairie,30079,546,122,20,100.00,100.00
2024-11-05T15-30-22,MT,Ravalli,30081,20617,8485,802,100.00,100.00
2024-11-05T15-30-22,MT,Richland,30083,4387,778,144,100.00,100.00
2024-11-05T15-30-22,MT,Roosevelt,30085,2055,1680,179,100.00,100.00
2024-11-05T15-30-22,MT,Rosebud,30087,2466,1095,132,100.00,100.00
2024-11-05T15-30-22,MT,Sanders,30089,6150,1705,214,100.00,100.00
2024-11-05T15-30-22,MT,Sheridan,30091,1321,509,82,100.00,100.00
2024-11-05T15-30-22,MT,Silver Bow,30093,8110,9386,730,100.00,100.00
2024-11-05T15-30-22,MT,Stillwater,30095,4699,1056,151,100.00,100.00
2024-11-05T15-30-22,MT,Sweet Grass,30097,1789,525,67,100.00,100.00
2024-11-05T15-30-22,MT,Teton,30099,2533,927,108,100.00,100.00
2024-11-05T15-30-22,MT,Toole,30101,1571,415,60,100.00,100.00
2024-11-05T15-30-22,MT,Treasure,30103,367,57,18,100.00,100.00
2024-11-05T15-30-22,MT,Valley,30105,3019,935,125,100.00,100.00
2024-11-05T15-30-22,MT,Wheatland,30107,843,209,34,100.00,100.00
2024-11-05T15-30-22,MT,Wibaux,30109,463,71,12,100.00,100.00
2024-11-05T15-30-22,MT,Yellowstone,30111,50460,28392,2539,100.00,100.00
