timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,OK,Adair,40001,5860,1289,107,100.00,100.00
2024-11-05T15-30-22,OK,Alfalfa,40003,1891,236,33,100.00,100.00
2024-11-05T15-30-22,OK,Atoka,40005,4832,779,51,100.00,100.00
2024-11-05T15-30-22,OK,Beaver,40007,1938,158,28,100.00,100.00
2024-11-05T15-30-22,OK,Beckham,40009,6474,1093,111,100.00,100.00
2024-11-05T15-30-22,OK,Blaine,40011,3054,671,61,100.00,100.00
2024-11-05T15-30-22,OK,Bryan,40013,13999,3569,244,100.00,100.00
2024-11-05T15-30-22,OK,Caddo,40015,6886,2414,196,100.00,100.00
2024-11-05T15-30-22,OK,Canadian,40017,50551,21038,1485,100.00,100.00
2024-11-05T15-30-22,OK,Carter,40019,14945,4277,266,100.00,100.00
2024-11-05T15-30-22,OK,Cherokee,40021,11637,5826,360,100.00,100.00
2024-11-05T15-30-22,OK,Choctaw,40023,4633,944,62,100.00,100.00
2024-11-05T15-30-22,OK,Cimarron,40025,860,66,9,100.00,100.00
2024-11-05T15-30-22,OK,Cleveland,40027,67225,49432,2637,100.00,100.00
2024-11-05T15-30-22,OK,Coal,40029,2155,345,38,100.00,100.00
2024-11-05T15-30-22,OK,Comanche,40031,20823,12823,638,100.00,100.00
2024-11-05T15-30-22,OK,Cotton,40033,2067,392,47,100.00,100.00
2024-11-05T15-30-22,OK,Craig,40035,4740,1212,104,100.00,100.00
2024-11-05T15-30-22,OK,Creek,40037,24098,6643,571,100.00,100.00
2024-11-05T15-30-22,OK,Custer,40039,7693,2279,196,100.00,100.00
2024-11-05T15-30-22,OK,Delaware,40041,14407,3475,226,100.00,100.00
2024-11-05T15-30-22,OK,Dewey,40043,1984,209,22,100.00,100.00
2024-11-05T15-30-22,OK,Ellis,40045,1585,197,30,100.00,100.00
2024-11-05T15-30-22,OK,Garfield,40047,16593,4849,402,100.00,100.00
2024-11-05T15-30-22,OK,Garvin,40049,9063,1802,126,100.00,100.00
2024-11-05T15-30-22,OK,Grady,40051,20378,4536,369,100.00,100.00
2024-11-05T15-30-22,OK,Grant,40053,1794,295,36,100.00,100.00
2024-11-05T15-30-22,OK,Greer,40055,1511,304,21,100.00,100.00
2024-11-05T15-30-22,OK,Harmon,40057,709,165,8,100.00,100.00
2024-11-05T15-30-22,OK,Harper,40059,1284,147,20,100.00,100.00
2024-11-05T15-30-22,OK,Haskell,40061,4156,718,62,100.00,100.00
2024-11-05T15-30-22,OK,Hughes,40063,3744,831,84,100.00,100.00
2024-11-05T15-30-22,OK,Jackson,40065,6295,1602,156,100.00,100.00
2024-11-05T15-30-22,OK,Jefferson,40067,2020,319,36,100.00,100.00
2024-11-05T15-30-22,OK,Johnston,40069,3462,684,84,100.00,100.00
2024-11-05T15-30-22,OK,Kay,40071,12483,4136,294,100.00,100.00
2024-11-05T15-30-22,OK,Kingfisher,40073,5745,923,86,100.00,100.00
2024-11-05T15-30-22,OK,Kiowa,40075,2569,658,51,100.00,100.00
2024-11-05T15-30-22,OK,Latimer,40077,3356,681,42,100.00,100.00
2024-11-05T15-30-22,OK,LeFlore,40079,15333,3184,237,100.00,100.00
2024-11-05T15-30-22,OK,Lincoln,40081,12495,2712,258,100.00,100.00
