timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,PA,Adams,42001,40248,19842,560,100.00,100.00
2024-11-05T15-30-22,PA,Allegheny,42003,283595,429916,6993,100.00,100.00
2024-11-05T15-30-22,PA,Armstrong,42005,28296,8553,270,100.00,100.00
2024-11-05T15-30-22,PA,Beaver,42007,56837,37196,810,100.00,100.00
2024-11-05T15-30-22,PA,Bedford,42009,23658,4336,166,100.00,100.00
2024-11-05T15-30-22,PA,Berks,42011,116677,91125,2036,100.00,100.00
2024-11-05T15-30-22,PA,Blair,42013,46352,18127,470,100.00,100.00
2024-11-05T15-30-22,PA,Bradford,42015,22937,7990,265,100.00,100.00
2024-11-05T15-30-22,PA,Bucks,42017,198722,198431,3875,100.00,100.00
2024-11-05T15-30-22,PA,Butler,42019,79773,40661,1006,100.00,100.00
2024-11-05T15-30-22,PA,Cambria,42021,49408,21177,551,100.00,100.00
2024-11-05T15-30-22,PA,Cameron,42023,1654,538,27,100.00,100.00
2024-11-05T15-30-22,PA,Carbon,42025,23708,11394,293,100.00,100.00
2024-11-05T15-30-22,PA,Centre,42027,38829,41119,844,100.00,100.00
2024-11-05T15-30-22,PA,Chester,42029,137299,184281,3384,100.00,100.00
2024-11-05T15-30-22,PA,Clarion,42031,15036,4562,135,100.00,100.00
2024-11-05T15-30-22,PA,Clearfield,42033,30481,9647,302,100.00,100.00
2024-11-05T15-30-22,PA,Clinton,42035,12965,5395,162,100.00,100.00
2024-11-05T15-30-22,PA,Columbia,42037,21190,11083,303,100.00,100.00
2024-11-05T15-30-22,PA,Crawford,42039,29685,12858,329,100.00,100.00
2024-11-05T15-30-22,PA,Cumberland,42041,80267,66255,1874,100.00,100.00
2024-11-05T15-30-22,PA,Dauphin,42043,69474,78327,1725,100.00,100.00
2024-11-05T15-30-22,PA,Delaware,42045,123421,201324,3427,100.00,100.00
2024-11-05T15-30-22,PA,Elk,42047,12543,4483,127,100.00,100.00
2024-11-05T15-30-22,PA,Erie,42049,68866,67456,1273,100.00,100.00
2024-11-05T15-30-22,PA,Fayette,42051,43633,19548,291,100.00,100.00
2024-11-05T15-30-22,PA,Forest,42053,1902,724,24,100.00,100.00
2024-11-05T15-30-22,PA,Franklin,42055,59604,23543,737,100.00,100.00
2024-11-05T15-30-22,PA,Fulton,42057,7039,1102,36,100.00,100.00
2024-11-05T15-30-22,PA,Greene,42059,12319,4592,325,100.00,100.00
2024-11-05T15-30-22,PA,Huntingdon,42061,17627,5368,161,100.00,100.00
2024-11-05T15-30-22,PA,Indiana,42063,29215,12697,317,100.00,100.00
2024-11-05T15-30-22,PA,Jefferson,42065,18235,4707,187,100.00,100.00
2024-11-05T15-30-22,PA,Juniata,42067,9721,2290,93,100.00,100.00
2024-11-05T15-30-22,PA,Lackawanna,42069,56261,59510,819,100.00,100.00
2024-11-05T15-30-22,PA,Lancaster,42071,166261,120119,2877,100.00,100.00
2024-11-05T15-30-22,PA,Lawrence,42073,31347,15440,323,100.00,100.00
2024-11-05T15-30-22,PA,Lebanon,42075,48282,24734,676,100.00,100.00
2024-11-05T15-30-22,PA,Lehigh,42077,91207,96317,2286,100.00,100.00
2024-11-05T15-30-22,PA,Luzerne,42079,92444,62504,1202,100.00,100.00
2024-11-05T15-30-22,PA,Lycoming,42081,41961,17216,508,100.00,100.00
2024-11-05T15-30-22,PA,McKean,42083,14401,5115,166,100.00,100.00
2024-11-05T15-30-22,PA,Mercer,42085,37761,20145,504,100.00,100.00
2024-11-05T15-30-22,PA,Mifflin,42087,17184,4735,152,100.00,100.00
2024-11-05T15-30-22,PA,Monroe,42089,42676,42007,842,100.00,100.00
2024-11-05T15-30-22,PA,Montgomery,42091,198311,317103,5492,100.00,100.00
2024-11-05T15-30-22,PA,Montour,42093,5944,3862,102,100.00,100.00
2024-11-05T15-30-22,PA,Northampton,42095,89817,86655,1743,100.00,100.00
2024-11-05T15-30-22,PA,Northumberland,42097,30240,12863,419,100.00,100.00
2024-11-05T15-30-22,PA,Perry,42099,19073,6385,267,100.00,100.00
2024-11-05T15-30-22,PA,Philadelphia,42101,144311,568571,8559,100.00,100.00
2024-11-05T15-30-22,PA,Pike,42103,21537,13132,281,100.00,100.00
2024-11-05T15-30-22,PA,Potter,42105,7334,1675,76,100.00,100.00
2024-11-05T15-30-22,PA,Schuylkill,42107,51665,20882,637,100.00,100.00
2024-11-05T15-30-22,PA,Snyder,42109,14664,5239,135,100.00,100.00
2024-11-05T15-30-22,PA,Somerset,42111,31993,8596,292,100.00,100.00
2024-11-05T15-30-22,PA,Sullivan,42113,2721,976,24,100.00,100.00
2024-11-05T15-30-22,PA,Susquehanna,42115,16114,6093,197,100.00,100.00
2024-11-05T15-30-22,PA,Tioga,42117,16272,5100,215,100.00,100.00
2024-11-05T15-30-22,PA,Union,42119,12969,8015,204,100.00,100.00
2024-11-05T15-30-22,PA,Venango,42121,18883,7624,225,100.00,100.00
2024-11-05T15-30-22,PA,Warren,42123,14345,6212,166,100.00,100.00
2024-11-05T15-30-22,PA,Washington,42125,75929,44910,778,100.00,100.00
2024-11-05T15-30-22,PA,Wayne,42127,20071,9150,223,100.00,100.00
2024-11-05T15-30-22,PA,Westmoreland,42129,135008,74904,1538,100.00,100.00
2024-11-05T15-30-22,PA,Wyoming,42131,10222,4680,150,100.00,100.00
2024-11-05T15-30-22,PA,York,42133,154884,91926,2400,100.00,100.00
