timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,TX,Anderson,48001,15597,3635,121,100.00,100.00
2024-11-05T15-30-22,TX,Andrews,48003,5205,806,48,100.00,100.00
2024-11-05T15-30-22,TX,Angelina,48005,26049,8146,224,100.00,100.00
2024-11-05T15-30-22,TX,Aransas,48007,10090,2831,107,100.00,100.00
2024-11-05T15-30-22,TX,Archer,48009,4592,520,20,100.00,100.00
2024-11-05T15-30-22,TX,Armstrong,48011,1029,77,3,100.00,100.00
2024-11-05T15-30-22,TX,Atascosa,48013,13142,5153,147,100.00,100.00
2024-11-05T15-30-22,TX,Austin,48015,12457,2816,106,100.00,100.00
2024-11-05T15-30-22,TX,Bailey,48017,1395,332,13,100.00,100.00
2024-11-05T15-30-22,TX,Bandera,48019,10939,2532,121,100.00,100.00
2024-11-05T15-30-22,TX,Bastrop,48021,23301,15989,498,100.00,100.00
2024-11-05T15-30-22,TX,Baylor,48023,1471,184,15,100.00,100.00
2024-11-05T15-30-22,TX,Bee,48025,6111,2606,72,100.00,100.00
2024-11-05T15-30-22,TX,Bell,48027,75161,53973,1423,100.00,100.00
2024-11-05T15-30-22,TX,Bexar,48029,337545,411389,8613,100.00,100.00
2024-11-05T15-30-22,TX,Blanco,48031,6447,1973,98,100.00,100.00
2024-11-05T15-30-22,TX,Borden,48033,370,16,1,100.00,100.00
2024-11-05T15-30-22,TX,Bosque,48035,7969,1524,78,100.00,100.00
2024-11-05T15-30-22,TX,Bowie,48037,27122,9282,225,100.00,100.00
2024-11-05T15-30-22,TX,Brazoria,48039,95867,63976,2107,100.00,100.00
2024-11-05T15-30-22,TX,Brazos,48041,56671,33844,1332,100.00,100.00
2024-11-05T15-30-22,TX,Brewster,48043,2545,1969,62,100.00,100.00
2024-11-05T15-30-22,TX,Briscoe,48045,666,72,6,100.00,100.00
2024-11-05T15-30-22,TX,Brooks,48047,1077,1308,17,100.00,100.00
2024-11-05T15-30-22,TX,Brown,48049,14593,2132,128,100.00,100.00
2024-11-05T15-30-22,TX,Burleson,48051,7590,1705,70,100.00,100.00
2024-11-05T15-30-22,TX,Burnet,48053,21795,6114,238,100.00,100.00
2024-11-05T15-30-22,TX,Caldwell,48055,8880,6618,188,100.00,100.00
2024-11-05T15-30-22,TX,Calhoun,48057,5939,1853,40,100.00,100.00
2024-11-05T15-30-22,TX,Callahan,48059,6180,761,44,100.00,100.00
2024-11-05T15-30-22,TX,Cameron,48061,60991,54258,873,100.00,100.00
2024-11-05T15-30-22,TX,Camp,48063,4011,1201,30,100.00,100.00
2024-11-05T15-30-22,TX,Carson,48065,2866,290,16,100.00,100.00
2024-11-05T15-30-22,TX,Cass,48067,11693,2406,41,100.00,100.00
2024-11-05T15-30-22,TX,Castro,48069,1594,418,9,100.00,100.00
2024-11-05T15-30-22,TX,Chambers,48071,20567,4192,212,100.00,100.00
2024-11-05T15-30-22,TX,Cherokee,48073,16593,3744,165,100.00,100.00
2024-11-05T15-30-22,TX,Childress,48075,1991,263,18,100.00,100.00
2024-11-05T15-30-22,TX,Clay,48077,5288,584,34,100.00,100.00
2024-11-05T15-30-22,TX,Cochran,48079,735,148,10,100.00,100.00
2024-11-05T15-30-22,TX,Coke,48081,1623,179,12,100.00,100.00
2024-11-05T15-30-22,TX,Coleman,48083,3712,428,15,100.00,100.00
2024-11-05T15-30-22,TX,Collin,48085,279534,222115,13518,100.00,100.00
2024-11-05T15-30-22,TX,Collingsworth,48087,1066,135,0,100.00,100.00
2024-11-05T15-30-22,TX,Colorado,48089,7824,2108,62,100.00,100.00
2024-11-05T15-30-22,TX,Comal,48091,74756,27680,1029,100.00,100.00
2024-11-05T15-30-22,TX,Comanche,48093,5679,834,31,100.00,100.00
2024-11-05T15-30-22,TX,Concho,48095,1038,153,7,100.00,100.00
2024-11-05T15-30-22,TX,Cooke,48097,16975,3310,147,100.00,100.00
