timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WI,Adams,55001,7763,4443,647,100.00,100.00
2024-11-05T15-30-22,WI,Ashland,55003,4191,4612,130,100.00,100.00
2024-11-05T15-30-22,WI,Barron,55005,16726,8941,1108,100.00,100.00
2024-11-05T15-30-22,WI,Bayfield,55007,4860,6107,237,100.00,100.00
2024-11-05T15-30-22,WI,Brown,55009,79132,67937,1891,100.00,100.00
2024-11-05T15-30-22,WI,Buffalo,55011,5213,2765,113,100.00,100.00
2024-11-05T15-30-22,WI,Burnett,55013,7008,3665,134,100.00,100.00
2024-11-05T15-30-22,WI,Calumet,55015,19488,12927,445,100.00,100.00
2024-11-05T15-30-22,WI,Chippewa,55017,23399,14573,428,100.00,100.00
2024-11-05T15-30-22,WI,Clark,55019,10481,4509,325,100.00,100.00
2024-11-05T15-30-22,WI,Columbia,55021,17988,16388,467,100.00,100.00
2024-11-05T15-30-22,WI,Crawford,55023,5113,3860,111,100.00,100.00
2024-11-05T15-30-22,WI,Dane,55025,85454,273995,5391,100.00,100.00
2024-11-05T15-30-22,WI,Dodge,55027,33067,16518,707,100.00,100.00
2024-11-05T15-30-22,WI,Door,55029,10099,10565,232,100.00,100.00
2024-11-05T15-30-22,WI,Douglas,55031,11732,13073,360,100.00,100.00
2024-11-05T15-30-22,WI,Dunn,55033,14726,10643,305,100.00,100.00
2024-11-05T15-30-22,WI,Eau Claire,55035,27728,34400,875,100.00,100.00
2024-11-05T15-30-22,WI,Florence,55037,2356,783,19,100.00,100.00
2024-11-05T15-30-22,WI,Fond du Lac,55039,37272,20495,671,100.00,100.00
2024-11-05T15-30-22,WI,Forest,55041,3382,1681,32,100.00,100.00
2024-11-05T15-30-22,WI,Grant,55043,15922,10966,366,100.00,100.00
2024-11-05T15-30-22,WI,Green,55045,10843,10903,280,100.00,100.00
2024-11-05T15-30-22,WI,Green Lake,55047,7458,3449,126,100.00,100.00
2024-11-05T15-30-22,WI,Iowa,55049,6631,7750,266,100.00,100.00
2024-11-05T15-30-22,WI,Iron,55051,2557,1487,35,100.00,100.00
2024-11-05T15-30-22,WI,Jackson,55053,6204,4157,140,100.00,100.00
2024-11-05T15-30-22,WI,Jefferson,55055,28771,20574,690,100.00,100.00
2024-11-05T15-30-22,WI,Juneau,55057,9525,4854,149,100.00,100.00
2024-11-05T15-30-22,WI,Kenosha,55059,47478,41826,1168,100.00,100.00
2024-11-05T15-30-22,WI,Kewaunee,55061,8267,4059,140,100.00,100.00
2024-11-05T15-30-22,WI,La Crosse,55063,32247,39008,987,100.00,100.00
2024-11-05T15-30-22,WI,Lafayette,55065,5256,3469,107,100.00,100.00
2024-11-05T15-30-22,WI,Langlade,55067,7782,3746,131,100.00,100.00
2024-11-05T15-30-22,WI,Lincoln,55069,10633,6306,249,100.00,100.00
2024-11-05T15-30-22,WI,Manitowoc,55071,28200,17399,636,100.00,100.00
2024-11-05T15-30-22,WI,Marathon,55073,46213,31529,933,100.00,100.00
2024-11-05T15-30-22,WI,Marinette,55075,16670,7415,279,100.00,100.00
2024-11-05T15-30-22,WI,Marquette,55077,6041,3252,113,100.00,100.00
2024-11-05T15-30-22,WI,Menominee,55078,296,1266,10,100.00,100.00
2024-11-05T15-30-22,WI,Milwaukee,55079,138022,316292,8452,100.00,100.00
2024-11-05T15-30-22,WI,Monroe,55081,14563,8476,282,100.00,100.00
2024-11-05T15-30-22,WI,Oconto,55083,17675,6967,239,100.00,100.00
2024-11-05T15-30-22,WI,Oneida,55085,14455,10080,302,100.00,100.00
2024-11-05T15-30-22,WI,Outagamie,55087,60827,49438,1640,100.00,100.00
2024-11-05T15-30-22,WI,Ozaukee,55089,34504,27874,821,100.00,100.00
2024-11-05T15-30-22,WI,Pepin,55091,2798,1523,33,100.00,100.00
2024-11-05T15-30-22,WI,Pierce,55093,14417,10171,732,100.00,100.00
2024-11-05T15-30-22,WI,Polk,55095,18296,9567,349,100.00,100.00
2024-11-05T15-30-22,WI,Portage,55097,20987,21503,668,100.00,100.00
2024-11-05T15-30-22,WI,Price,55099,5763,3005,88,100.00,100.00
2024-11-05T15-30-22,WI,Racine,55101,56347,49721,1334,100.00,100.00
2024-11-05T15-30-22,WI,Richland,55103,5207,3985,113,100.00,100.00
2024-11-05T15-30-22,WI,Rock,55105,40218,46642,1253,100.00,100.00
2024-11-05T15-30-22,WI,Rusk,55107,5660,2516,85,100.00,100.00
2024-11-05T15-30-22,WI,St. Croix,55109,35537,23870,1070,100.00,100.00
2024-11-05T15-30-22,WI,Sauk,55111,18798,18172,604,100.00,100.00
2024-11-05T15-30-22,WI,Sawyer,55113,6422,4599,101,100.00,100.00
2024-11-05T15-30-22,WI,Shawano,55115,15850,7336,269,100.00,100.00
2024-11-05T15-30-22,WI,Sheboygan,55117,38763,27735,912,100.00,100.00
2024-11-05T15-30-22,WI,Taylor,55119,8209,2823,140,100.00,100.00
2024-11-05T15-30-22,WI,Trempealeau,55121,9661,6219,186,100.00,100.00
2024-11-05T15-30-22,WI,Vernon,55123,8807,7514,258,100.00,100.00
2024-11-05T15-30-22,WI,Vilas,55125,9837,6119,145,100.00,100.00
2024-11-05T15-30-22,WI,Walworth,55127,36603,23161,701,100.00,100.00
2024-11-05T15-30-22,WI,Washburn,55129,6962,3867,124,100.00,100.00
2024-11-05T15-30-22,WI,Washington,55131,61604,28504,1054,100.00,100.00
2024-11-05T15-30-22,WI,Waukesha,55133,162768,108478,3599,100.00,100.00
2024-11-05T15-30-22,WI,Waupaca,55135,20093,9947,327,100.00,100.00
2024-11-05T15-30-22,WI,Waushara,55137,9625,4571,164,100.00,100.00
2024-11-05T15-30-22,WI,Winnebago,55139,49179,44660,1327,100.00,100.00
2024-11-05T15-30-22,WI,Wood,55141,24997,16599,553,100.00,100.00
