timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WV,Barbour,54001,5071,1199,125,100.00,100.00
2024-11-05T15-30-22,WV,Berkeley,54003,37580,17500,1022,100.00,100.00
2024-11-05T15-30-22,WV,Boone,54005,6314,1641,187,100.00,100.00
2024-11-05T15-30-22,WV,Braxton,54007,3991,1233,89,100.00,100.00
2024-11-05T15-30-22,WV,Brooke,54009,6986,2621,175,100.00,100.00
2024-11-05T15-30-22,WV,Cabell,54011,21229,13474,726,100.00,100.00
2024-11-05T15-30-22,WV,Calhoun,54013,2391,488,57,100.00,100.00
2024-11-05T15-30-22,WV,Clay,54015,2597,580,63,100.00,100.00
2024-11-05T15-30-22,WV,Doddridge,54017,2541,374,41,100.00,100.00
2024-11-05T15-30-22,WV,Fayette,54019,10910,4387,323,100.00,100.00
2024-11-05T15-30-22,WV,Gilmer,54021,1822,486,36,100.00,100.00
2024-11-05T15-30-22,WV,Grant,54023,4949,552,67,100.00,100.00
2024-11-05T15-30-22,WV,Greenbrier,54025,10517,4196,283,100.00,100.00
2024-11-05T15-30-22,WV,Hampshire,54027,8464,1890,146,100.00,100.00
2024-11-05T15-30-22,WV,Hancock,54029,9462,3360,208,100.00,100.00
2024-11-05T15-30-22,WV,Hardy,54031,4997,1297,117,100.00,100.00
2024-11-05T15-30-22,WV,Harrison,54033,20480,8402,613,100.00,100.00
2024-11-05T15-30-22,WV,Jackson,54035,9907,2699,216,100.00,100.00
2024-11-05T15-30-22,WV,Jefferson,54037,16573,11967,616,100.00,100.00
2024-11-05T15-30-22,WV,Kanawha,54039,43352,30231,1656,100.00,100.00
2024-11-05T15-30-22,WV,Lewis,54041,5550,1372,126,100.00,100.00
2024-11-05T15-30-22,WV,Lincoln,54043,5770,1279,138,100.00,100.00
2024-11-05T15-30-22,WV,Logan,54045,9500,1848,121,100.00,100.00
2024-11-05T15-30-22,WV,McDowell,54047,4310,1036,79,100.00,100.00
2024-11-05T15-30-22,WV,Marion,54049,15881,8185,568,100.00,100.00
2024-11-05T15-30-22,WV,Marshall,54051,9808,3186,239,100.00,100.00
2024-11-05T15-30-22,WV,Mason,54053,8232,2111,204,100.00,100.00
2024-11-05T15-30-22,WV,Mercer,54055,18372,4851,361,100.00,100.00
2024-11-05T15-30-22,WV,Mineral,54057,10247,2483,174,100.00,100.00
2024-11-05T15-30-22,WV,Mingo,54059,7325,1061,104,100.00,100.00
2024-11-05T15-30-22,WV,Monongalia,54061,21084,19265,1103,100.00,100.00
2024-11-05T15-30-22,WV,Monroe,54063,5089,1155,123,100.00,100.00
2024-11-05T15-30-22,WV,Morgan,54065,7009,1947,141,100.00,100.00
2024-11-05T15-30-22,WV,Nicholas,54067,7960,1919,158,100.00,100.00
2024-11-05T15-30-22,WV,Ohio,54069,11593,6727,369,100.00,100.00
2024-11-05T15-30-22,WV,Pendleton,54071,2687,680,58,100.00,100.00
2024-11-05T15-30-22,WV,Pleasants,54073,2632,656,60,100.00,100.00
2024-11-05T15-30-22,WV,Pocahontas,54075,2889,927,85,100.00,100.00
2024-11-05T15-30-22,WV,Preston,54077,11176,2953,297,100.00,100.00
2024-11-05T15-30-22,WV,Putnam,54079,19868,7124,515,100.00,100.00
2024-11-05T15-30-22,WV,Raleigh,54081,23644,6816,506,100.00,100.00
2024-11-05T15-30-22,WV,Randolph,54083,8356,3008,230,100.00,100.00
2024-11-05T15-30-22,WV,Ritchie,54085,3473,517,60,100.00,100.00
2024-11-05T15-30-22,WV,Roane,54087,4189,1218,114,100.00,100.00
2024-11-05T15-30-22,WV,Summers,54089,3931,1226,107,100.00,100.00
2024-11-05T15-30-22,WV,Taylor,54091,5422,1694,149,100.00,100.00
2024-11-05T15-30-22,WV,Tucker,54093,2669,890,77,100.00,100.00
2024-11-05T15-30-22,WV,Tyler,54095,2991,554,72,100.00,100.00
2024-11-05T15-30-22,WV,Upshur,54097,7633,2033,193,100.00,100.00
2024-11-05T15-30-22,WV,Wayne,54099,11934,3532,281,100.00,100.00
2024-11-05T15-30-22,WV,Webster,54101,2478,479,41,100.00,100.00
2024-11-05T15-30-22,WV,Wetzel,54103,4718,1294,156,100.00,100.00
2024-11-05T15-30-22,WV,Wirt,54105,2120,409,52,100.00,100.00
2024-11-05T15-30-22,WV,Wood,54107,26380,10317,616,100.00,100.00
2024-11-05T15-30-22,WV,Wyoming,54109,6503,980,82,100.00,100.00
