timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WY,Albany,56001,8930,8371,338,100.00,100.00
2024-11-05T15-30-22,WY,Big Horn,56003,4867,742,82,100.00,100.00
2024-11-05T15-30-22,WY,Campbell,56005,16006,2004,226,100.00,100.00
2024-11-05T15-30-22,WY,Carbon,56007,4952,1274,101,100.00,100.00
2024-11-05T15-30-22,WY,Converse,56009,5756,845,77,100.00,100.00
2024-11-05T15-30-22,WY,Crook,56011,3805,443,63,100.00,100.00
2024-11-05T15-30-22,WY,Fremont,56013,11552,5179,329,100.00,100.00
2024-11-05T15-30-22,WY,Goshen,56015,4893,1156,85,100.00,100.00
2024-11-05T15-30-22,WY,Hot Springs,56017,2082,488,34,100.00,100.00
2024-11-05T15-30-22,WY,Johnson,56019,3936,847,68,100.00,100.00
2024-11-05T15-30-22,WY,Laramie,56021,28063,14153,683,100.00,100.00
2024-11-05T15-30-22,WY,Lincoln,56023,8957,1623,151,100.00,100.00
2024-11-05T15-30-22,WY,Natrona,56025,24671,8337,583,100.00,100.00
2024-11-05T15-30-22,WY,Niobrara,56027,1108,112,10,100.00,100.00
2024-11-05T15-30-22,WY,Park,56029,13084,3259,232,100.00,100.00
2024-11-05T15-30-22,WY,Platte,56031,3874,780,73,100.00,100.00
2024-11-05T15-30-22,WY,Sheridan,56033,12041,3920,258,100.00,100.00
2024-11-05T15-30-22,WY,Sublette,56035,3905,920,60,100.00,100.00
2024-11-05T15-30-22,WY,Sweetwater,56037,12541,3731,297,100.00,100.00
2024-11-05T15-30-22,WY,Teton,56039,4134,8748,195,100.00,100.00
2024-11-05T15-30-22,WY,Uinta,56041,7282,1561,141,100.00,100.00
2024-11-05T15-30-22,WY,Washakie,56043,3125,656,60,100.00,100.00
2024-11-05T15-30-22,WY,Weston,56045,3069,378,47,100.00,100.00
