timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,AZ,Apache,04001,11283,19901,675,100.00,100.00
2024-11-05T15-30-22,AZ,Cochise,04003,33184,23347,1562,100.00,100.00
2024-11-05T15-30-22,AZ,Coconino,04005,24825,42924,1721,100.00,100.00
2024-11-05T15-30-22,AZ,Gila,04007,17433,9330,564,100.00,100.00
2024-11-05T15-30-22,AZ,Graham,04009,10385,4235,373,100.00,100.00
2024-11-05T15-30-22,AZ,Greenlee,04011,2078,1102,103,100.00,100.00
2024-11-05T15-30-22,AZ,La Paz,04012,4998,2292,219,100.00,100.00
2024-11-05T15-30-22,AZ,Maricopa,04013,940465,1045766,43852,100.00,100.00
2024-11-05T15-30-22,AZ,Mohave,04015,79494,26578,2398,100.00,100.00
2024-11-05T15-30-22,AZ,Navajo,04017,27218,22173,1078,100.00,100.00
2024-11-05T15-30-22,AZ,Pima,04019,193021,298751,13859,100.00,100.00
2024-11-05T15-30-22,AZ,Pinal,04021,115595,86674,4622,100.00,100.00
2024-11-05T15-30-22,AZ,Santa Cruz,04023,6370,11986,596,100.00,100.00
2024-11-05T15-30-22,AZ,Yavapai,04025,93200,52077,2555,100.00,100.00
2024-11-05T15-30-22,AZ,Yuma,04027,36212,29199,1691,100.00,100.00
