timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,NJ,Atlantic,34001,60859,58942,2429,100.00,100.00
2024-11-05T15-30-22,NJ,Bergen,34003,192452,224775,10607,100.00,100.00
2024-11-05T15-30-22,NJ,Burlington,34005,83225,134884,3722,100.00,100.00
2024-11-05T15-30-22,NJ,Camden,34007,79545,156445,3418,100.00,100.00
2024-11-05T15-30-22,NJ,Cape May,34009,30905,20096,616,100.00,100.00
2024-11-05T15-30-22,NJ,Cumberland,34011,25441,25186,1583,100.00,100.00
2024-11-05T15-30-22,NJ,Essex,34013,75420,216580,7887,100.00,100.00
2024-11-05T15-30-22,NJ,Gloucester,34015,77303,80034,2012,100.00,100.00
2024-11-05T15-30-22,NJ,Hudson,34017,64050,135615,8239,100.00,100.00
2024-11-05T15-30-22,NJ,Hunterdon,34019,40273,34983,1843,100.00,100.00
2024-11-05T15-30-22,NJ,Mercer,34021,46932,105685,3907,100.00,100.00
2024-11-05T15-30-22,NJ,Middlesex,34023,140676,188482,13544,100.00,100.00
2024-11-05T15-30-22,NJ,Monmouth,34025,185197,151920,7112,100.00,100.00
2024-11-05T15-30-22,NJ,Morris,34027,135636,127727,5289,100.00,100.00
2024-11-05T15-30-22,NJ,Ocean,34029,197040,109610,2883,100.00,100.00
2024-11-05T15-30-22,NJ,Passaic,34031,86654,91719,7655,100.00,100.00
2024-11-05T15-30-22,NJ,Salem,34033,17338,12561,809,100.00,100.00
2024-11-05T15-30-22,NJ,Somerset,34035,71652,95344,4272,100.00,100.00
2024-11-05T15-30-22,NJ,Sussex,34037,49734,29959,2571,100.00,100.00
2024-11-05T15-30-22,NJ,Union,34039,79183,138186,4855,100.00,100.00
2024-11-05T15-30-22,NJ,Warren,34041,34074,22758,1462,100.00,100.00
