timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,NM,Bernalillo,35001,117575,187163,0,100.00,100.00
2024-11-05T15-30-22,NM,Catron,35003,1676,615,0,100.00,100.00
2024-11-05T15-30-22,NM,Chaves,35005,14891,6723,0,100.00,100.00
2024-11-05T15-30-22,NM,Cibola,35006,3801,4955,0,100.00,100.00
2024-11-05T15-30-22,NM,Colfax,35007,3031,2706,0,100.00,100.00
2024-11-05T15-30-22,NM,Curry,35009,10176,4532,0,100.00,100.00
2024-11-05T15-30-22,NM,DeBaca,35011,585,268,0,100.00,100.00
2024-11-05T15-30-22,NM,Dona Ana,35013,36355,46715,0,100.00,100.00
2024-11-05T15-30-22,NM,Eddy,35015,16775,5979,0,100.00,100.00
2024-11-05T15-30-22,NM,Grant,35017,6133,7800,0,100.00,100.00
2024-11-05T15-30-22,NM,Guadalupe,35019,735,1143,0,100.00,100.00
2024-11-05T15-30-22,NM,Harding,35021,282,138,0,100.00,100.00
2024-11-05T15-30-22,NM,Hidalgo,35023,980,785,0,100.00,100.00
2024-11-05T15-30-22,NM,Lea,35025,15852,4563,0,100.00,100.00
2024-11-05T15-30-22,NM,Lincoln,35027,6706,3270,0,100.00,100.00
2024-11-05T15-30-22,NM,Los Alamos,35028,4365,7761,0,99.00,100.00
2024-11-05T15-30-22,NM,Luna,35029,4205,3547,0,100.00,100.00
2024-11-05T15-30-22,NM,McKinley,35031,8195,17064,0,100.00,100.00
2024-11-05T15-30-22,NM,Mora,35033,866,1532,0,100.00,100.00
2024-11-05T15-30-22,NM,Otero,35035,14147,9229,0,100.00,100.00
2024-11-05T15-30-22,NM,Quay,35037,2406,1174,0,100.00,100.00
2024-11-05T15-30-22,NM,Rio Arriba,35039,5524,10035,0,100.00,100.00
2024-11-05T15-30-22,NM,Roosevelt,35041,4559,1951,0,100.00,100.00
2024-11-05T15-30-22,NM,Sandoval,35043,35959,42473,0,100.00,100.00
2024-11-05T15-30-22,NM,San Juan,35045,32417,19078,0,100.00,100.00
2024-11-05T15-30-22,NM,San Miguel,35047,3427,7447,0,99.00,100.00
2024-11-05T15-30-22,NM,Santa Fe,35049,20183,62312,0,100.00,100.00
2024-11-05T15-30-22,NM,Sierra,35051,3269,2553,0,100.00,100.00
2024-11-05T15-30-22,NM,Socorro,35053,3365,3704,0,100.00,100.00
2024-11-05T15-30-22,NM,Taos,35055,3849,12457,0,100.00,100.00
2024-11-05T15-30-22,NM,Torrance,35057,4601,2454,0,100.00,100.00
2024-11-05T15-30-22,NM,Union,35059,1231,397,0,100.00,100.00
2024-11-05T15-30-22,NM,Valencia,35061,17857,14810,0,100.00,100.00
