timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,NV,Churchill,32001,9179,3278,949,100.00,100.00
2024-11-05T15-30-22,NV,Clark,32003,441057,514662,59118,100.00,100.00
2024-11-05T15-30-22,NV,Douglas,32005,22125,11675,1455,100.00,100.00
2024-11-05T15-30-22,NV,Elko,32007,15850,4439,1956,100.00,100.00
2024-11-05T15-30-22,NV,Esmeralda,32009,345,72,41,100.00,100.00
2024-11-05T15-30-22,NV,Eureka,32011,825,107,88,100.00,100.00
2024-11-05T15-30-22,NV,Humboldt,32013,5500,1838,630,100.00,100.00
2024-11-05T15-30-22,NV,Lander,32015,1924,538,249,100.00,100.00
2024-11-05T15-30-22,NV,Lincoln,32017,1959,353,142,100.00,100.00
2024-11-05T15-30-22,NV,Lyon,32019,21892,9182,2213,100.00,100.00
2024-11-05T15-30-22,NV,Mineral,32021,1326,737,224,100.00,100.00
2024-11-05T15-30-22,NV,Nye,32023,17220,7645,1978,100.00,100.00
2024-11-05T15-30-22,NV,Pershing,32027,1618,519,154,100.00,100.00
2024-11-05T15-30-22,NV,Storey,32029,1964,919,175,100.00,100.00
2024-11-05T15-30-22,NV,Washoe,32031,115713,130841,14921,100.00,100.00
2024-11-05T15-30-22,NV,White Pine,32033,3160,846,328,100.00,100.00
2024-11-05T15-30-22,NV,Carson City,32510,15389,13454,1956,100.00,100.00
