timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,OH,Adams,39001,9325,2447,400,100.00,100.00
2024-11-05T15-30-22,OH,Allen,39003,30208,14120,1655,100.00,100.00
2024-11-05T15-30-22,OH,Ashland,39005,17894,7280,1019,100.00,100.00
2024-11-05T15-30-22,OH,Ashtabula,39007,24117,16785,1780,100.00,100.00
2024-11-05T15-30-22,OH,Athens,39009,10013,14696,916,100.00,100.00
2024-11-05T15-30-22,OH,Auglaize,39011,19363,5248,861,100.00,100.00
2024-11-05T15-30-22,OH,Belmont,39013,20146,9476,1125,100.00,100.00
2024-11-05T15-30-22,OH,Brown,39015,15622,4610,746,100.00,100.00
2024-11-05T15-30-22,OH,Butler,39017,104952,69734,6546,100.00,100.00
2024-11-05T15-30-22,OH,Carroll,39019,9543,3545,571,100.00,100.00
2024-11-05T15-30-22,OH,Champaign,39021,13917,5547,796,100.00,100.00
2024-11-05T15-30-22,OH,Clark,39023,36611,23630,2387,100.00,100.00
2024-11-05T15-30-22,OH,Clermont,39025,70592,37825,4644,100.00,100.00
2024-11-05T15-30-22,OH,Clinton,39027,14513,5154,886,100.00,100.00
2024-11-05T15-30-22,OH,Columbiana,39029,31757,13902,1935,100.00,100.00
2024-11-05T15-30-22,OH,Coshocton,39031,11011,4457,716,100.00,100.00
2024-11-05T15-30-22,OH,Crawford,39033,13938,5400,790,100.00,100.00
2024-11-05T15-30-22,OH,Cuyahoga,39035,170671,384042,14239,100.00,100.00
2024-11-05T15-30-22,OH,Darke,39037,20615,5359,885,100.00,100.00
2024-11-05T15-30-22,OH,Defiance,39039,12028,5880,822,100.00,100.00
2024-11-05T15-30-22,OH,Delaware,39041,65715,63697,3562,100.00,100.00
2024-11-05T15-30-22,OH,Erie,39043,19654,18117,1536,100.00,100.00
2024-11-05T15-30-22,OH,Fairfield,39045,47342,33697,2812,100.00,100.00
2024-11-05T15-30-22,OH,Fayette,39047,8712,3207,474,100.00,100.00
2024-11-05T15-30-22,OH,Franklin,39049,186441,385850,16638,100.00,100.00
2024-11-05T15-30-22,OH,Fulton,39051,14450,6764,866,100.00,100.00
2024-11-05T15-30-22,OH,Gallia,39053,9316,2912,491,100.00,100.00
2024-11-05T15-30-22,OH,Geauga,39055,30987,22315,1328,100.00,100.00
2024-11-05T15-30-22,OH,Greene,39057,49477,37327,3052,100.00,100.00
2024-11-05T15-30-22,OH,Guernsey,39059,11836,4839,711,100.00,100.00
2024-11-05T15-30-22,OH,Hamilton,39061,158523,235825,13330,100.00,100.00
2024-11-05T15-30-22,OH,Hancock,39063,23803,12170,1547,100.00,100.00
2024-11-05T15-30-22,OH,Hardin,39065,8839,3367,585,100.00,100.00
2024-11-05T15-30-22,OH,Harrison,39067,4891,1857,320,100.00,100.00
2024-11-05T15-30-22,OH,Henry,39069,9685,4356,562,100.00,100.00
2024-11-05T15-30-22,OH,Highland,39071,14884,4152,692,100.00,100.00
2024-11-05T15-30-22,OH,Hocking,39073,8599,4125,572,100.00,100.00
2024-11-05T15-30-22,OH,Holmes,39075,9699,2117,380,100.00,100.00
2024-11-05T15-30-22,OH,Huron,39077,17090,8452,1288,100.00,100.00
2024-11-05T15-30-22,OH,Jackson,39079,10299,3346,472,100.00,100.00
2024-11-05T15-30-22,OH,Jefferson,39081,19795,9819,1194,100.00,100.00
2024-11-05T15-30-22,OH,Knox,39083,21363,9537,1060,100.00,100.00
2024-11-05T15-30-22,OH,Lake,39085,64089,58125,4036,100.00,100.00
2024-11-05T15-30-22,OH,Lawrence,39087,18077,7192,1060,100.00,100.00
2024-11-05T15-30-22,OH,Licking,39089,55320,35373,3604,100.00,100.00
2024-11-05T15-30-22,OH,Logan,39091,16763,5614,978,100.00,100.00
2024-11-05T15-30-22,OH,Lorain,39093,71759,79307,5098,100.00,100.00
2024-11-05T15-30-22,OH,Lucas,39095,72544,107783,8682,100.00,100.00
2024-11-05T15-30-22,OH,Madison,39097,13347,6322,789,100.00,100.00
2024-11-05T15-30-22,OH,Mahoning,39099,54067,53847,3577,100.00,100.00
2024-11-05T15-30-22,OH,Marion,39101,16763,8824,1192,100.00,100.00
2024-11-05T15-30-22,OH,Medina,39103,58915,43173,3252,100.00,100.00
2024-11-05T15-30-22,OH,Meigs,39105,7385,2456,374,100.00,100.00
2024-11-05T15-30-22,OH,Mercer,39107,18432,4337,698,100.00,100.00
2024-11-05T15-30-22,OH,Miami,39109,39225,17525,2036,100.00,100.00
2024-11-05T15-30-22,OH,Monroe,39111,4715,1725,211,100.00,100.00
2024-11-05T15-30-22,OH,Montgomery,39113,112324,130464,9120,100.00,100.00
2024-11-05T15-30-22,OH,Morgan,39115,4587,1802,252,100.00,100.00
2024-11-05T15-30-22,OH,Morrow,39117,13197,4610,727,100.00,100.00
2024-11-05T15-30-22,OH,Muskingum,39119,25408,11852,1677,100.00,100.00
2024-11-05T15-30-22,OH,Noble,39121,4555,1316,202,100.00,100.00
2024-11-05T15-30-22,OH,Ottawa,39123,13317,9460,920,100.00,100.00
2024-11-05T15-30-22,OH,Paulding,39125,6678,2056,456,100.00,100.00
2024-11-05T15-30-22,OH,Perry,39127,11626,4492,654,100.00,100.00
2024-11-05T15-30-22,OH,Pickaway,39129,19613,8452,985,100.00,100.00
2024-11-05T15-30-22,OH,Pike,39131,8264,3364,415,100.00,100.00
2024-11-05T15-30-22,OH,Portage,39133,42163,37082,2991,100.00,100.00
2024-11-05T15-30-22,OH,Preble,39135,15806,4940,781,100.00,100.00
2024-11-05T15-30-22,OH,Putnam,39137,15582,3573,549,100.00,100.00
2024-11-05T15-30-22,OH,Richland,39139,37368,18488,1887,100.00,100.00
2024-11-05T15-30-22,OH,Ross,39141,20402,11125,1160,100.00,100.00
2024-11-05T15-30-22,OH,Sandusky,39143,16951,10782,1522,100.00,100.00
2024-11-05T15-30-22,OH,Scioto,39145,20509,8935,1075,100.00,100.00
2024-11-05T15-30-22,OH,Seneca,39147,15420,8509,1161,100.00,100.00
2024-11-05T15-30-22,OH,Shelby,39149,19275,4927,865,100.00,100.00
2024-11-05T15-30-22,OH,Stark,39151,99365,75434,6931,100.00,100.00
2024-11-05T15-30-22,OH,Summit,39153,111573,150517,9145,100.00,100.00
2024-11-05T15-30-22,OH,Trumbull,39155,48755,43178,3716,100.00,100.00
2024-11-05T15-30-22,OH,Tuscarawas,39157,27395,13501,1739,100.00,100.00
2024-11-05T15-30-22,OH,Union,39159,21926,13719,1311,100.00,100.00
2024-11-05T15-30-22,OH,Van Wert,39161,10826,3204,575,100.00,100.00
2024-11-05T15-30-22,OH,Vinton,39163,4018,1360,220,100.00,100.00
2024-11-05T15-30-22,OH,Warren,39165,84796,49350,4719,100.00,100.00
2024-11-05T15-30-22,OH,Washington,39167,19865,9275,1061,100.00,100.00
2024-11-05T15-30-22,OH,Wayne,39169,33532,17313,1898,100.00,100.00
2024-11-05T15-30-22,OH,Williams,39171,12036,5043,937,100.00,100.00
2024-11-05T15-30-22,OH,Wood,39173,32801,31242,2752,100.00,100.00
2024-11-05T15-30-22,OH,Wyandot,39175,7813,2996,467,100.00,100.00
