timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,TN,Anderson,47001,23718,11587,722,100.00,100.00
2024-11-05T15-30-22,TN,Bedford,47003,15098,4067,415,100.00,100.00
2024-11-05T15-30-22,TN,Benton,47005,5653,1283,154,100.00,100.00
2024-11-05T15-30-22,TN,Bledsoe,47007,5061,897,103,100.00,100.00
2024-11-05T15-30-22,TN,Blount,47009,49551,17632,1271,100.00,100.00
2024-11-05T15-30-22,TN,Bradley,47011,37622,9494,1029,100.00,100.00
2024-11-05T15-30-22,TN,Campbell,47013,12250,2495,289,100.00,100.00
2024-11-05T15-30-22,TN,Cannon,47015,5308,1171,130,100.00,100.00
2024-11-05T15-30-22,TN,Carroll,47017,9446,2017,192,100.00,100.00
2024-11-05T15-30-22,TN,Carter,47019,19687,4081,448,100.00,100.00
2024-11-05T15-30-22,TN,Cheatham,47021,14518,5563,414,100.00,100.00
2024-11-05T15-30-22,TN,Chester,47023,6169,1135,141,100.00,100.00
2024-11-05T15-30-22,TN,Claiborne,47025,10885,2118,193,100.00,100.00
2024-11-05T15-30-22,TN,Clay,47027,2900,593,58,100.00,100.00
2024-11-05T15-30-22,TN,Cocke,47029,12471,2456,296,100.00,100.00
2024-11-05T15-30-22,TN,Coffee,47031,18463,5428,590,100.00,100.00
2024-11-05T15-30-22,TN,Crockett,47033,4530,1124,84,100.00,100.00
2024-11-05T15-30-22,TN,Cumberland,47035,26427,6751,540,100.00,100.00
2024-11-05T15-30-22,TN,Davidson,47037,100124,179312,5965,100.00,100.00
2024-11-05T15-30-22,TN,Decatur,47039,4410,811,97,100.00,100.00
2024-11-05T15-30-22,TN,DeKalb,47041,7137,1707,191,100.00,100.00
2024-11-05T15-30-22,TN,Dickson,47043,18149,5967,585,100.00,100.00
2024-11-05T15-30-22,TN,Dyer,47045,11050,2556,253,100.00,100.00
2024-11-05T15-30-22,TN,Fayette,47047,16600,6111,370,100.00,100.00
2024-11-05T15-30-22,TN,Fentress,47049,8064,1188,165,100.00,100.00
2024-11-05T15-30-22,TN,Franklin,47051,14437,4493,344,100.00,100.00
2024-11-05T15-30-22,TN,Gibson,47053,16078,4386,422,100.00,100.00
2024-11-05T15-30-22,TN,Giles,47055,10027,2844,267,100.00,100.00
2024-11-05T15-30-22,TN,Grainger,47057,9226,1537,146,100.00,100.00
2024-11-05T15-30-22,TN,Greene,47059,25157,4841,561,100.00,100.00
2024-11-05T15-30-22,TN,Grundy,47061,4931,960,138,100.00,100.00
2024-11-05T15-30-22,TN,Hamblen,47063,19382,5225,370,100.00,100.00
2024-11-05T15-30-22,TN,Hamilton,47065,97475,72115,3527,100.00,100.00
2024-11-05T15-30-22,TN,Hancock,47067,2365,343,46,100.00,100.00
2024-11-05T15-30-22,TN,Hardeman,47069,5731,3204,186,100.00,100.00
2024-11-05T15-30-22,TN,Hardin,47071,9945,1572,207,100.00,100.00
2024-11-05T15-30-22,TN,Hawkins,47073,21209,3715,475,100.00,100.00
2024-11-05T15-30-22,TN,Haywood,47075,3269,3122,120,100.00,100.00
2024-11-05T15-30-22,TN,Henderson,47077,9994,1704,182,100.00,100.00
