timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,VA,Accomack,51001,9339,7672,0,100.00,100.00
2024-11-05T15-30-22,VA,Albemarle,51003,21912,43968,0,100.00,100.00
2024-11-05T15-30-22,VA,Alleghany,51005,5358,2786,0,100.00,100.00
2024-11-05T15-30-22,VA,Amelia,51007,5600,2314,0,100.00,100.00
2024-11-05T15-30-22,VA,Amherst,51009,11414,5790,0,100.00,100.00
2024-11-05T15-30-22,VA,Appomattox,51011,6923,2562,0,100.00,100.00
2024-11-05T15-30-22,VA,Arlington,51013,27269,100725,0,100.00,100.00
2024-11-05T15-30-22,VA,Augusta,51015,31605,12517,0,100.00,100.00
2024-11-05T15-30-22,VA,Bath,51017,1881,684,0,100.00,100.00
2024-11-05T15-30-22,VA,Bedford,51019,37536,13068,0,100.00,100.00
2024-11-05T15-30-22,VA,Bland,51021,2707,709,0,100.00,100.00
2024-11-05T15-30-22,VA,Botetourt,51023,14950,6608,0,100.00,100.00
2024-11-05T15-30-22,VA,Brunswick,51025,3372,4324,0,100.00,100.00
2024-11-05T15-30-22,VA,Buchanan,51027,6686,2331,0,100.00,100.00
2024-11-05T15-30-22,VA,Buckingham,51029,4581,3242,0,100.00,100.00
2024-11-05T15-30-22,VA,Campbell,51031,22449,8526,0,100.00,100.00
2024-11-05T15-30-22,VA,Caroline,51033,9218,8249,0,100.00,100.00
2024-11-05T15-30-22,VA,Carroll,51035,12318,3637,0,100.00,100.00
2024-11-05T15-30-22,VA,Charles City,51036,1802,2397,0,100.00,100.00
2024-11-05T15-30-22,VA,Charlotte,51037,3815,2148,0,100.00,100.00
2024-11-05T15-30-22,VA,Chesterfield,51041,93336,115364,0,100.00,100.00
2024-11-05T15-30-22,VA,Clarke,51043,5487,4182,0,100.00,100.00
2024-11-05T15-30-22,VA,Craig,51045,2415,671,0,100.00,100.00
2024-11-05T15-30-22,VA,Culpeper,51047,17105,11211,0,100.00,100.00
2024-11-05T15-30-22,VA,Cumberland,51049,3256,2164,0,100.00,100.00
2024-11-05T15-30-22,VA,Dickenson,51051,4884,1929,0,100.00,100.00
