timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WI,Adams,55001,7551,4806,391,100.00,100.00
2024-11-05T15-30-22,WI,Ashland,55003,3844,4775,214,100.00,100.00
2024-11-05T15-30-22,WI,Barron,55005,16462,9352,706,100.00,100.00
2024-11-05T15-30-22,WI,Bayfield,55007,4697,6260,202,100.00,100.00
2024-11-05T15-30-22,WI,Brown,55009,76722,67789,3240,100.00,100.00
2024-11-05T15-30-22,WI,Buffalo,55011,4898,2913,201,100.00,100.00
2024-11-05T15-30-22,WI,Burnett,55013,6745,3730,256,100.00,100.00
2024-11-05T15-30-22,WI,Calumet,55015,19075,12850,737,100.00,100.00
2024-11-05T15-30-22,WI,Chippewa,55017,22189,14875,965,100.00,100.00
2024-11-05T15-30-22,WI,Clark,55019,9917,4819,426,100.00,100.00
2024-11-05T15-30-22,WI,Columbia,55021,17120,16753,730,100.00,100.00
2024-11-05T15-30-22,WI,Crawford,55023,4761,4026,253,100.00,100.00
2024-11-05T15-30-22,WI,Dane,55025,84762,273696,4594,100.00,100.00
2024-11-05T15-30-22,WI,Dodge,55027,31928,16819,1148,100.00,100.00
2024-11-05T15-30-22,WI,Door,55029,9942,10503,351,100.00,100.00
2024-11-05T15-30-22,WI,Douglas,55031,11105,13119,644,100.00,100.00
2024-11-05T15-30-22,WI,Dunn,55033,13983,10795,598,100.00,100.00
2024-11-05T15-30-22,WI,Eau Claire,55035,26584,34382,1357,100.00,100.00
2024-11-05T15-30-22,WI,Florence,55037,2272,788,74,100.00,100.00
2024-11-05T15-30-22,WI,Fond du Lac,55039,35909,20777,1338,100.00,100.00
2024-11-05T15-30-22,WI,Forest,55041,3200,1853,136,100.00,100.00
2024-11-05T15-30-22,WI,Grant,55043,14995,11300,598,100.00,100.00
2024-11-05T15-30-22,WI,Green,55045,10280,11188,456,100.00,100.00
2024-11-05T15-30-22,WI,Green Lake,55047,7138,3592,250,100.00,100.00
2024-11-05T15-30-22,WI,Iowa,55049,6323,7946,290,100.00,100.00
2024-11-05T15-30-22,WI,Iron,55051,2445,1513,76,100.00,100.00
2024-11-05T15-30-22,WI,Jackson,55053,5764,4314,319,100.00,100.00
2024-11-05T15-30-22,WI,Jefferson,55055,28005,20631,1009,100.00,100.00
2024-11-05T15-30-22,WI,Juneau,55057,8993,4991,437,100.00,100.00
2024-11-05T15-30-22,WI,Kenosha,55059,45165,41946,2375,100.00,100.00
2024-11-05T15-30-22,WI,Kewaunee,55061,7869,4254,248,100.00,100.00
2024-11-05T15-30-22,WI,La Crosse,55063,30746,39268,1601,100.00,100.00
2024-11-05T15-30-22,WI,Lafayette,55065,4838,3763,167,100.00,100.00
2024-11-05T15-30-22,WI,Langlade,55067,7444,3830,281,100.00,100.00
2024-11-05T15-30-22,WI,Lincoln,55069,10119,6572,395,100.00,100.00
2024-11-05T15-30-22,WI,Manitowoc,55071,27201,17627,1106,100.00,100.00
2024-11-05T15-30-22,WI,Marathon,55073,44779,31883,1592,100.00,100.00
2024-11-05T15-30-22,WI,Marinette,55075,15730,7678,670,100.00,100.00
2024-11-05T15-30-22,WI,Marquette,55077,5729,3405,232,100.00,100.00
2024-11-05T15-30-22,WI,Menominee,55078,288,1203,43,100.00,100.00
2024-11-05T15-30-22,WI,Milwaukee,55079,131700,315402,9587,100.00,100.00
2024-11-05T15-30-22,WI,Monroe,55081,13860,8647,638,100.00,100.00
2024-11-05T15-30-22,WI,Oconto,55083,16959,7180,551,100.00,100.00
2024-11-05T15-30-22,WI,Oneida,55085,13898,10272,483,100.00,100.00
2024-11-05T15-30-22,WI,Outagamie,55087,59077,49196,2826,100.00,100.00
2024-11-05T15-30-22,WI,Ozaukee,55089,34914,27208,898,100.00,100.00
2024-11-05T15-30-22,WI,Pepin,55091,2636,1591,91,100.00,100.00
2024-11-05T15-30-22,WI,Pierce,55093,14172,10407,549,100.00,100.00
2024-11-05T15-30-22,WI,Polk,55095,17446,9710,773,100.00,100.00
2024-11-05T15-30-22,WI,Portage,55097,20082,21989,836,100.00,100.00
2024-11-05T15-30-22,WI,Price,55099,5424,3181,200,100.00,100.00
2024-11-05T15-30-22,WI,Racine,55101,54789,49333,2376,100.00,100.00
2024-11-05T15-30-22,WI,Richland,55103,4912,4111,202,100.00,100.00
2024-11-05T15-30-22,WI,Rock,55105,38097,47080,2196,100.00,100.00
2024-11-05T15-30-22,WI,Rusk,55107,5372,2548,276,100.00,100.00
2024-11-05T15-30-22,WI,St. Croix,55109,34844,23792,1360,100.00,100.00
2024-11-05T15-30-22,WI,Sauk,55111,17895,18429,853,100.00,100.00
2024-11-05T15-30-22,WI,Sawyer,55113,6208,4621,200,100.00,100.00
2024-11-05T15-30-22,WI,Shawano,55115,15052,7549,685,100.00,100.00
2024-11-05T15-30-22,WI,Sheboygan,55117,37747,27552,1548,100.00,100.00
2024-11-05T15-30-22,WI,Taylor,55119,7892,2943,287,100.00,100.00
2024-11-05T15-30-22,WI,Trempealeau,55121,9118,6424,368,100.00,100.00
2024-11-05T15-30-22,WI,Vernon,55123,8312,7765,397,100.00,100.00
2024-11-05T15-30-22,WI,Vilas,55125,9607,6120,277,100.00,100.00
2024-11-05T15-30-22,WI,Walworth,55127,35692,22882,1403,100.00,100.00
2024-11-05T15-30-22,WI,Washburn,55129,6724,3916,238,100.00,100.00
2024-11-05T15-30-22,WI,Washington,55131,61163,28053,1445,100.00,100.00
2024-11-05T15-30-22,WI,Waukesha,55133,163590,105781,4068,100.00,100.00
2024-11-05T15-30-22,WI,Waupaca,55135,19117,10013,954,100.00,100.00
2024-11-05T15-30-22,WI,Waushara,55137,9253,4643,354,100.00,100.00
2024-11-05T15-30-22,WI,Winnebago,55139,47265,44721,2433,100.00,100.00
2024-11-05T15-30-22,WI,Wood,55141,23662,17134,1008,100.00,100.00
