timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp,harris_votes_statewide,trump_votes_statewide,other_votes_statewide,final_state,final_county,final_fips,final_trump_votes,final_harris_votes,final_other_votes,harris_percent_snapshot,trump_percent_snapshot,margin_snapshot,harris_percent_final,trump_percent_final,margin_final,margin_difference,margin_difference_abs
2024-11-05T15-30-22,PA,Adams,42001,25334,8698,308,59.94,56.53,1910170,2021686,36988,PA,Adams,42001,37523,18207,810,25.329062317996502,73.77402446126966,-48.44496214327316,32.20198089847896,66.36540502299258,-34.16342412451362,-14.28153801875954,14.28153801875954
2024-11-05T15-30-22,PA,Allegheny,42003,211754,338347,5262,74.36,56.53,1910170,2021686,36988,PA,Allegheny,42003,282324,429065,8344,60.92357611148024,38.1289354890405,22.794640622439736,59.614468143047496,39.22621305400753,20.388255089039966,2.406385533399771,2.406385533399771
2024-11-05T15-30-22,PA,Armstrong,42005,16829,4045,157,57.47,56.53,1910170,2021686,36988,PA,Armstrong,42005,27489,8457,424,19.23351243402596,80.019970519709,-60.786458085683044,23.25268078086335,75.58152323343414,-52.32884245257079,-8.457615633112255,8.457615633112255
2024-11-05T15-30-22,PA,Beaver,42007,20777,10408,259,33.7,56.53,1910170,2021686,36988,PA,Beaver,42007,54759,38122,1241,33.10011448925073,66.07619895687571,-32.976084467624986,40.50275174773167,58.1787467329636,-17.67599498523193,-15.300089482393055,15.300089482393055
2024-11-05T15-30-22,PA,Bedford,42009,19425,3829,147,85.55,56.53,1910170,2021686,36988,PA,Bedford,42009,23025,4367,182,16.3625486090338,83.00927310798684,-66.64672449895303,15.837383041996084,83.50257488938855,-67.66519184739246,1.0184673484394295,1.0184673484394295
2024-11-05T15-30-22,PA,Berks,42011,99871,76335,1713,90.74,56.53,1910170,2021686,36988,PA,Berks,42011,109736,92895,2909,42.904355352716685,56.13284696968846,-13.228491616971773,45.19558236839545,53.38912133891214,-8.193538970516691,-5.034952646455082,5.034952646455082
2024-11-05T15-30-22,PA,Blair,42013,19619,6345,185,40.69,56.53,1910170,2021686,36988,PA,Blair,42013,45306,17636,653,24.26479024054457,75.02772572564916,-50.76293548510459,27.731739916660114,71.24144979951254,-43.50970988285242,-7.253225602252172,7.253225602252172
2024-11-05T15-30-22,PA,Bradford,42015,21577,7450,242,93.04,56.53,1910170,2021686,36988,PA,Bradford,42015,21600,8046,513,25.453551539171137,73.71963510881821,-48.26608356964707,26.678603401969564,71.62041181736795,-44.941808415398384,-3.3242751542486886,3.3242751542486886
2024-11-05T15-30-22,PA,Bucks,42017,62616,73673,1256,34.35,56.53,1910170,2021686,36988,PA,Bucks,42017,187367,204712,4155,53.56283398160602,45.524010323894,8.038823657712022,51.664420519188155,47.28695669730513,4.377463821883026,3.6613598358289963,3.6613598358289963
2024-11-05T15-30-22,PA,Butler,42019,69749,35418,890,93.63,56.53,1910170,2021686,36988,PA,Butler,42019,74359,37508,1438,33.39524972420491,65.76557888682501,-32.3703291626201,33.103570010149596,65.62728917523498,-32.52371916508538,0.15339000246527945,0.15339000246527945
