timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp,harris_votes_statewide,trump_votes_statewide,other_votes_statewide,final_state,final_county,final_fips,final_trump_votes,final_harris_votes,final_other_votes
2024-11-05T15-30-22,PA,Adams,42001,25334,8698,308,59.94,56.53,1910170,2021686,36988,PA,Adams,42001,37523,18207,810
2024-11-05T15-30-22,PA,Allegheny,42003,211754,338347,5262,74.36,56.53,1910170,2021686,36988,PA,Allegheny,42003,282324,429065,8344
2024-11-05T15-30-22,PA,Armstrong,42005,16829,4045,157,57.47,56.53,1910170,2021686,36988,PA,Armstrong,42005,27489,8457,424
2024-11-05T15-30-22,PA,Beaver,42007,20777,10408,259,33.7,56.53,1910170,2021686,36988,PA,Beaver,42007,54759,38122,1241
2024-11-05T15-30-22,PA,Bedford,42009,19425,3829,147,85.55,56.53,1910170,2021686,36988,PA,Bedford,42009,23025,4367,182
2024-11-05T15-30-22,PA,Berks,42011,99871,76335,1713,90.74,56.53,1910170,2021686,36988,PA,Berks,42011,109736,92895,2909
2024-11-05T15-30-22,PA,Blair,42013,19619,6345,185,40.69,56.53,1910170,2021686,36988,PA,Blair,42013,45306,17636,653
2024-11-05T15-30-22,PA,Bradford,42015,21577,7450,242,93.04,56.53,1910170,2021686,36988,PA,Bradford,42015,21600,8046,513
2024-11-05T15-30-22,PA,Bucks,42017,62616,73673,1256,34.35,56.53,1910170,2021686,36988,PA,Bucks,42017,187367,204712,4155
2024-11-05T15-30-22,PA,Butler,42019,69749,35418,890,93.63,56.53,1910170,2021686,36988,PA,Butler,42019,74359,37508,1438
2024-11-05T15-30-22,PA,Cambria,42021,7270,7463,109,20.29,56.53,1910170,2021686,36988,PA,Cambria,42021,48085,21730,759
2024-11-05T15-30-22,PA,Cameron,42023,0,0,0,0.0,56.53,1910170,2021686,36988,PA,Cameron,42023,1771,634,29
2024-11-05T15-30-22,PA,Carbon,42025,20323,7270,231,85.03,56.53,1910170,2021686,36988,PA,Carbon,42025,21984,11212,433
2024-11-05T15-30-22,PA,Centre,42027,28082,26202,581,68.34,56.53,1910170,2021686,36988,PA,Centre,42027,36372,40055,1066
2024-11-05T15-30-22,PA,Chester,42029,15405,19722,429,11.21,56.53,1910170,2021686,36988,PA,Chester,42029,128565,182372,3565
2024-11-05T15-30-22,PA,Clarion,42031,14708,4502,133,96.45,56.53,1910170,2021686,36988,PA,Clarion,42031,14578,4678,237
2024-11-05T15-30-22,PA,Clearfield,42033,898,252,5,2.89,56.53,1910170,2021686,36988,PA,Clearfield,42033,29203,9673,546
2024-11-05T15-30-22,PA,Clinton,42035,12908,5366,162,98.0,56.53,1910170,2021686,36988,PA,Clinton,42035,11902,5502,221
2024-11-05T15-30-22,PA,Columbia,42037,13764,5744,188,62.35,56.53,1910170,2021686,36988,PA,Columbia,42037,20098,10532,541
2024-11-05T15-30-22,PA,Crawford,42039,29450,12644,326,96.01,56.53,1910170,2021686,36988,PA,Crawford,42039,28559,12924,521
2024-11-05T15-30-22,PA,Cumberland,42041,68306,56798,1570,89.03,56.53,1910170,2021686,36988,PA,Cumberland,42041,77212,62245,2138
2024-11-05T15-30-22,PA,Dauphin,42043,26232,40164,733,44.19,56.53,1910170,2021686,36988,PA,Dauphin,42043,66408,78983,1977
2024-11-05T15-30-22,PA,Delaware,42045,25366,56911,744,24.56,56.53,1910170,2021686,36988,PA,Delaware,42045,118532,206423,2976
2024-11-05T15-30-22,PA,Elk,42047,12506,4464,127,95.0,56.53,1910170,2021686,36988,PA,Elk,42047,12140,4522,244
2024-11-05T15-30-22,PA,Erie,42049,15345,27624,375,31.92,56.53,1910170,2021686,36988,PA,Erie,42049,66869,68286,1928
2024-11-05T15-30-22,PA,Fayette,42051,31486,15888,220,78.77,56.53,1910170,2021686,36988,PA,Fayette,42051,41227,20444,468
2024-11-05T15-30-22,PA,Forest,42053,1897,719,24,98.0,56.53,1910170,2021686,36988,PA,Forest,42053,1882,728,36
2024-11-05T15-30-22,PA,Franklin,42055,43058,12471,478,69.14,56.53,1910170,2021686,36988,PA,Franklin,42055,57245,22422,1116
2024-11-05T15-30-22,PA,Fulton,42057,6908,1051,34,98.0,56.53,1910170,2021686,36988,PA,Fulton,42057,6824,1085,68
2024-11-05T15-30-22,PA,Greene,42059,12258,4554,324,98.0,56.53,1910170,2021686,36988,PA,Greene,42059,12579,4911,179
