margin_low,margin_high,bin_low,bin_hi,p0.01,p0.1,p1,p2,p3,p4,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p97,p98,p99,p99.9,p99.99
-5,5,0,5,-94.08667274,-47.04333637,-45.8158537,-44.58837103,-43.51783716,-42.65041347,-41.78298979,-34.80914694,-32.39745902,-31.91995592,-26.07033444,-21.44906811,-19.39996062,-15.94336563,-11.32586677,-8.048532761,-1.593285573,7.269391716,17.59972013,29.53590109,32.51018204,34.0000008,35.11177886,42.21344604,43.56827127,44.68159174,45.56107192,46.69000389,47.81893585,95.6378717
-5,5,5.00000001,10,-65.52259552,-32.76129776,-30.73777471,-28.71425166,-26.69072861,-24.66720556,-22.6436825,-12.52606725,-11.55821847,-10.59036969,-9.497987473,-8.405605261,-8.070638569,-7.735671877,-3.798047225,0.1395774263,1.981931786,3.824286146,3.993378079,4.162470012,6.910063326,9.657656641,12.20713716,14.75661768,26.16481035,30.72808742,33.00972595,35.29136449,37.57300302,75.14600604
-5,5,10.00000001,15,-75.1720439,-37.58602195,-35.09924552,-32.61246909,-30.12569266,-27.63891623,-25.15213979,-19.47533272,-18.51798933,-15.47059013,-8.33347091,-0.2330593756,6.185862904,10.26115337,12.51611518,12.86477917,16.18815682,17.8252363,18.46754399,20.72956269,28.26541727,35.36631599,36.10598919,45.08695267,54.3912206,57.55279768,59.13358622,60.71437476,62.2951633,124.5903266
-5,5,15.00000001,20,-81.972635,-40.9863175,-40.06074979,-39.13518209,-38.20961438,-37.28404668,-36.13867955,-28.35502061,-19.47186433,-16.61298116,-15.26792718,-14.90307853,-14.12065716,-12.88769983,-11.92070871,-11.31396288,-10.25974423,-2.520036319,0.2849674311,6.110065673,10.34835181,10.71252703,13.49799725,15.97312384,16.12356947,21.24990162,25.05330934,28.85671706,32.66012479,65.32024958
-5,5,20.00000001,25,-98.09526452,-49.04763226,-47.23531063,-45.422989,-43.61066737,-41.79834574,-41.14072467,-37.0563215,-26.22044916,-19.9619112,-12.64662334,-10.67835083,-9.742948825,-9.481653088,-9.335672351,-7.399591248,-3.945367811,-2.748261319,-2.24360809,8.011253779,10.49075907,15.86948233,18.94478404,19.1869625,21.80510791,25.74164774,28.33171441,30.92178108,33.51184774,67.02369548
-5,5,25.00000001,30,-73.23340484,-36.61670242,-34.8662019,-33.11570138,-31.36520086,-29.61470035,-27.86419983,-17.42175379,-11.43919931,-10.67522981,-10.49739706,-7.241787164,-5.846861241,-5.019022702,-3.733455263,-1.23412295,5.212643865,7.059751816,7.407697049,7.885527779,8.650844288,9.300844416,10.35493234,13.46064647,18.14529072,19.61354823,20.34767699,21.08180574,21.81593449,43.63186898
-5,5,30.00000001,35,-56.11284006,-28.05642003,-26.52250127,-24.98858251,-23.45466375,-21.92074499,-21.27769765,-18.75768281,-16.72068804,-11.80214108,-6.892681882,-2.353161957,1.932908673,2.962674753,4.053143282,5.096460497,6.713910119,9.343205452,11.08243109,15.63548422,19.38062866,20.99682368,22.04125591,23.86268833,25.07935913,25.56188358,25.89891995,26.23595632,26.57299269,53.14598538
-5,5,35.00000001,40,-39.30120434,-19.65060217,-18.63727359,-17.62394501,-16.61061643,-15.2612089,-13.46369612,-9.174347965,-8.855471086,-7.149304919,-6.476178483,-6.151035978,-5.666976661,-5.178563187,-4.718318933,-4.389320885,-2.887227643,-1.791636024,4.720079405,8.127517576,8.234130934,8.649845362,10.11423733,11.77327989,16.50584253,19.13757595,19.35197369,19.56637143,19.78076917,39.56153834
-5,5,40.00000001,45,-48.12282968,-24.06141484,-23.83798842,-23.614562,-23.16584611,-21.36539343,-19.56494075,-17.01791894,-14.75906089,-10.263151,-5.643980431,-4.868762126,-4.18440001,-4.086687543,-3.673711527,-2.79987541,-2.219528661,-0.5665276608,0.7768294854,2.880452941,7.884144052,8.62866061,10.47138459,15.08958525,16.90848528,17.45693071,18.77689962,20.27115956,21.7654195,43.530839
-5,5,45.00000001,50,-37.86250274,-18.93125137,-18.27205401,-17.61285666,-16.91878294,-16.10264193,-15.28650093,-12.77329253,-11.71313758,-7.271394892,-6.917364671,-5.904045941,-4.989703043,-1.3790148,-0.1420145451,1.019655552,4.089888944,5.340073362,7.351314044,8.732185819,10.1422936,10.99668246,11.13672811,11.51674224,14.22737296,19.57474081,20.84337106,21.71055741,22.57774376,45.15548752
-5,5,50.00000001,55,-40.0349845,-20.01749225,-16.60364199,-13.5269764,-12.38912261,-11.39935207,-10.76127926,-9.287549994,-7.348629789,-6.674060491,-5.888084962,-5.598835695,-4.706105618,-2.45804725,-1.656151791,-1.186776751,-0.4024262936,-0.008809998775,0.1614547773,1.446458365,1.60687422,4.078182928,6.849947792,9.06378943,11.08439367,13.12376667,14.48468825,15.68354983,16.85422706,33.70845412
-5,5,55.00000001,60,-48.10022582,-24.05011291,-23.86062009,-23.67112726,-19.83439988,-14.23693858,-10.58165357,-10.05799815,-7.319802912,-6.113228344,-5.182089115,-4.648830255,-4.229542969,-3.035884489,-2.703458424,-2.19008323,-0.4632133928,-0.02817133016,1.207679926,2.752806949,4.162008681,5.004013176,6.014222978,7.270301505,8.555394402,8.668414485,10.11457936,14.42461714,18.73465492,37.46930984
-5,5,60.00000001,65,-17.02080819,-8.510404093,-8.169415938,-7.828427783,-7.756647242,-7.741541987,-7.708650579,-7.126447157,-6.106966385,-4.472226764,-3.352410846,-2.084585152,-1.206296209,-0.5031936159,-0.08917239257,0.2458361041,0.5443862611,1.229080894,1.62027378,2.977904817,4.054519224,5.257828043,6.360311762,11.17956559,12.16076883,16.86854118,19.82319274,20.93295008,22.04270742,44.08541484
-5,5,65.00000001,70,-19.98175506,-9.990877529,-9.063762656,-8.194499675,-8.019459388,-7.863570295,-7.813012766,-7.174984077,-6.472362135,-5.989612995,-4.796464741,-3.355770203,-2.728468556,-2.346767498,-1.939879057,-1.435718226,-0.7736301098,0.03972695086,0.4139719974,0.7363825562,1.100350187,2.898748037,3.20771957,5.502561802,7.118307287,12.53909567,18.10224258,20.70106132,23.0528527,46.1057054
-5,5,70.00000001,75,-43.65499034,-21.82749517,-14.57472939,-9.692274769,-7.575183175,-6.988125452,-6.704524491,-4.675702323,-4.208219026,-3.89701197,-3.187988302,-2.43094261,-1.484068985,-0.5136552205,-0.02933012676,0.06565146613,0.3480255152,0.9745157187,1.301666528,1.966698914,2.458684025,3.162860584,4.374997818,5.508885622,7.213146474,7.698470462,7.738009532,7.97086461,8.369419122,16.73883824
-5,5,75.00000001,80,-16.16188002,-8.080940008,-8.080940008,-7.912785269,-7.478385526,-7.359975967,-7.10447778,-4.571101508,-4.238574616,-3.036483676,-2.616000646,-2.419381092,-2.273633234,-1.349978669,-0.5156224279,-0.0001130306223,0.0304519621,0.07627712266,0.1777330413,0.8145904016,1.336853049,1.93686496,2.500433421,4.12465098,4.491404004,5.359063827,5.396492063,6.309455428,7.775388347,15.55077669
-5,5,80.00000001,85,-14.56622809,-7.283114046,-7.040019982,-6.935836812,-6.935836812,-6.935836812,-6.305383916,-2.976866981,-2.381307509,-1.805073904,-1.679208472,-1.110742643,-0.9180480452,-0.5573230932,-0.2178349116,-0.02147437953,0.06862978162,0.3625176555,0.4941100686,0.7743621978,0.9931125254,1.368407102,1.815990368,2.596869251,4.399703081,7.473137147,7.944267868,11.6701267,20.15368303,40.30736606
-5,5,85.00000001,90,-25.51492972,-12.75746486,-11.11101809,-8.473771714,-6.104814103,-4.921460582,-4.910818274,-2.546369832,-2.018268664,-1.215250139,-0.8633083934,-0.6892394475,-0.4280365726,-0.0500852634,-0.0005896734452,0.1024944491,0.3275666173,0.4552698114,0.7332425022,0.9630831948,1.110136282,1.443834875,1.591539362,1.864326795,4.179584278,6.051047365,7.294709299,7.369652787,7.763106101,15.5262122
-5,5,90.00000001,95,-47.29999412,-23.64999706,-4.987765757,-2.798223227,-2.227405548,-1.949211786,-1.888055406,-1.350629242,-1.050287564,-0.8581511252,-0.5729329133,-0.3192180976,-0.1404947681,-0.05625062692,-0.02255947389,-0.004572254016,0.02475760423,0.1125807462,0.2184737076,0.2794422362,0.3858021678,0.5154211199,0.7824400111,1.107511065,1.513221479,2.700748636,2.996803075,3.575329734,7.5074736,15.0149472
-5,5,95.00000001,99.9999999,-47.29999412,-23.64999706,-8.288518988,-1.767148035,-1.115253369,-0.8898444298,-0.8753863581,-0.4172207466,-0.2477679955,-0.1139362539,-0.06400654998,-0.03468234981,-0.01352819245,-0.004093934503,-0.0001130306223,0.005928621016,0.02831426397,0.07388016423,0.1682434556,0.2856191922,0.3760753385,0.4693904131,0.5699395284,0.7114555451,0.9420458287,1.595896291,2.589041926,2.961397628,9.408974216,18.81794843
-5,5,99.99999991,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-5.0000001,0,5,-67.8921497,-33.94607485,-29.25379824,-24.56152162,-23.63458834,-23.25868093,-21.67621678,-16.82024592,-14.32251608,-12.19008353,-9.576190422,-7.689841457,0.3418665742,7.295056848,12.78665795,13.72243695,20.11998516,21.11165581,29.73233911,38.02710067,39.57544684,40.35471254,42.92080519,44.0198196,44.83886267,46.33182569,47.33176869,47.40281359,47.4738585,94.947717
-20,-5.0000001,5.00000001,10,-63.40355188,-31.70177594,-31.3630724,-31.02436887,-30.40501556,-29.30454836,-28.20408116,-23.32248571,-21.50523915,-20.61920829,-17.53115376,-15.99905406,-15.22292731,-13.7198,-11.8820776,-4.586445341,-3.934443588,-0.1979535716,2.310244202,4.990246213,7.224201705,13.74076766,18.63702417,27.58031931,32.55756887,32.57706881,33.12758809,33.99355614,34.85952419,69.71904838
-20,-5.0000001,10.00000001,15,-61.38727484,-30.69363742,-27.44151648,-24.18939555,-22.21585035,-21.24292964,-20.3607886,-18.75373392,-18.00738649,-16.02359825,-12.48522902,-9.294757487,-4.676859423,-3.52503645,-1.787696715,-0.5033312365,3.156566134,5.167554403,6.697922894,8.493307915,11.10897208,14.21206796,17.61498408,21.87204754,31.39898126,31.69623425,31.92344589,32.32854922,32.73365254,65.46730508
-20,-5.0000001,15.00000001,20,-41.11891202,-20.55945601,-20.09134845,-19.62324089,-19.15676347,-18.71636837,-18.27597327,-16.56926798,-14.80920214,-13.80933688,-4.297246132,-2.840310493,-1.912239725,-1.232754991,-0.38531488,-0.1243587677,1.031685653,2.916098748,5.328439009,7.573849119,8.170708577,14.52679078,14.67493433,18.53082703,21.67863561,22.81145627,24.68413934,26.63846446,28.59278958,57.18557916
-20,-5.0000001,20.00000001,25,-55.13095498,-27.56547749,-26.93421848,-26.30295946,-25.43223111,-23.12468672,-20.81714233,-17.99957332,-15.65022724,-13.22980621,-11.47990693,-8.147406221,-4.77970508,-4.425640631,-1.373542205,0.5509065418,2.257531319,4.452665207,6.009091757,12.69436597,15.5314881,20.52665017,24.56019389,27.38616122,33.21588079,33.306205,35.057371,37.09287097,39.12837095,78.2567419
