timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IN,Adams,18001,9495,3399,749,100.00,100.00
2024-11-05T15-30-22,IN,Allen,18003,84139,67803,6153,100.00,100.00
2024-11-05T15-30-22,IN,Bartholomew,18005,20406,12549,1922,100.00,100.00
2024-11-05T15-30-22,IN,Benton,18007,2654,1036,264,100.00,100.00
2024-11-05T15-30-22,IN,Blackford,18009,3019,1358,535,100.00,100.00
2024-11-05T15-30-22,IN,Boone,18011,20832,16170,2106,100.00,100.00
2024-11-05T15-30-22,IN,Brown,18013,4917,2936,1003,100.00,100.00
2024-11-05T15-30-22,IN,Carroll,18015,6176,2373,654,100.00,100.00
2024-11-05T15-30-22,IN,Cass,18017,8976,4253,921,100.00,100.00
2024-11-05T15-30-22,IN,Clark,18019,31970,23830,1926,100.00,100.00
2024-11-05T15-30-22,IN,Clay,18021,8261,2679,698,100.00,100.00
2024-11-05T15-30-22,IN,Clinton,18023,7489,3585,875,100.00,100.00
2024-11-05T15-30-22,IN,Crawford,18025,3235,1493,204,100.00,100.00
2024-11-05T15-30-22,IN,Daviess,18027,7691,2343,944,100.00,100.00
2024-11-05T15-30-22,IN,Dearborn,18029,20222,5431,809,100.00,100.00
2024-11-05T15-30-22,IN,Decatur,18031,8243,2563,829,100.00,100.00
2024-11-05T15-30-22,IN,DeKalb,18033,13100,5277,1159,100.00,100.00
2024-11-05T15-30-22,IN,Delaware,18035,22026,20177,1968,100.00,100.00
2024-11-05T15-30-22,IN,Dubois,18037,11950,6905,1723,100.00,100.00
2024-11-05T15-30-22,IN,Elkhart,18039,43571,23559,2648,100.00,100.00
2024-11-05T15-30-22,IN,Fayette,18041,6714,2201,468,100.00,100.00
2024-11-05T15-30-22,IN,Floyd,18043,22642,17420,968,100.00,100.00
2024-11-05T15-30-22,IN,Fountain,18045,5664,1704,570,100.00,100.00
2024-11-05T15-30-22,IN,Franklin,18047,8763,2157,404,100.00,100.00
2024-11-05T15-30-22,IN,Fulton,18049,5673,2358,798,100.00,100.00
2024-11-05T15-30-22,IN,Gibson,18051,11073,3985,607,100.00,100.00
2024-11-05T15-30-22,IN,Grant,18053,15694,7395,1604,100.00,100.00
2024-11-05T15-30-22,IN,Greene,18055,9530,3589,933,100.00,100.00
2024-11-05T15-30-22,IN,Hamilton,18057,100223,89605,6031,100.00,100.00
2024-11-05T15-30-22,IN,Hancock,18059,26136,14775,3127,100.00,100.00
2024-11-05T15-30-22,IN,Harrison,18061,13875,5780,632,100.00,100.00
2024-11-05T15-30-22,IN,Hendricks,18063,45136,31290,4103,100.00,100.00
2024-11-05T15-30-22,IN,Henry,18065,13004,6331,1269,100.00,100.00
2024-11-05T15-30-22,IN,Howard,18067,23030,13173,2390,100.00,100.00
2024-11-05T15-30-22,IN,Huntington,18069,11348,4624,1177,100.00,100.00
2024-11-05T15-30-22,IN,Jackson,18071,12760,4788,1020,100.00,100.00
2024-11-05T15-30-22,IN,Jasper,18073,10484,3724,708,100.00,100.00
2024-11-05T15-30-22,IN,Jay,18075,5262,1943,553,100.00,100.00
2024-11-05T15-30-22,IN,Jefferson,18077,8444,4799,495,100.00,100.00
2024-11-05T15-30-22,IN,Jennings,18079,8069,2810,788,100.00,100.00
2024-11-05T15-30-22,IN,Johnson,18081,47249,25361,4341,100.00,100.00
2024-11-05T15-30-22,IN,Knox,18083,9880,3813,658,100.00,100.00
2024-11-05T15-30-22,IN,Kosciusko,18085,23059,8024,2544,100.00,100.00
2024-11-05T15-30-22,IN,LaGrange,18087,7143,2304,510,100.00,100.00
2024-11-05T15-30-22,IN,Lake,18089,88280,107417,4129,100.00,100.00
2024-11-05T15-30-22,IN,LaPorte,18091,23534,19850,1785,100.00,100.00
2024-11-05T15-30-22,IN,Lawrence,18093,13626,5234,1509,100.00,100.00
2024-11-05T15-30-22,IN,Madison,18095,31023,21266,3234,100.00,100.00
2024-11-05T15-30-22,IN,Marion,18097,118511,222440,12311,100.00,100.00
2024-11-05T15-30-22,IN,Marshall,18099,12298,5543,1120,100.00,100.00
2024-11-05T15-30-22,IN,Martin,18101,2787,1305,799,100.00,100.00
2024-11-05T15-30-22,IN,Miami,18103,8834,3647,965,100.00,100.00
