timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,ND,Adams,38001,978,162,53,100.00,100.00
2024-11-05T15-30-22,ND,Barnes,38003,3655,1417,205,100.00,100.00
2024-11-05T15-30-22,ND,Benson,38005,1135,697,103,100.00,100.00
2024-11-05T15-30-22,ND,Billings,38007,526,85,39,100.00,100.00
2024-11-05T15-30-22,ND,Bottineau,38009,2585,622,216,100.00,100.00
2024-11-05T15-30-22,ND,Bowman,38011,1387,171,60,100.00,100.00
2024-11-05T15-30-22,ND,Burke,38013,874,115,56,100.00,100.00
2024-11-05T15-30-22,ND,Burleigh,38015,36496,11343,3492,100.00,100.00
2024-11-05T15-30-22,ND,Cass,38017,50505,34903,3953,100.00,100.00
2024-11-05T15-30-22,ND,Cavalier,38019,1491,401,78,100.00,100.00
2024-11-05T15-30-22,ND,Dickey,38021,1802,491,123,100.00,100.00
2024-11-05T15-30-22,ND,Divide,38023,894,226,67,100.00,100.00
2024-11-05T15-30-22,ND,Dunn,38025,1806,276,131,100.00,100.00
2024-11-05T15-30-22,ND,Eddy,38027,856,280,68,100.00,100.00
2024-11-05T15-30-22,ND,Emmons,38029,1582,183,130,100.00,100.00
2024-11-05T15-30-22,ND,Foster,38031,1330,291,71,100.00,100.00
2024-11-05T15-30-22,ND,Golden Valley,38033,825,101,50,100.00,100.00
2024-11-05T15-30-22,ND,Grand Forks,38035,19016,10153,1455,100.00,100.00
2024-11-05T15-30-22,ND,Grant,38037,1045,165,91,100.00,100.00
2024-11-05T15-30-22,ND,Griggs,38039,977,259,41,100.00,100.00
2024-11-05T15-30-22,ND,Hettinger,38041,1057,138,84,100.00,100.00
2024-11-05T15-30-22,ND,Kidder,38043,1085,188,105,100.00,100.00
2024-11-05T15-30-22,ND,LaMoure,38045,1619,393,103,100.00,100.00
2024-11-05T15-30-22,ND,Logan,38047,855,107,64,100.00,100.00
2024-11-05T15-30-22,ND,McHenry,38049,2102,435,184,100.00,100.00
2024-11-05T15-30-22,ND,McIntosh,38051,1087,229,62,100.00,100.00
2024-11-05T15-30-22,ND,McKenzie,38053,4473,634,290,100.00,100.00
2024-11-05T15-30-22,ND,McLean,38055,4094,943,334,100.00,100.00
2024-11-05T15-30-22,ND,Mercer,38057,3625,609,272,100.00,100.00
2024-11-05T15-30-22,ND,Morton,38059,12297,3141,1152,100.00,100.00
2024-11-05T15-30-22,ND,Mountrail,38061,2759,1014,248,100.00,100.00
2024-11-05T15-30-22,ND,Nelson,38063,1159,513,67,100.00,100.00
2024-11-05T15-30-22,ND,Oliver,38065,866,132,70,100.00,100.00
2024-11-05T15-30-22,ND,Pembina,38067,2387,609,90,100.00,100.00
2024-11-05T15-30-22,ND,Pierce,38069,1477,362,117,100.00,100.00
2024-11-05T15-30-22,ND,Ramsey,38071,3671,1198,303,100.00,100.00
2024-11-05T15-30-22,ND,Ransom,38073,1699,798,123,100.00,100.00
2024-11-05T15-30-22,ND,Renville,38075,969,153,80,100.00,100.00
2024-11-05T15-30-22,ND,Richland,38077,5710,2093,356,100.00,100.00
2024-11-05T15-30-22,ND,Rolette,38079,1548,2244,186,100.00,100.00
2024-11-05T15-30-22,ND,Sargent,38081,1310,604,104,100.00,100.00
2024-11-05T15-30-22,ND,Sheridan,38083,576,94,75,100.00,100.00
2024-11-05T15-30-22,ND,Sioux,38085,312,545,84,100.00,100.00
2024-11-05T15-30-22,ND,Slope,38087,340,28,23,100.00,100.00
2024-11-05T15-30-22,ND,Stark,38089,12056,1792,960,100.00,100.00
2024-11-05T15-30-22,ND,Steele,38091,627,321,52,100.00,100.00
2024-11-05T15-30-22,ND,Stutsman,38093,7009,2158,574,100.00,100.00
2024-11-05T15-30-22,ND,Towner,38095,804,244,58,100.00,100.00
2024-11-05T15-30-22,ND,Traill,38097,2721,1160,176,100.00,100.00
2024-11-05T15-30-22,ND,Walsh,38099,3305,975,190,100.00,100.00
2024-11-05T15-30-22,ND,Ward,38101,20361,5716,1877,100.00,100.00
2024-11-05T15-30-22,ND,Wells,38103,1662,330,230,100.00,100.00
2024-11-05T15-30-22,ND,Williams,38105,11669,1802,1147,100.00,100.00
