timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,UT,Beaver,49001,2120,251,758,100.00,100.00
2024-11-05T15-30-22,UT,Box Elder,49003,18423,3535,6694,100.00,100.00
2024-11-05T15-30-22,UT,Cache,49005,36185,13061,10789,100.00,100.00
2024-11-05T15-30-22,UT,Carbon,49007,5710,2094,1509,100.00,100.00
2024-11-05T15-30-22,UT,Daggett,49009,391,72,74,100.00,100.00
2024-11-05T15-30-22,UT,Davis,49011,95679,40181,30160,100.00,100.00
2024-11-05T15-30-22,UT,Duchesne,49013,5721,728,2320,100.00,100.00
2024-11-05T15-30-22,UT,Emery,49015,3256,469,1205,100.00,100.00
2024-11-05T15-30-22,UT,Garfield,49017,1914,393,448,100.00,100.00
2024-11-05T15-30-22,UT,Grand,49019,2186,2433,387,100.00,100.00
2024-11-05T15-30-22,UT,Iron,49021,16814,3967,6560,100.00,100.00
2024-11-05T15-30-22,UT,Juab,49023,3821,491,2080,100.00,100.00
2024-11-05T15-30-22,UT,Kane,49025,2628,859,898,100.00,100.00
2024-11-05T15-30-22,UT,Millard,49027,3708,499,2099,100.00,100.00
2024-11-05T15-30-22,UT,Morgan,49029,4293,772,1738,100.00,100.00
2024-11-05T15-30-22,UT,Piute,49031,718,53,173,100.00,100.00
2024-11-05T15-30-22,UT,Rich,49033,1088,132,207,100.00,100.00
2024-11-05T15-30-22,UT,Salt Lake,49035,222608,220368,62092,100.00,100.00
2024-11-05T15-30-22,UT,San Juan,49037,2241,1994,2000,100.00,100.00
2024-11-05T15-30-22,UT,Sanpete,49039,8052,1240,3529,100.00,100.00
2024-11-05T15-30-22,UT,Sevier,49041,7341,777,2668,100.00,100.00
2024-11-05T15-30-22,UT,Summit,49043,11202,11435,2854,100.00,100.00
2024-11-05T15-30-22,UT,Tooele,49045,19827,7104,6576,100.00,100.00
2024-11-05T15-30-22,UT,Uintah,49047,10208,1428,3859,100.00,100.00
2024-11-05T15-30-22,UT,Utah,49049,171100,54536,73224,100.00,100.00
2024-11-05T15-30-22,UT,Wasatch,49051,10043,4574,3686,100.00,100.00
2024-11-05T15-30-22,UT,Washington,49053,53786,15977,26147,100.00,100.00
2024-11-05T15-30-22,UT,Wayne,49055,925,287,407,100.00,100.00
2024-11-05T15-30-22,UT,Weber,49057,59443,30804,20371,100.00,100.00
