timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WV,Barbour,54001,4521,1298,415,100.00,100.00
2024-11-05T15-30-22,WV,Berkeley,54003,33619,15120,6302,100.00,100.00
2024-11-05T15-30-22,WV,Boone,54005,4874,2509,458,100.00,100.00
2024-11-05T15-30-22,WV,Braxton,54007,3329,1535,296,100.00,100.00
2024-11-05T15-30-22,WV,Brooke,54009,6250,2615,564,100.00,100.00
2024-11-05T15-30-22,WV,Cabell,54011,17316,15432,1953,100.00,100.00
2024-11-05T15-30-22,WV,Calhoun,54013,2008,607,159,100.00,100.00
2024-11-05T15-30-22,WV,Clay,54015,2065,857,213,100.00,100.00
2024-11-05T15-30-22,WV,Doddridge,54017,2186,506,167,100.00,100.00
2024-11-05T15-30-22,WV,Fayette,54019,9093,5006,970,100.00,100.00
2024-11-05T15-30-22,WV,Gilmer,54021,1522,594,151,100.00,100.00
2024-11-05T15-30-22,WV,Grant,54023,4535,583,202,100.00,100.00
2024-11-05T15-30-22,WV,Greenbrier,54025,9046,4944,675,100.00,100.00
2024-11-05T15-30-22,WV,Hampshire,54027,7755,1794,611,100.00,100.00
2024-11-05T15-30-22,WV,Hancock,54029,8590,3335,684,100.00,100.00
2024-11-05T15-30-22,WV,Hardy,54031,4497,1364,391,100.00,100.00
2024-11-05T15-30-22,WV,Harrison,54033,17953,8771,2072,100.00,100.00
2024-11-05T15-30-22,WV,Jackson,54035,7886,3499,1133,100.00,100.00
2024-11-05T15-30-22,WV,Jefferson,54037,16716,10705,1287,100.00,100.00
2024-11-05T15-30-22,WV,Kanawha,54039,34907,33906,4519,100.00,100.00
2024-11-05T15-30-22,WV,Lewis,54041,4873,1501,581,100.00,100.00
2024-11-05T15-30-22,WV,Lincoln,54043,4505,1942,468,100.00,100.00
2024-11-05T15-30-22,WV,Logan,54045,7424,2865,452,100.00,100.00
2024-11-05T15-30-22,WV,McDowell,54047,3489,1189,310,100.00,100.00
2024-11-05T15-30-22,WV,Marion,54049,13883,8380,1853,100.00,100.00
2024-11-05T15-30-22,WV,Marshall,54051,8522,3605,825,100.00,100.00
2024-11-05T15-30-22,WV,Mason,54053,6455,3239,565,100.00,100.00
2024-11-05T15-30-22,WV,Mercer,54055,16234,5560,1118,100.00,100.00
2024-11-05T15-30-22,WV,Mineral,54057,9771,2306,578,100.00,100.00
2024-11-05T15-30-22,WV,Mingo,54059,5873,1781,303,100.00,100.00
2024-11-05T15-30-22,WV,Monongalia,54061,19233,18949,2348,100.00,100.00
2024-11-05T15-30-22,WV,Monroe,54063,4454,1470,258,100.00,100.00
2024-11-05T15-30-22,WV,Morgan,54065,6373,1747,695,100.00,100.00
2024-11-05T15-30-22,WV,Nicholas,54067,6699,2552,495,100.00,100.00
2024-11-05T15-30-22,WV,Ohio,54069,10634,6646,962,100.00,100.00
2024-11-05T15-30-22,WV,Pendleton,54071,2486,661,155,100.00,100.00
2024-11-05T15-30-22,WV,Pleasants,54073,2358,675,196,100.00,100.00
2024-11-05T15-30-22,WV,Pocahontas,54075,2465,1057,230,100.00,100.00
2024-11-05T15-30-22,WV,Preston,54077,9874,3055,1033,100.00,100.00
2024-11-05T15-30-22,WV,Putnam,54079,16068,9220,1508,100.00,100.00
2024-11-05T15-30-22,WV,Raleigh,54081,20000,8125,1678,100.00,100.00
2024-11-05T15-30-22,WV,Randolph,54083,7142,3376,776,100.00,100.00
2024-11-05T15-30-22,WV,Ritchie,54085,2999,642,235,100.00,100.00
2024-11-05T15-30-22,WV,Roane,54087,3526,1535,304,100.00,100.00
2024-11-05T15-30-22,WV,Summers,54089,3367,1474,231,100.00,100.00
2024-11-05T15-30-22,WV,Taylor,54091,4829,1802,479,100.00,100.00
2024-11-05T15-30-22,WV,Tucker,54093,2281,1040,227,100.00,100.00
2024-11-05T15-30-22,WV,Tyler,54095,2596,624,290,100.00,100.00
2024-11-05T15-30-22,WV,Upshur,54097,6478,1948,1213,100.00,100.00
2024-11-05T15-30-22,WV,Wayne,54099,9471,5030,697,100.00,100.00
2024-11-05T15-30-22,WV,Webster,54101,2038,680,159,100.00,100.00
2024-11-05T15-30-22,WV,Wetzel,54103,4007,1560,370,100.00,100.00
2024-11-05T15-30-22,WV,Wirt,54105,1788,523,157,100.00,100.00
2024-11-05T15-30-22,WV,Wood,54107,23422,10532,2237,100.00,100.00
2024-11-05T15-30-22,WV,Wyoming,54109,5015,1705,444,100.00,100.00
