timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,AL,Choctaw,01023,3845,2683,0,100.0,100.00
2024-11-05T15-30-22,AL,Clarke,01025,5748,3377,0,100.0,100.00
2024-11-05T15-30-22,AL,Dallas,01047,4658,10777,0,100.0,100.00
2024-11-05T15-30-22,AL,Greene,01063,777,3215,0,100.0,100.00
2024-11-05T15-30-22,AL,Hale,01065,3138,4061,0,100.0,100.00
2024-11-05T15-30-22,AL,Jefferson,01073,50213,116527,0,100.0,100.00
2024-11-05T15-30-22,AL,Lowndes,01085,1599,3930,0,100.0,100.00
2024-11-05T15-30-22,AL,Marengo,01091,4613,4930,0,100.0,100.00
2024-11-05T15-30-22,AL,Perry,01105,1163,3252,0,100.0,100.00
2024-11-05T15-30-22,AL,Pickens,01107,5261,3583,0,100.0,100.00
2024-11-05T15-30-22,AL,Sumter,01119,1401,3848,0,100.0,100.00
2024-11-05T15-30-22,AL,Tuscaloosa,01125,22273,22976,0,100.0,100.00
2024-11-05T15-30-22,AL,Wilcox,01131,1623,3564,0,100.0,100.00
