timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,AR,Ashley,05003,5168,1613,0,100.0,100.00
2024-11-05T15-30-22,AR,Bradley,05011,2263,857,0,100.0,100.00
2024-11-05T15-30-22,AR,Calhoun,05013,1660,359,0,100.0,100.00
2024-11-05T15-30-22,AR,Clark,05019,4790,2698,0,100.0,100.00
2024-11-05T15-30-22,AR,Cleveland,05025,2787,456,0,100.0,100.00
2024-11-05T15-30-22,AR,Columbia,05027,5397,2164,0,100.0,100.00
2024-11-05T15-30-22,AR,Dallas,05039,1472,736,0,100.0,100.00
2024-11-05T15-30-22,AR,Drew,05043,4318,1901,0,100.0,100.00
2024-11-05T15-30-22,AR,Franklin,05047,5700,1085,0,100.0,100.00
2024-11-05T15-30-22,AR,Garland,05051,29186,11165,0,100.0,100.00
2024-11-05T15-30-22,AR,Grant,05053,6848,1057,0,100.0,100.00
2024-11-05T15-30-22,AR,Hempstead,05057,4278,1602,0,100.0,100.00
2024-11-05T15-30-22,AR,Hot Spring,05059,9372,2547,0,100.0,100.00
2024-11-05T15-30-22,AR,Howard,05061,3278,1022,0,100.0,100.00
2024-11-05T15-30-22,AR,Jefferson,05069,9162,11632,0,100.0,100.00
2024-11-05T15-30-22,AR,Johnson,05071,6864,1912,0,100.0,100.00
2024-11-05T15-30-22,AR,Lafayette,05073,1601,606,0,100.0,100.00
2024-11-05T15-30-22,AR,Little River,05081,3759,973,0,100.0,100.00
2024-11-05T15-30-22,AR,Logan,05083,6703,1312,0,100.0,100.00
2024-11-05T15-30-22,AR,Miller,05091,11846,3454,0,100.0,100.00
2024-11-05T15-30-22,AR,Montgomery,05097,3007,555,0,100.0,100.00
2024-11-05T15-30-22,AR,Nevada,05099,2004,785,0,100.0,100.00
2024-11-05T15-30-22,AR,Newton,05101,2989,608,0,100.0,100.00
2024-11-05T15-30-22,AR,Ouachita,05103,5233,3141,0,100.0,100.00
2024-11-05T15-30-22,AR,Pike,05109,3742,509,0,100.0,100.00
2024-11-05T15-30-22,AR,Polk,05113,7069,993,0,100.0,100.00
2024-11-05T15-30-22,AR,Pope,05115,18761,4945,0,100.0,100.00
2024-11-05T15-30-22,AR,Pulaski,05119,1869,5055,0,100.0,100.00
2024-11-05T15-30-22,AR,Scott,05127,2881,373,0,100.0,100.00
2024-11-05T15-30-22,AR,Sebastian,05131,3667,582,0,100.0,100.00
2024-11-05T15-30-22,AR,Sevier,05133,3801,792,0,100.0,100.00
2024-11-05T15-30-22,AR,Union,05139,10398,4613,0,100.0,100.00
2024-11-05T15-30-22,AR,Yell,05149,5173,1105,0,100.0,100.00
