timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,LA,Ascension,22005,1712,3841,0,100.0,100.00
2024-11-05T15-30-22,LA,Assumption,22007,1007,1433,0,100.0,100.00
2024-11-05T15-30-22,LA,East Baton Rouge,22033,956,18998,0,100.0,100.00
2024-11-05T15-30-22,LA,Iberville,22047,2870,4680,0,100.0,100.00
2024-11-05T15-30-22,LA,Jefferson,22051,15051,27075,0,100.0,100.00
2024-11-05T15-30-22,LA,Orleans,22071,9468,83971,0,100.0,100.00
2024-11-05T15-30-22,LA,St. Charles,22089,7003,4426,0,100.0,100.00
2024-11-05T15-30-22,LA,St. James,22093,3924,4724,0,100.0,100.00
2024-11-05T15-30-22,LA,St. John the Baptist,22095,2472,6146,0,100.0,100.00
2024-11-05T15-30-22,LA,West Baton Rouge,22121,2464,2826,0,100.0,100.00
