timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MI,Barry,26015,24850,11214,1396,100.0,100.00
2024-11-05T15-30-22,MI,Clare,26035,11742,4685,440,100.0,100.00
2024-11-05T15-30-22,MI,Eaton,26045,1843,757,112,100.0,100.00
2024-11-05T15-30-22,MI,Gladwin,26051,10892,3827,348,100.0,100.00
2024-11-05T15-30-22,MI,Gratiot,26057,12968,5787,578,100.0,100.00
2024-11-05T15-30-22,MI,Ionia,26067,21400,10181,1268,100.0,100.00
2024-11-05T15-30-22,MI,Isabella,26073,16398,12636,857,100.0,100.00
2024-11-05T15-30-22,MI,Kent,26081,40360,19885,1829,100.0,100.00
2024-11-05T15-30-22,MI,Lake,26085,4369,2071,231,100.0,100.00
2024-11-05T15-30-22,MI,Manistee,26101,8709,5758,465,100.0,100.00
2024-11-05T15-30-22,MI,Mason,26105,10842,6276,485,100.0,100.00
2024-11-05T15-30-22,MI,Mecosta,26107,14376,6930,641,100.0,100.00
2024-11-05T15-30-22,MI,Midland,26111,3919,1396,152,100.0,100.00
2024-11-05T15-30-22,MI,Montcalm,26117,23507,9233,1062,100.0,100.00
2024-11-05T15-30-22,MI,Muskegon,26121,21842,14885,1329,100.0,100.00
2024-11-05T15-30-22,MI,Newaygo,26123,20126,7467,919,100.0,100.00
2024-11-05T15-30-22,MI,Oceana,26127,9361,4616,466,100.0,100.00
2024-11-05T15-30-22,MI,Osceola,26133,9558,2981,401,100.0,100.00
2024-11-05T15-30-22,MI,Ottawa,26139,983,298,22,100.0,100.00
2024-11-05T15-30-22,MI,Wexford,26165,11122,4941,558,100.0,100.00
