timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MO,Adair,29001,6975,2839,217,100.0,100.00
2024-11-05T15-30-22,MO,Andrew,29003,7392,2034,253,100.0,100.00
2024-11-05T15-30-22,MO,Atchison,29005,2169,406,76,100.0,100.00
2024-11-05T15-30-22,MO,Audrain,29007,7522,2345,304,100.0,100.00
2024-11-05T15-30-22,MO,Buchanan,29021,23131,11186,888,100.0,100.00
2024-11-05T15-30-22,MO,Caldwell,29025,3721,748,155,100.0,100.00
2024-11-05T15-30-22,MO,Carroll,29033,3729,609,92,100.0,100.00
2024-11-05T15-30-22,MO,Chariton,29041,3211,689,101,100.0,100.00
2024-11-05T15-30-22,MO,Clark,29045,2659,523,64,100.0,100.00
2024-11-05T15-30-22,MO,Clay,29047,37830,21570,1439,100.0,100.00
2024-11-05T15-30-22,MO,Clinton,29049,8175,2506,294,100.0,100.00
2024-11-05T15-30-22,MO,Daviess,29061,3150,628,98,100.0,100.00
2024-11-05T15-30-22,MO,DeKalb,29063,3837,763,142,100.0,100.00
2024-11-05T15-30-22,MO,Gentry,29075,2627,525,74,100.0,100.00
2024-11-05T15-30-22,MO,Grundy,29079,3595,641,91,100.0,100.00
2024-11-05T15-30-22,MO,Harrison,29081,3260,480,55,100.0,100.00
2024-11-05T15-30-22,MO,Holt,29087,1941,314,58,100.0,100.00
2024-11-05T15-30-22,MO,Jackson County,29095,4418,1711,204,100.0,100.00
2024-11-05T15-30-22,MO,Knox,29103,1515,202,32,100.0,100.00
2024-11-05T15-30-22,MO,Lewis,29111,3586,714,86,100.0,100.00
2024-11-05T15-30-22,MO,Lincoln,29113,23423,6576,869,100.0,100.00
2024-11-05T15-30-22,MO,Linn,29115,4424,1042,132,100.0,100.00
2024-11-05T15-30-22,MO,Livingston,29117,5505,1108,126,100.0,100.00
2024-11-05T15-30-22,MO,Macon,29121,6306,1249,138,100.0,100.00
2024-11-05T15-30-22,MO,Marion,29127,10066,2581,262,100.0,100.00
2024-11-05T15-30-22,MO,Mercer,29129,1519,186,44,100.0,100.00
2024-11-05T15-30-22,MO,Monroe,29137,3451,721,89,100.0,100.00
2024-11-05T15-30-22,MO,Nodaway,29147,7047,2366,188,100.0,100.00
2024-11-05T15-30-22,MO,Pike,29163,6087,1401,130,100.0,100.00
2024-11-05T15-30-22,MO,Platte,29165,31127,24611,1295,100.0,100.00
2024-11-05T15-30-22,MO,Putnam,29171,2027,269,46,100.0,100.00
2024-11-05T15-30-22,MO,Ralls,29173,4589,969,102,100.0,100.00
2024-11-05T15-30-22,MO,Randolph,29175,8039,2373,300,100.0,100.00
2024-11-05T15-30-22,MO,Ray,29177,8421,2609,333,100.0,100.00
2024-11-05T15-30-22,MO,Schuyler,29197,1583,255,48,100.0,100.00
2024-11-05T15-30-22,MO,Scotland,29199,1572,258,22,100.0,100.00
2024-11-05T15-30-22,MO,Shelby,29205,2662,477,59,100.0,100.00
2024-11-05T15-30-22,MO,Sullivan,29211,2052,339,41,100.0,100.00
2024-11-05T15-30-22,MO,Worth,29227,867,176,30,100.0,100.00
