timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,UT,Carbon,49007,6744,2410,0,100.0,100.00
2024-11-05T15-30-22,UT,Daggett,49009,444,83,0,100.0,100.00
2024-11-05T15-30-22,UT,Duchesne,49013,7780,893,0,100.0,100.00
2024-11-05T15-30-22,UT,Emery,49015,4323,554,0,100.0,100.00
2024-11-05T15-30-22,UT,Grand,49019,2385,2686,0,100.0,100.00
2024-11-05T15-30-22,UT,Salt Lake,49035,65963,61322,0,100.0,100.00
2024-11-05T15-30-22,UT,San Juan,49037,3636,2370,0,100.0,100.00
2024-11-05T15-30-22,UT,Summit,49043,4742,4778,0,100.0,100.00
2024-11-05T15-30-22,UT,Uintah,49047,13718,1722,0,100.0,100.00
2024-11-05T15-30-22,UT,Utah,49049,120259,40389,0,100.0,100.00
2024-11-05T15-30-22,UT,Wasatch,49051,12502,5573,0,100.0,100.00
