timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WI,Ashland,55003,4161,4499,0,100.0,100.00
2024-11-05T15-30-22,WI,Barron,55005,17694,8602,0,100.0,100.00
2024-11-05T15-30-22,WI,Bayfield,55007,4984,6048,0,100.0,100.00
2024-11-05T15-30-22,WI,Burnett,55013,7160,3447,0,100.0,100.00
2024-11-05T15-30-22,WI,Chippewa,55017,12006,5146,0,100.0,100.00
2024-11-05T15-30-22,WI,Clark,55019,10641,4137,0,100.0,100.00
2024-11-05T15-30-22,WI,Douglas,55031,11799,12639,0,100.0,100.00
2024-11-05T15-30-22,WI,Florence,55037,2345,731,0,100.0,100.00
2024-11-05T15-30-22,WI,Forest,55041,3484,1541,0,100.0,100.00
2024-11-05T15-30-22,WI,Iron,55051,2584,1380,0,100.0,100.00
2024-11-05T15-30-22,WI,Jackson,55053,825,329,0,100.0,100.00
2024-11-05T15-30-22,WI,Juneau,55057,2570,1015,0,100.0,100.00
2024-11-05T15-30-22,WI,Langlade,55067,7926,3373,0,100.0,100.00
2024-11-05T15-30-22,WI,Lincoln,55069,11125,5738,0,100.0,100.00
2024-11-05T15-30-22,WI,Marathon,55073,47920,28884,0,100.0,100.00
2024-11-05T15-30-22,WI,Monroe,55081,1917,791,0,100.0,100.00
2024-11-05T15-30-22,WI,Oneida,55085,14962,9317,0,100.0,100.00
2024-11-05T15-30-22,WI,Polk,55095,18399,9034,0,100.0,100.00
2024-11-05T15-30-22,WI,Price,55099,5775,2824,0,100.0,100.00
2024-11-05T15-30-22,WI,Rusk,55107,5690,2288,0,100.0,100.00
2024-11-05T15-30-22,WI,St. Croix,55109,36770,22515,0,100.0,100.00
2024-11-05T15-30-22,WI,Sawyer,55113,6533,4232,0,100.0,100.00
2024-11-05T15-30-22,WI,Taylor,55119,8390,2518,0,100.0,100.00
2024-11-05T15-30-22,WI,Vilas,55125,10215,5497,0,100.0,100.00
2024-11-05T15-30-22,WI,Washburn,55129,7060,3634,0,100.0,100.00
2024-11-05T15-30-22,WI,Wood,55141,10618,6365,0,100.0,100.00
