timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WY,Albany,56001,8559,7674,996,100.0,100.00
2024-11-05T15-30-22,WY,Big Horn,56003,4644,647,323,100.0,100.00
2024-11-05T15-30-22,WY,Campbell,56005,15058,1700,856,100.0,100.00
2024-11-05T15-30-22,WY,Carbon,56007,4703,1088,391,100.0,100.00
2024-11-05T15-30-22,WY,Converse,56009,5436,691,405,100.0,100.00
2024-11-05T15-30-22,WY,Crook,56011,3689,357,185,100.0,100.00
2024-11-05T15-30-22,WY,Fremont,56013,11258,4369,929,100.0,100.00
2024-11-05T15-30-22,WY,Goshen,56015,4876,938,231,100.0,100.00
2024-11-05T15-30-22,WY,Hot Springs,56017,2022,400,130,100.0,100.00
2024-11-05T15-30-22,WY,Johnson,56019,3835,714,210,100.0,100.00
2024-11-05T15-30-22,WY,Laramie,56021,27090,12893,2600,100.0,100.00
2024-11-05T15-30-22,WY,Lincoln,56023,8712,1365,477,100.0,100.00
2024-11-05T15-30-22,WY,Natrona,56025,23396,7090,1958,100.0,100.00
2024-11-05T15-30-22,WY,Niobrara,56027,1080,79,47,100.0,100.00
2024-11-05T15-30-22,WY,Park,56029,12620,2677,749,100.0,100.00
2024-11-05T15-30-22,WY,Platte,56031,3783,682,199,100.0,100.00
2024-11-05T15-30-22,WY,Sheridan,56033,11647,3380,822,100.0,100.00
2024-11-05T15-30-22,WY,Sublette,56035,3770,748,239,100.0,100.00
2024-11-05T15-30-22,WY,Sweetwater,56037,11588,3196,1239,100.0,100.00
2024-11-05T15-30-22,WY,Teton,56039,4148,7919,622,100.0,100.00
2024-11-05T15-30-22,WY,Uinta,56041,6811,1314,601,100.0,100.00
2024-11-05T15-30-22,WY,Washakie,56043,3047,548,198,100.0,100.00
2024-11-05T15-30-22,WY,Weston,56045,2908,309,178,100.0,100.00
