timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,CO,Adams,08001,103024,124056,6256,100.00,100.00
2024-11-05T15-30-22,CO,Alamosa,08003,4057,3244,218,100.00,100.00
2024-11-05T15-30-22,CO,Arapahoe,08005,125311,190725,9415,100.00,100.00
2024-11-05T15-30-22,CO,Archuleta,08007,5218,3904,233,100.00,100.00
2024-11-05T15-30-22,CO,Baca,08009,1686,275,43,100.00,100.00
2024-11-05T15-30-22,CO,Bent,08011,1496,645,48,100.00,100.00
2024-11-05T15-30-22,CO,Boulder,08013,40758,150149,5243,100.00,100.00
2024-11-05T15-30-22,CO,Broomfield,08014,16071,29426,1320,100.00,100.00
2024-11-05T15-30-22,CO,Chaffee,08015,6034,7992,390,100.00,100.00
2024-11-05T15-30-22,CO,Cheyenne,08017,930,108,17,100.00,100.00
2024-11-05T15-30-22,CO,Clear Creek,08019,2452,3464,185,100.00,100.00
2024-11-05T15-30-22,CO,Conejos,08021,2358,1627,119,100.00,100.00
2024-11-05T15-30-22,CO,Costilla,08023,850,1155,75,100.00,100.00
2024-11-05T15-30-22,CO,Crowley,08025,1231,422,53,100.00,100.00
2024-11-05T15-30-22,CO,Custer,08027,2583,1188,96,100.00,100.00
2024-11-05T15-30-22,CO,Delta,08029,12948,6030,498,100.00,100.00
2024-11-05T15-30-22,CO,Denver,08031,74765,278634,9677,100.00,100.00
2024-11-05T15-30-22,CO,Dolores,08033,1076,325,18,100.00,100.00
2024-11-05T15-30-22,CO,Douglas,08035,127451,110408,5899,100.00,100.00
2024-11-05T15-30-22,CO,Eagle,08037,10148,16943,707,100.00,100.00
2024-11-05T15-30-22,CO,Elbert,08039,15209,4768,440,100.00,100.00
2024-11-05T15-30-22,CO,El Paso,08041,203933,166597,10283,100.00,100.00
2024-11-05T15-30-22,CO,Fremont,08043,17313,7526,628,100.00,100.00
2024-11-05T15-30-22,CO,Garfield,08045,14493,15128,751,100.00,100.00
2024-11-05T15-30-22,CO,Gilpin,08047,1729,2254,146,100.00,100.00
2024-11-05T15-30-22,CO,Grand,08049,4822,4743,318,100.00,100.00
2024-11-05T15-30-22,CO,Gunnison,08051,3689,6887,363,100.00,100.00
2024-11-05T15-30-22,CO,Hinsdale,08053,332,257,17,100.00,100.00
2024-11-05T15-30-22,CO,Huerfano,08055,2346,1965,127,100.00,100.00
2024-11-05T15-30-22,CO,Jackson,08057,634,173,27,100.00,100.00
2024-11-05T15-30-22,CO,Jefferson,08059,140505,210875,10124,100.00,100.00
2024-11-05T15-30-22,CO,Kiowa,08061,744,102,17,100.00,100.00
2024-11-05T15-30-22,CO,Kit Carson,08063,3083,556,59,100.00,100.00
2024-11-05T15-30-22,CO,Lake,08065,1557,2199,155,100.00,100.00
2024-11-05T15-30-22,CO,La Plata,08067,14024,20677,980,100.00,100.00
2024-11-05T15-30-22,CO,Larimer,08069,89680,129376,6426,100.00,100.00
2024-11-05T15-30-22,CO,Las Animas,08071,4328,3276,188,100.00,100.00
2024-11-05T15-30-22,CO,Lincoln,08073,2090,432,49,100.00,100.00
2024-11-05T15-30-22,CO,Logan,08075,7855,2098,209,100.00,100.00
2024-11-05T15-30-22,CO,Mesa,08077,55839,33573,2188,100.00,100.00
2024-11-05T15-30-22,CO,Mineral,08079,417,317,19,100.00,100.00
2024-11-05T15-30-22,CO,Moffat,08081,5358,1167,146,100.00,100.00
2024-11-05T15-30-22,CO,Montezuma,08083,8972,5793,371,100.00,100.00
2024-11-05T15-30-22,CO,Montrose,08085,16704,8354,559,100.00,100.00
2024-11-05T15-30-22,CO,Morgan,08087,9830,3291,337,100.00,100.00
2024-11-05T15-30-22,CO,Otero,08089,5520,3164,241,100.00,100.00
2024-11-05T15-30-22,CO,Ouray,08091,1573,2442,83,100.00,100.00
2024-11-05T15-30-22,CO,Park,08093,6828,4841,375,100.00,100.00
2024-11-05T15-30-22,CO,Phillips,08095,1888,412,54,100.00,100.00
2024-11-05T15-30-22,CO,Pitkin,08097,2992,7932,243,100.00,100.00
2024-11-05T15-30-22,CO,Prowers,08099,3833,1227,84,100.00,100.00
2024-11-05T15-30-22,CO,Pueblo,08101,43688,39328,2091,100.00,100.00
2024-11-05T15-30-22,CO,Rio Blanco,08103,2988,637,65,100.00,100.00
2024-11-05T15-30-22,CO,Rio Grande,08105,3743,2306,145,100.00,100.00
2024-11-05T15-30-22,CO,Routt,08107,5676,10208,451,100.00,100.00
2024-11-05T15-30-22,CO,Saguache,08109,1577,1704,119,100.00,100.00
2024-11-05T15-30-22,CO,San Juan,08111,188,376,24,100.00,100.00
2024-11-05T15-30-22,CO,San Miguel,08113,1154,3529,121,100.00,100.00
2024-11-05T15-30-22,CO,Sedgwick,08115,1048,283,27,100.00,100.00
2024-11-05T15-30-22,CO,Summit,08117,5244,11762,536,100.00,100.00
2024-11-05T15-30-22,CO,Teller,08119,10856,5065,405,100.00,100.00
2024-11-05T15-30-22,CO,Washington,08121,2436,329,41,100.00,100.00
2024-11-05T15-30-22,CO,Weld,08123,106469,68752,4633,100.00,100.00
2024-11-05T15-30-22,CO,Yuma,08125,3807,758,98,100.00,100.00
