timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IA,Adair,19001,2916,1086,62,100.00,100.00
2024-11-05T15-30-22,IA,Adams,19003,1517,576,38,100.00,100.00
2024-11-05T15-30-22,IA,Allamakee,19005,4857,2350,96,100.00,100.00
2024-11-05T15-30-22,IA,Appanoose,19007,4704,1686,76,100.00,100.00
2024-11-05T15-30-22,IA,Audubon,19009,2214,970,55,100.00,100.00
2024-11-05T15-30-22,IA,Benton,19011,9549,4739,182,100.00,100.00
2024-11-05T15-30-22,IA,Black Hawk,19013,30572,31299,782,100.00,100.00
2024-11-05T15-30-22,IA,Boone,19015,9199,5895,252,100.00,100.00
2024-11-05T15-30-22,IA,Bremer,19017,8799,5571,186,100.00,100.00
2024-11-05T15-30-22,IA,Buchanan,19019,6790,3766,158,100.00,100.00
2024-11-05T15-30-22,IA,Buena Vista,19021,4962,2462,92,100.00,100.00
2024-11-05T15-30-22,IA,Butler,19023,5784,2144,99,100.00,100.00
2024-11-05T15-30-22,IA,Calhoun,19025,3708,1328,57,100.00,100.00
2024-11-05T15-30-22,IA,Carroll,19027,7814,3153,153,100.00,100.00
2024-11-05T15-30-22,IA,Cass,19029,5007,2077,111,100.00,100.00
2024-11-05T15-30-22,IA,Cedar,19031,6390,4075,159,100.00,100.00
2024-11-05T15-30-22,IA,Cerro Gordo,19033,12627,9955,360,100.00,100.00
2024-11-05T15-30-22,IA,Cherokee,19035,4398,1611,80,100.00,100.00
2024-11-05T15-30-22,IA,Chickasaw,19037,4234,1919,77,100.00,100.00
2024-11-05T15-30-22,IA,Clarke,19039,3140,1265,54,100.00,100.00
2024-11-05T15-30-22,IA,Clay,19041,6047,2367,100,100.00,100.00
2024-11-05T15-30-22,IA,Clayton,19043,6255,3017,109,100.00,100.00
2024-11-05T15-30-22,IA,Clinton,19045,13964,9472,377,100.00,100.00
2024-11-05T15-30-22,IA,Crawford,19047,4651,1812,62,100.00,100.00
2024-11-05T15-30-22,IA,Dallas,19049,32374,29402,857,100.00,100.00
2024-11-05T15-30-22,IA,Davis,19051,3027,878,45,100.00,100.00
2024-11-05T15-30-22,IA,Decatur,19053,2711,957,59,100.00,100.00
2024-11-05T15-30-22,IA,Delaware,19055,6984,2978,150,100.00,100.00
2024-11-05T15-30-22,IA,Des Moines,19057,10794,7935,269,100.00,100.00
2024-11-05T15-30-22,IA,Dickinson,19059,7775,3297,120,100.00,100.00
2024-11-05T15-30-22,IA,Dubuque,19061,28224,23705,637,100.00,100.00
2024-11-05T15-30-22,IA,Emmet,19063,3422,1315,49,100.00,100.00
2024-11-05T15-30-22,IA,Fayette,19065,6325,3334,158,100.00,100.00
2024-11-05T15-30-22,IA,Floyd,19067,4744,2782,99,100.00,100.00
2024-11-05T15-30-22,IA,Franklin,19069,3431,1393,61,100.00,100.00
2024-11-05T15-30-22,IA,Fremont,19071,2711,1023,51,100.00,100.00
2024-11-05T15-30-22,IA,Greene,19073,3211,1603,60,100.00,100.00
2024-11-05T15-30-22,IA,Grundy,19075,4998,2019,114,100.00,100.00
2024-11-05T15-30-22,IA,Guthrie,19077,4446,1974,94,100.00,100.00
2024-11-05T15-30-22,IA,Hamilton,19079,5004,2482,87,100.00,100.00
2024-11-05T15-30-22,IA,Hancock,19081,4336,1523,74,100.00,100.00
2024-11-05T15-30-22,IA,Hardin,19083,5790,2553,91,100.00,100.00
2024-11-05T15-30-22,IA,Harrison,19085,5566,2245,127,100.00,100.00
2024-11-05T15-30-22,IA,Henry,19087,6439,2995,140,100.00,100.00
2024-11-05T15-30-22,IA,Howard,19089,3157,1619,61,100.00,100.00
2024-11-05T15-30-22,IA,Humboldt,19091,3770,1236,61,100.00,100.00
2024-11-05T15-30-22,IA,Ida,19093,2771,826,45,100.00,100.00
2024-11-05T15-30-22,IA,Iowa,19095,6068,3400,149,100.00,100.00
2024-11-05T15-30-22,IA,Jackson,19097,7074,3567,141,100.00,100.00
2024-11-05T15-30-22,IA,Jasper,19099,12701,7141,307,100.00,100.00
2024-11-05T15-30-22,IA,Jefferson,19101,4353,3788,176,100.00,100.00
2024-11-05T15-30-22,IA,Johnson,19103,26087,58846,1135,100.00,100.00
2024-11-05T15-30-22,IA,Jones,19105,6820,3942,187,100.00,100.00
2024-11-05T15-30-22,IA,Keokuk,19107,3869,1219,54,100.00,100.00
2024-11-05T15-30-22,IA,Kossuth,19109,5983,2284,109,100.00,100.00
2024-11-05T15-30-22,IA,Lee,19111,10152,5659,343,100.00,100.00
2024-11-05T15-30-22,IA,Linn,19113,54237,66358,1774,100.00,100.00
2024-11-05T15-30-22,IA,Louisa,19115,3584,1480,72,100.00,100.00
2024-11-05T15-30-22,IA,Lucas,19117,3400,1169,70,100.00,100.00
2024-11-05T15-30-22,IA,Lyon,19119,5899,1023,62,100.00,100.00
2024-11-05T15-30-22,IA,Madison,19121,6864,3008,123,100.00,100.00
2024-11-05T15-30-22,IA,Mahaska,19123,8207,2577,126,100.00,100.00
2024-11-05T15-30-22,IA,Marion,19125,13289,5928,273,100.00,100.00
2024-11-05T15-30-22,IA,Marshall,19127,9815,7134,268,100.00,100.00
