timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IL,Adams,17001,23161,8111,472,100.00,100.00
2024-11-05T15-30-22,IL,Alexander,17003,1341,904,26,100.00,100.00
2024-11-05T15-30-22,IL,Bond,17005,5692,2117,172,100.00,100.00
2024-11-05T15-30-22,IL,Boone,17007,13673,10159,384,100.00,100.00
2024-11-05T15-30-22,IL,Brown,17009,1938,467,50,100.00,100.00
2024-11-05T15-30-22,IL,Bureau,17011,9784,5900,308,100.00,100.00
2024-11-05T15-30-22,IL,Calhoun,17013,2059,560,61,100.00,100.00
2024-11-05T15-30-22,IL,Carroll,17015,5082,2600,154,100.00,100.00
2024-11-05T15-30-22,IL,Cass,17017,3712,1438,91,100.00,100.00
2024-11-05T15-30-22,IL,Champaign,17019,32965,54314,1348,100.00,100.00
2024-11-05T15-30-22,IL,Christian,17021,11278,4026,230,100.00,100.00
2024-11-05T15-30-22,IL,Clark,17023,6130,1927,146,100.00,100.00
2024-11-05T15-30-22,IL,Clay,17025,5610,1054,102,100.00,100.00
2024-11-05T15-30-22,IL,Clinton,17027,14407,4447,361,100.00,100.00
2024-11-05T15-30-22,IL,Coles,17029,13606,7495,368,100.00,100.00
2024-11-05T15-30-22,IL,Cook,17031,583852,1447821,25127,100.00,100.00
2024-11-05T15-30-22,IL,Crawford,17033,6727,2048,152,100.00,100.00
2024-11-05T15-30-22,IL,Cumberland,17035,4627,1059,82,100.00,100.00
2024-11-05T15-30-22,IL,DeKalb,17037,22716,23648,822,100.00,100.00
2024-11-05T15-30-22,IL,DeWitt,17039,5529,2058,149,100.00,100.00
2024-11-05T15-30-22,IL,Douglas,17041,6076,2198,130,100.00,100.00
2024-11-05T15-30-22,IL,DuPage,17043,191243,251164,7253,100.00,100.00
2024-11-05T15-30-22,IL,Edgar,17045,5955,1816,135,100.00,100.00
2024-11-05T15-30-22,IL,Edwards,17047,2794,457,37,100.00,100.00
2024-11-05T15-30-22,IL,Effingham,17049,15124,3617,321,100.00,100.00
2024-11-05T15-30-22,IL,Fayette,17051,7847,1632,122,100.00,100.00
2024-11-05T15-30-22,IL,Ford,17053,4778,1643,126,100.00,100.00
2024-11-05T15-30-22,IL,Franklin,17055,13200,4257,228,100.00,100.00
2024-11-05T15-30-22,IL,Fulton,17057,9827,5980,330,100.00,100.00
2024-11-05T15-30-22,IL,Gallatin,17059,1923,561,45,100.00,100.00
2024-11-05T15-30-22,IL,Greene,17061,4719,1220,115,100.00,100.00
2024-11-05T15-30-22,IL,Grundy,17063,16997,9143,399,100.00,100.00
