timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IN,Adams,18001,10528,3179,252,100.00,100.00
2024-11-05T15-30-22,IN,Allen,18003,90283,69960,2736,100.00,100.00
2024-11-05T15-30-22,IN,Bartholomew,18005,22220,12525,719,100.00,100.00
2024-11-05T15-30-22,IN,Benton,18007,2873,1010,71,100.00,100.00
2024-11-05T15-30-22,IN,Blackford,18009,3811,1227,97,100.00,100.00
2024-11-05T15-30-22,IN,Boone,18011,22840,16426,796,100.00,100.00
2024-11-05T15-30-22,IN,Brown,18013,5647,2832,148,100.00,100.00
2024-11-05T15-30-22,IN,Carroll,18015,6902,2120,155,100.00,100.00
2024-11-05T15-30-22,IN,Cass,18017,10285,3722,200,100.00,100.00
2024-11-05T15-30-22,IN,Clark,18019,34734,22810,1026,100.00,100.00
2024-11-05T15-30-22,IN,Clay,18021,9354,2495,201,100.00,100.00
2024-11-05T15-30-22,IN,Clinton,18023,9108,3135,200,100.00,100.00
2024-11-05T15-30-22,IN,Crawford,18025,3668,1235,108,100.00,100.00
2024-11-05T15-30-22,IN,Daviess,18027,9322,1963,160,100.00,100.00
2024-11-05T15-30-22,IN,Dearborn,18029,20844,5335,409,100.00,100.00
2024-11-05T15-30-22,IN,Decatur,18031,9491,2406,214,100.00,100.00
2024-11-05T15-30-22,IN,DeKalb,18033,14377,5064,344,100.00,100.00
2024-11-05T15-30-22,IN,Delaware,18035,26067,18848,821,100.00,100.00
2024-11-05T15-30-22,IN,Dubois,18037,14983,5944,479,100.00,100.00
2024-11-05T15-30-22,IN,Elkhart,18039,45652,23082,960,100.00,100.00
2024-11-05T15-30-22,IN,Fayette,18041,7625,2084,129,100.00,100.00
2024-11-05T15-30-22,IN,Floyd,18043,23408,17025,711,100.00,100.00
2024-11-05T15-30-22,IN,Fountain,18045,6311,1526,144,100.00,100.00
2024-11-05T15-30-22,IN,Franklin,18047,9810,2061,161,100.00,100.00
2024-11-05T15-30-22,IN,Fulton,18049,6633,2097,121,100.00,100.00
2024-11-05T15-30-22,IN,Gibson,18051,11896,3722,279,100.00,100.00
2024-11-05T15-30-22,IN,Grant,18053,17580,7083,470,100.00,100.00
2024-11-05T15-30-22,IN,Greene,18055,11132,3270,231,100.00,100.00
2024-11-05T15-30-22,IN,Hamilton,18057,102318,90394,3729,100.00,100.00
2024-11-05T15-30-22,IN,Hancock,18059,29288,14312,831,100.00,100.00
2024-11-05T15-30-22,IN,Harrison,18061,14830,5233,377,100.00,100.00
2024-11-05T15-30-22,IN,Hendricks,18063,49783,31917,1416,100.00,100.00
2024-11-05T15-30-22,IN,Henry,18065,15033,5208,351,100.00,100.00
2024-11-05T15-30-22,IN,Howard,18067,25871,12197,710,100.00,100.00
2024-11-05T15-30-22,IN,Huntington,18069,12990,4416,314,100.00,100.00
2024-11-05T15-30-22,IN,Jackson,18071,14323,4015,315,100.00,100.00
2024-11-05T15-30-22,IN,Jasper,18073,12082,3489,250,100.00,100.00
2024-11-05T15-30-22,IN,Jay,18075,6217,1747,138,100.00,100.00
2024-11-05T15-30-22,IN,Jefferson,18077,9614,4442,269,100.00,100.00
2024-11-05T15-30-22,IN,Jennings,18079,9273,2328,208,100.00,100.00
2024-11-05T15-30-22,IN,Johnson,18081,51588,24880,1326,100.00,100.00
2024-11-05T15-30-22,IN,Knox,18083,11236,3625,244,100.00,100.00
2024-11-05T15-30-22,IN,Kosciusko,18085,26213,7995,647,100.00,100.00
2024-11-05T15-30-22,IN,LaGrange,18087,8073,2162,173,100.00,100.00
2024-11-05T15-30-22,IN,Lake,18089,97270,109086,3051,100.00,100.00
2024-11-05T15-30-22,IN,LaPorte,18091,26726,20077,796,100.00,100.00
2024-11-05T15-30-22,IN,Lawrence,18093,15830,5010,369,100.00,100.00
2024-11-05T15-30-22,IN,Madison,18095,34837,19824,1055,100.00,100.00
2024-11-05T15-30-22,IN,Marion,18097,124327,221719,5864,100.00,100.00
2024-11-05T15-30-22,IN,Marshall,18099,13837,5356,347,100.00,100.00
2024-11-05T15-30-22,IN,Martin,18101,3961,933,93,100.00,100.00
2024-11-05T15-30-22,IN,Miami,18103,10670,3046,261,100.00,100.00
2024-11-05T15-30-22,IN,Monroe,18105,21004,37213,882,100.00,100.00
2024-11-05T15-30-22,IN,Montgomery,18107,12122,4134,316,100.00,100.00
2024-11-05T15-30-22,IN,Morgan,18109,26965,7765,610,100.00,100.00
2024-11-05T15-30-22,IN,Newton,18111,5131,1370,100,100.00,100.00
2024-11-05T15-30-22,IN,Noble,18113,14209,4462,291,100.00,100.00
2024-11-05T15-30-22,IN,Ohio,18115,2381,666,44,100.00,100.00
2024-11-05T15-30-22,IN,Orange,18117,6467,1988,135,100.00,100.00
2024-11-05T15-30-22,IN,Owen,18119,7360,2354,161,100.00,100.00
2024-11-05T15-30-22,IN,Parke,18121,5158,1371,124,100.00,100.00
2024-11-05T15-30-22,IN,Perry,18123,5549,2970,147,100.00,100.00
2024-11-05T15-30-22,IN,Pike,18125,4610,1314,85,100.00,100.00
2024-11-05T15-30-22,IN,Porter,18127,46109,37213,1555,100.00,100.00
2024-11-05T15-30-22,IN,Posey,18129,9206,3572,194,100.00,100.00
2024-11-05T15-30-22,IN,Pulaski,18131,4372,1280,109,100.00,100.00
2024-11-05T15-30-22,IN,Putnam,18133,12566,3871,294,100.00,100.00
2024-11-05T15-30-22,IN,Randolph,18135,8008,2349,190,100.00,100.00
2024-11-05T15-30-22,IN,Ripley,18137,11526,2682,176,100.00,100.00
2024-11-05T15-30-22,IN,Rush,18139,5812,1675,168,100.00,100.00
2024-11-05T15-30-22,IN,St. Joseph,18141,53585,55215,1619,100.00,100.00
2024-11-05T15-30-22,IN,Scott,18143,7633,2389,165,100.00,100.00
2024-11-05T15-30-22,IN,Shelby,18145,14438,4955,361,100.00,100.00
2024-11-05T15-30-22,IN,Spencer,18147,7364,2853,209,100.00,100.00
2024-11-05T15-30-22,IN,Starke,18149,7889,2436,153,100.00,100.00
2024-11-05T15-30-22,IN,Steuben,18151,11487,4598,269,100.00,100.00
2024-11-05T15-30-22,IN,Sullivan,18153,6639,2006,147,100.00,100.00
