timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MO,Adair,29001,6771,3334,129,100.00,100.00
2024-11-05T15-30-22,MO,Andrew,29003,7407,2312,127,100.00,100.00
2024-11-05T15-30-22,MO,Atchison,29005,2152,529,32,100.00,100.00
2024-11-05T15-30-22,MO,Audrain,29007,7699,2688,132,100.00,100.00
2024-11-05T15-30-22,MO,Barry,29009,13138,2873,149,100.00,100.00
2024-11-05T15-30-22,MO,Barton,29011,5159,820,35,100.00,100.00
2024-11-05T15-30-22,MO,Bates,29013,6702,1563,75,100.00,100.00
2024-11-05T15-30-22,MO,Benton,29015,8526,2166,77,100.00,100.00
2024-11-05T15-30-22,MO,Bollinger,29017,5365,756,40,100.00,100.00
2024-11-05T15-30-22,MO,Boone,29019,39673,48452,1853,100.00,100.00
2024-11-05T15-30-22,MO,Buchanan,29021,22606,12598,533,100.00,100.00
2024-11-05T15-30-22,MO,Butler,29023,14549,3160,150,100.00,100.00
2024-11-05T15-30-22,MO,Caldwell,29025,3771,888,44,100.00,100.00
2024-11-05T15-30-22,MO,Callaway,29027,15206,5926,315,100.00,100.00
2024-11-05T15-30-22,MO,Camden,29029,19597,5724,227,100.00,100.00
2024-11-05T15-30-22,MO,Cape Girardeau,29031,29315,10561,460,100.00,100.00
2024-11-05T15-30-22,MO,Carroll,29033,3708,789,31,100.00,100.00
2024-11-05T15-30-22,MO,Carter,29035,2488,364,10,100.00,100.00
2024-11-05T15-30-22,MO,Cass,29037,38792,19753,782,100.00,100.00
2024-11-05T15-30-22,MO,Cedar,29039,6064,1060,63,100.00,100.00
2024-11-05T15-30-22,MO,Chariton,29041,3179,875,34,100.00,100.00
2024-11-05T15-30-22,MO,Christian,29043,38379,11850,541,100.00,100.00
2024-11-05T15-30-22,MO,Clark,29045,2679,628,26,100.00,100.00
2024-11-05T15-30-22,MO,Clay,29047,67688,60345,2030,100.00,100.00
2024-11-05T15-30-22,MO,Clinton,29049,8235,2855,138,100.00,100.00
2024-11-05T15-30-22,MO,Cole,29051,26686,12874,568,100.00,100.00
2024-11-05T15-30-22,MO,Cooper,29053,6393,2347,93,100.00,100.00
2024-11-05T15-30-22,MO,Crawford,29055,8742,2007,80,100.00,100.00
2024-11-05T15-30-22,MO,Dade,29057,3480,671,34,100.00,100.00
2024-11-05T15-30-22,MO,Dallas,29059,6907,1458,75,100.00,100.00
2024-11-05T15-30-22,MO,Daviess,29061,3185,701,39,100.00,100.00
2024-11-05T15-30-22,MO,DeKalb,29063,3885,870,59,100.00,100.00
2024-11-05T15-30-22,MO,Dent,29065,6013,1025,65,100.00,100.00
2024-11-05T15-30-22,MO,Douglas,29067,6242,996,51,100.00,100.00
2024-11-05T15-30-22,MO,Dunklin,29069,8096,1885,70,100.00,100.00
2024-11-05T15-30-22,MO,Franklin,29071,40126,14694,634,100.00,100.00
2024-11-05T15-30-22,MO,Gasconade,29073,6370,1555,71,100.00,100.00
2024-11-05T15-30-22,MO,Gentry,29075,2651,616,25,100.00,100.00
2024-11-05T15-30-22,MO,Greene,29077,85956,55971,2008,100.00,100.00
2024-11-05T15-30-22,MO,Grundy,29079,3582,784,34,100.00,100.00
2024-11-05T15-30-22,MO,Harrison,29081,3293,534,18,100.00,100.00
2024-11-05T15-30-22,MO,Henry,29083,8286,2535,111,100.00,100.00
2024-11-05T15-30-22,MO,Hickory,29085,4108,978,34,100.00,100.00
2024-11-05T15-30-22,MO,Holt,29087,1982,357,13,100.00,100.00
2024-11-05T15-30-22,MO,Howard,29089,3534,1341,80,100.00,100.00
2024-11-05T15-30-22,MO,Howell,29091,15733,3073,157,100.00,100.00
2024-11-05T15-30-22,MO,Iron,29093,3644,824,49,100.00,100.00
2024-11-05T15-30-22,MO,Jackson County,29095,125610,187026,5066,100.00,100.00
2024-11-05T15-30-22,MO,Jasper,29097,39084,13943,729,100.00,100.00
2024-11-05T15-30-22,MO,Jefferson,29099,80796,36965,1526,100.00,100.00
2024-11-05T15-30-22,MO,Johnson,29101,16298,6960,333,100.00,100.00
2024-11-05T15-30-22,MO,Knox,29103,1479,311,20,100.00,100.00
2024-11-05T15-30-22,MO,LaClede,29105,14155,2756,165,100.00,100.00
2024-11-05T15-30-22,MO,Lafayette,29107,12720,4294,230,100.00,100.00
2024-11-05T15-30-22,MO,Lawrence,29109,15001,3248,168,100.00,100.00
2024-11-05T15-30-22,MO,Lewis,29111,3565,872,47,100.00,100.00
2024-11-05T15-30-22,MO,Lincoln,29113,24866,6908,355,100.00,100.00
2024-11-05T15-30-22,MO,Linn,29115,4437,1183,64,100.00,100.00
2024-11-05T15-30-22,MO,Livingston,29117,5395,1422,54,100.00,100.00
2024-11-05T15-30-22,MO,McDonald,29119,7843,1423,72,100.00,100.00
2024-11-05T15-30-22,MO,Macon,29121,6300,1481,57,100.00,100.00
2024-11-05T15-30-22,MO,Madison,29123,4721,986,46,100.00,100.00
2024-11-05T15-30-22,MO,Maries,29125,3987,755,44,100.00,100.00
2024-11-05T15-30-22,MO,Marion,29127,9991,3032,125,100.00,100.00
2024-11-05T15-30-22,MO,Mercer,29129,1545,235,12,100.00,100.00
2024-11-05T15-30-22,MO,Miller,29131,10826,2067,116,100.00,100.00
2024-11-05T15-30-22,MO,Mississippi,29133,3404,1015,30,100.00,100.00
2024-11-05T15-30-22,MO,Moniteau,29135,5877,1313,83,100.00,100.00
2024-11-05T15-30-22,MO,Monroe,29137,3476,857,43,100.00,100.00
2024-11-05T15-30-22,MO,Montgomery,29139,4776,1170,50,100.00,100.00
2024-11-05T15-30-22,MO,Morgan,29141,7725,1914,94,100.00,100.00
2024-11-05T15-30-22,MO,New Madrid,29143,5203,1561,47,100.00,100.00
2024-11-05T15-30-22,MO,Newton,29145,22923,5867,293,100.00,100.00
2024-11-05T15-30-22,MO,Nodaway,29147,6909,2674,99,100.00,100.00
2024-11-05T15-30-22,MO,Oregon,29149,3884,696,32,100.00,100.00
2024-11-05T15-30-22,MO,Osage,29151,6657,1009,59,100.00,100.00
2024-11-05T15-30-22,MO,Ozark,29153,4044,698,37,100.00,100.00
2024-11-05T15-30-22,MO,Pemiscot,29155,3917,1331,22,100.00,100.00
2024-11-05T15-30-22,MO,Perry,29157,7986,1757,80,100.00,100.00
2024-11-05T15-30-22,MO,Pettis,29159,13907,4703,267,100.00,100.00
2024-11-05T15-30-22,MO,Phelps,29161,13658,5379,257,100.00,100.00
2024-11-05T15-30-22,MO,Pike,29163,6151,1618,55,100.00,100.00
2024-11-05T15-30-22,MO,Platte,29165,29381,27566,840,100.00,100.00
2024-11-05T15-30-22,MO,Polk,29167,12691,2948,178,100.00,100.00
