timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,NM,Bernalillo,35001,118762,184117,7965,100.00,100.00
2024-11-05T15-30-22,NM,Catron,35003,1752,571,34,100.00,100.00
2024-11-05T15-30-22,NM,Chaves,35005,15894,5941,365,100.00,100.00
2024-11-05T15-30-22,NM,Cibola,35006,4311,4450,216,100.00,100.00
2024-11-05T15-30-22,NM,Colfax,35007,3252,2436,125,100.00,100.00
2024-11-05T15-30-22,NM,Curry,35009,10714,4230,279,100.00,100.00
2024-11-05T15-30-22,NM,DeBaca,35011,649,206,19,100.00,100.00
2024-11-05T15-30-22,NM,Dona Ana,35013,37594,45937,1876,100.00,100.00
2024-11-05T15-30-22,NM,Eddy,35015,18141,5032,299,100.00,100.00
2024-11-05T15-30-22,NM,Grant,35017,6580,7301,343,100.00,100.00
2024-11-05T15-30-22,NM,Guadalupe,35019,945,959,34,100.00,100.00
2024-11-05T15-30-22,NM,Harding,35021,297,128,6,100.00,100.00
2024-11-05T15-30-22,NM,Hidalgo,35023,1140,705,17,100.00,100.00
2024-11-05T15-30-22,NM,Lea,35025,16997,3930,282,100.00,100.00
2024-11-05T15-30-22,NM,Lincoln,35027,6942,3033,190,100.00,100.00
2024-11-05T15-30-22,NM,Los Alamos,35028,4047,7726,414,99.00,100.00
2024-11-05T15-30-22,NM,Luna,35029,4698,3176,182,100.00,100.00
2024-11-05T15-30-22,NM,McKinley,35031,9364,15711,792,100.00,100.00
2024-11-05T15-30-22,NM,Mora,35033,1010,1439,38,100.00,100.00
2024-11-05T15-30-22,NM,Otero,35035,15117,8582,543,100.00,100.00
2024-11-05T15-30-22,NM,Quay,35037,2570,1055,79,100.00,100.00
2024-11-05T15-30-22,NM,Rio Arriba,35039,6268,9373,348,100.00,100.00
2024-11-05T15-30-22,NM,Roosevelt,35041,4687,1820,132,100.00,100.00
2024-11-05T15-30-22,NM,Sandoval,35043,36605,41205,1730,100.00,100.00
2024-11-05T15-30-22,NM,San Juan,35045,34264,17464,1198,100.00,100.00
2024-11-05T15-30-22,NM,San Miguel,35047,3887,6985,236,99.00,100.00
2024-11-05T15-30-22,NM,Santa Fe,35049,20457,61405,1857,100.00,100.00
2024-11-05T15-30-22,NM,Sierra,35051,3473,2332,148,100.00,100.00
2024-11-05T15-30-22,NM,Socorro,35053,3651,3384,198,100.00,100.00
2024-11-05T15-30-22,NM,Taos,35055,4139,12038,459,100.00,100.00
2024-11-05T15-30-22,NM,Torrance,35057,4880,2144,155,100.00,100.00
2024-11-05T15-30-22,NM,Union,35059,1247,378,40,100.00,100.00
2024-11-05T15-30-22,NM,Valencia,35061,19057,13609,611,100.00,100.00
