timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,OR,Baker,41001,7060,2343,246,100.00,100.00
2024-11-05T15-30-22,OR,Benton,41003,14187,33909,1739,100.00,100.00
2024-11-05T15-30-22,OR,Clackamas,41005,106387,130580,7349,100.00,100.00
2024-11-05T15-30-22,OR,Clatsop,41007,9913,12533,726,100.00,100.00
2024-11-05T15-30-22,OR,Columbia,41009,17227,12895,1049,100.00,100.00
2024-11-05T15-30-22,OR,Coos,41011,20849,13731,1001,100.00,100.00
2024-11-05T15-30-22,OR,Crook,41013,12012,3836,365,100.00,100.00
2024-11-05T15-30-22,OR,Curry,41015,8000,5737,394,100.00,100.00
2024-11-05T15-30-22,OR,Deschutes,41017,54850,68108,3573,100.00,100.00
2024-11-05T15-30-22,OR,Douglas,41019,41561,18386,1535,100.00,100.00
2024-11-05T15-30-22,OR,Gilliam,41021,805,291,34,100.00,100.00
2024-11-05T15-30-22,OR,Grant,41023,3490,816,125,100.00,100.00
2024-11-05T15-30-22,OR,Harney,41025,3307,797,130,100.00,100.00
2024-11-05T15-30-22,OR,Hood River,41027,3854,8364,402,100.00,100.00
2024-11-05T15-30-22,OR,Jackson,41029,61743,54065,3144,100.00,100.00
2024-11-05T15-30-22,OR,Jefferson,41031,7454,3941,296,100.00,100.00
2024-11-05T15-30-22,OR,Josephine,41033,31129,16928,1276,100.00,100.00
2024-11-05T15-30-22,OR,Klamath,41035,24675,9856,841,100.00,100.00
2024-11-05T15-30-22,OR,Lake,41037,3421,681,97,100.00,100.00
2024-11-05T15-30-22,OR,Lane,41039,77376,125775,6635,100.00,100.00
2024-11-05T15-30-22,OR,Lincoln,41041,11645,17112,914,100.00,100.00
2024-11-05T15-30-22,OR,Linn,41043,43078,25749,2225,100.00,100.00
2024-11-05T15-30-22,OR,Malheur,41045,7710,2884,322,100.00,100.00
2024-11-05T15-30-22,OR,Marion,41047,77089,73970,4683,100.00,100.00
2024-11-05T15-30-22,OR,Morrow,41049,3408,1138,159,100.00,100.00
2024-11-05T15-30-22,OR,Multnomah,41051,70759,325927,14395,100.00,100.00
2024-11-05T15-30-22,OR,Polk,41053,23768,22034,1431,100.00,100.00
2024-11-05T15-30-22,OR,Sherman,41055,890,233,32,100.00,100.00
2024-11-05T15-30-22,OR,Tillamook,41057,7971,7747,462,100.00,100.00
2024-11-05T15-30-22,OR,Umatilla,41059,20973,9251,858,100.00,100.00
2024-11-05T15-30-22,OR,Union,41061,9942,4107,453,100.00,100.00
2024-11-05T15-30-22,OR,Wallowa,41063,3366,1573,143,100.00,100.00
2024-11-05T15-30-22,OR,Wasco,41065,6837,6069,434,100.00,100.00
2024-11-05T15-30-22,OR,Washington,41067,92590,193013,10009,100.00,100.00
2024-11-05T15-30-22,OR,Wheeler,41069,618,210,37,100.00,100.00
2024-11-05T15-30-22,OR,Yamhill,41071,29536,26011,1873,100.00,100.00
