timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,UT,Beaver,49001,2781,394,37,100.00,100.00
2024-11-05T15-30-22,UT,Box Elder,49003,22853,5274,782,100.00,100.00
2024-11-05T15-30-22,UT,Cache,49005,39457,18718,2054,100.00,100.00
2024-11-05T15-30-22,UT,Carbon,49007,6719,2525,201,100.00,100.00
2024-11-05T15-30-22,UT,Daggett,49009,443,101,6,100.00,100.00
2024-11-05T15-30-22,UT,Davis,49011,101293,59895,5304,100.00,100.00
2024-11-05T15-30-22,UT,Duchesne,49013,7815,1009,143,100.00,100.00
2024-11-05T15-30-22,UT,Emery,49015,4341,603,67,100.00,100.00
2024-11-05T15-30-22,UT,Garfield,49017,2211,541,59,100.00,100.00
2024-11-05T15-30-22,UT,Grand,49019,2327,2828,145,100.00,100.00
2024-11-05T15-30-22,UT,Iron,49021,21571,5683,622,100.00,100.00
2024-11-05T15-30-22,UT,Juab,49023,5671,734,113,100.00,100.00
2024-11-05T15-30-22,UT,Kane,49025,3277,1137,72,100.00,100.00
2024-11-05T15-30-22,UT,Millard,49027,5558,713,114,100.00,100.00
2024-11-05T15-30-22,UT,Morgan,49029,5300,1256,201,100.00,100.00
2024-11-05T15-30-22,UT,Piute,49031,854,94,15,100.00,100.00
2024-11-05T15-30-22,UT,Rich,49033,1211,214,22,100.00,100.00
2024-11-05T15-30-22,UT,Salt Lake,49035,221555,273658,14279,100.00,100.00
2024-11-05T15-30-22,UT,San Juan,49037,3613,2581,134,100.00,100.00
2024-11-05T15-30-22,UT,Sanpete,49039,10653,1906,384,100.00,100.00
2024-11-05T15-30-22,UT,Sevier,49041,9526,1236,164,100.00,100.00
2024-11-05T15-30-22,UT,Summit,49043,10783,14612,481,100.00,100.00
2024-11-05T15-30-22,UT,Tooele,49045,23484,9560,944,100.00,100.00
2024-11-05T15-30-22,UT,Uintah,49047,13599,1952,280,100.00,100.00
2024-11-05T15-30-22,UT,Utah,49049,203476,84937,9531,100.00,100.00
2024-11-05T15-30-22,UT,Wasatch,49051,11495,6459,400,100.00,100.00
2024-11-05T15-30-22,UT,Washington,49053,73165,22327,1751,100.00,100.00
2024-11-05T15-30-22,UT,Wayne,49055,1238,381,32,100.00,100.00
2024-11-05T15-30-22,UT,Weber,49057,67549,41238,3230,100.00,100.00
