timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,WA,Adams,53001,3767,1455,123,100.00,100.00
2024-11-05T15-30-22,WA,Asotin,53003,7004,4082,310,100.00,100.00
2024-11-05T15-30-22,WA,Benton,53005,59555,37662,2730,100.00,100.00
2024-11-05T15-30-22,WA,Chelan,53007,22363,18397,1133,100.00,100.00
2024-11-05T15-30-22,WA,Clallam,53009,21632,25440,1318,100.00,100.00
2024-11-05T15-30-22,WA,Clark,53011,123998,143206,7591,100.00,100.00
2024-11-05T15-30-22,WA,Columbia,53013,1737,661,78,100.00,100.00
2024-11-05T15-30-22,WA,Cowlitz,53015,34580,22825,1615,100.00,100.00
2024-11-05T15-30-22,WA,Douglas,53017,13095,7410,564,100.00,100.00
2024-11-05T15-30-22,WA,Ferry,53019,2667,1315,114,100.00,100.00
2024-11-05T15-30-22,WA,Franklin,53021,19086,11884,769,100.00,100.00
2024-11-05T15-30-22,WA,Garfield,53023,973,330,40,100.00,100.00
2024-11-05T15-30-22,WA,Grant,53025,24326,10806,937,100.00,100.00
2024-11-05T15-30-22,WA,Grays Harbor,53027,19432,17161,1045,100.00,100.00
2024-11-05T15-30-22,WA,Island,53029,20967,29595,1513,100.00,100.00
2024-11-05T15-30-22,WA,Jefferson,53031,6324,17459,789,100.00,100.00
2024-11-05T15-30-22,WA,King,53033,252193,832606,38082,100.00,100.00
2024-11-05T15-30-22,WA,Kitsap,53035,59080,91731,5082,100.00,100.00
2024-11-05T15-30-22,WA,Kittitas,53037,14645,10810,854,100.00,100.00
2024-11-05T15-30-22,WA,Klickitat,53039,7178,5917,432,100.00,100.00
2024-11-05T15-30-22,WA,Lewis,53041,29322,14433,1357,100.00,100.00
2024-11-05T15-30-22,WA,Lincoln,53043,5272,1678,157,100.00,100.00
2024-11-05T15-30-22,WA,Mason,53045,18127,17215,1160,100.00,100.00
2024-11-05T15-30-22,WA,Okanogan,53047,11555,8466,596,100.00,100.00
2024-11-05T15-30-22,WA,Pacific,53049,7010,6825,343,100.00,100.00
2024-11-05T15-30-22,WA,Pend Oreille,53051,5826,2461,210,100.00,100.00
2024-11-05T15-30-22,WA,Pierce,53053,188194,235169,13322,100.00,100.00
2024-11-05T15-30-22,WA,San Juan,53055,2890,9539,510,100.00,100.00
2024-11-05T15-30-22,WA,Skagit,53057,30765,36956,2116,100.00,100.00
2024-11-05T15-30-22,WA,Skamania,53059,3961,3147,206,100.00,100.00
2024-11-05T15-30-22,WA,Snohomish,53061,161371,240099,13857,100.00,100.00
2024-11-05T15-30-22,WA,Spokane,53063,145338,131163,8457,100.00,100.00
2024-11-05T15-30-22,WA,Stevens,53065,19895,7492,708,100.00,100.00
2024-11-05T15-30-22,WA,Thurston,53067,62282,95663,5692,100.00,100.00
2024-11-05T15-30-22,WA,Wahkiakum,53069,1757,1204,92,100.00,100.00
2024-11-05T15-30-22,WA,Walla Walla,53071,15476,13106,791,100.00,100.00
2024-11-05T15-30-22,WA,Whatcom,53073,49213,83295,4498,100.00,100.00
2024-11-05T15-30-22,WA,Whitman,53075,8699,10480,666,100.00,100.00
2024-11-05T15-30-22,WA,Yakima,53077,49368,36706,2206,100.00,100.00
