timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,IN,Adams,18001,9453,2623,300,100.00,100.00
2024-11-05T15-30-22,IN,Allen,18003,89831,64275,3702,100.00,100.00
2024-11-05T15-30-22,IN,Bartholomew,18005,20573,10790,893,100.00,100.00
2024-11-05T15-30-22,IN,Benton,18007,2887,922,116,100.00,100.00
2024-11-05T15-30-22,IN,Blackford,18009,3554,1109,157,100.00,100.00
2024-11-05T15-30-22,IN,Boone,18011,23037,14596,1154,100.00,100.00
2024-11-05T15-30-22,IN,Brown,18013,5392,2695,357,100.00,100.00
2024-11-05T15-30-22,IN,Carroll,18015,6898,2034,240,100.00,100.00
2024-11-05T15-30-22,IN,Cass,18017,10031,3661,408,100.00,100.00
2024-11-05T15-30-22,IN,Clark,18019,32978,22317,1889,100.00,100.00
2024-11-05T15-30-22,IN,Clay,18021,8752,2375,326,100.00,100.00
2024-11-05T15-30-22,IN,Clinton,18023,8620,2803,358,100.00,100.00
2024-11-05T15-30-22,IN,Crawford,18025,3311,1312,127,100.00,100.00
2024-11-05T15-30-22,IN,Daviess,18027,8632,1829,244,100.00,100.00
2024-11-05T15-30-22,IN,Dearborn,18029,20655,5208,551,100.00,100.00
2024-11-05T15-30-22,IN,Decatur,18031,8971,2098,375,100.00,100.00
2024-11-05T15-30-22,IN,DeKalb,18033,13530,4429,551,100.00,100.00
2024-11-05T15-30-22,IN,Delaware,18035,24801,17590,1252,100.00,100.00
2024-11-05T15-30-22,IN,Dubois,18037,13549,5436,590,100.00,100.00
2024-11-05T15-30-22,IN,Elkhart,18039,46298,22106,1300,100.00,100.00
2024-11-05T15-30-22,IN,Fayette,18041,7066,1955,250,100.00,100.00
2024-11-05T15-30-22,IN,Floyd,18043,23053,16554,1101,100.00,100.00
2024-11-05T15-30-22,IN,Fountain,18045,6224,1481,214,100.00,100.00
2024-11-05T15-30-22,IN,Franklin,18047,9043,1932,260,100.00,100.00
2024-11-05T15-30-22,IN,Fulton,18049,6580,1990,213,100.00,100.00
2024-11-05T15-30-22,IN,Gibson,18051,11424,3692,406,100.00,100.00
2024-11-05T15-30-22,IN,Grant,18053,16244,6160,562,100.00,100.00
2024-11-05T15-30-22,IN,Greene,18055,10146,3131,391,100.00,100.00
2024-11-05T15-30-22,IN,Hamilton,18057,99855,77761,4221,100.00,100.00
2024-11-05T15-30-22,IN,Hancock,18059,28667,13067,1926,100.00,100.00
2024-11-05T15-30-22,IN,Harrison,18061,14256,5234,566,100.00,100.00
2024-11-05T15-30-22,IN,Hendricks,18063,48718,28790,2343,100.00,100.00
2024-11-05T15-30-22,IN,Henry,18065,14818,5023,602,100.00,100.00
2024-11-05T15-30-22,IN,Howard,18067,25369,11810,1247,100.00,100.00
2024-11-05T15-30-22,IN,Huntington,18069,12579,4019,523,100.00,100.00
2024-11-05T15-30-22,IN,Jackson,18071,13946,3954,460,100.00,100.00
2024-11-05T15-30-22,IN,Jasper,18073,11204,3281,358,100.00,100.00
2024-11-05T15-30-22,IN,Jay,18075,5976,1594,209,100.00,100.00
2024-11-05T15-30-22,IN,Jefferson,18077,8943,4197,367,100.00,100.00
2024-11-05T15-30-22,IN,Jennings,18079,8816,2364,368,100.00,100.00
2024-11-05T15-30-22,IN,Johnson,18081,45502,20743,2098,100.00,100.00
2024-11-05T15-30-22,IN,Knox,18083,10167,3501,384,100.00,100.00
2024-11-05T15-30-22,IN,Kosciusko,18085,25610,6920,910,100.00,100.00
2024-11-05T15-30-22,IN,LaGrange,18087,7806,1956,204,100.00,100.00
2024-11-05T15-30-22,IN,Lake,18089,88474,105648,3615,100.00,100.00
2024-11-05T15-30-22,IN,LaPorte,18091,24752,18828,1137,100.00,100.00
2024-11-05T15-30-22,IN,Lawrence,18093,14811,4586,625,100.00,100.00
2024-11-05T15-30-22,IN,Madison,18095,34393,19190,1716,100.00,100.00
2024-11-05T15-30-22,IN,Marion,18097,126643,217819,8425,100.00,100.00
2024-11-05T15-30-22,IN,Marshall,18099,13495,4838,400,100.00,100.00
2024-11-05T15-30-22,IN,Martin,18101,3633,1002,183,100.00,100.00
2024-11-05T15-30-22,IN,Miami,18103,9983,2850,387,100.00,100.00
2024-11-05T15-30-22,IN,Monroe,18105,21187,35960,1512,100.00,100.00
2024-11-05T15-30-22,IN,Montgomery,18107,12101,3806,478,100.00,100.00
2024-11-05T15-30-22,IN,Morgan,18109,25306,7103,1196,100.00,100.00
2024-11-05T15-30-22,IN,Newton,18111,4860,1352,221,100.00,100.00
2024-11-05T15-30-22,IN,Noble,18113,13710,4035,463,100.00,100.00
2024-11-05T15-30-22,IN,Ohio,18115,2254,670,76,100.00,100.00
2024-11-05T15-30-22,IN,Orange,18117,5947,1897,211,100.00,100.00
2024-11-05T15-30-22,IN,Owen,18119,6744,2153,502,100.00,100.00
2024-11-05T15-30-22,IN,Parke,18121,4768,1274,173,100.00,100.00
2024-11-05T15-30-22,IN,Perry,18123,4961,2936,155,100.00,100.00
2024-11-05T15-30-22,IN,Pike,18125,4166,1226,150,100.00,100.00
2024-11-05T15-30-22,IN,Porter,18127,46011,36931,1786,100.00,100.00
2024-11-05T15-30-22,IN,Posey,18129,9147,3366,288,100.00,100.00
2024-11-05T15-30-22,IN,Pulaski,18131,4031,1158,163,100.00,100.00
2024-11-05T15-30-22,IN,Putnam,18133,11918,3572,530,100.00,100.00
2024-11-05T15-30-22,IN,Randolph,18135,7533,2170,260,100.00,100.00
2024-11-05T15-30-22,IN,Ripley,18137,11286,2640,315,100.00,100.00
2024-11-05T15-30-22,IN,Rush,18139,5532,1498,258,100.00,100.00
2024-11-05T15-30-22,IN,St. Joseph,18141,54590,53253,2210,100.00,100.00
2024-11-05T15-30-22,IN,Scott,18143,6042,2393,241,100.00,100.00
2024-11-05T15-30-22,IN,Shelby,18145,13495,4465,747,100.00,100.00
2024-11-05T15-30-22,IN,Spencer,18147,7051,2700,213,100.00,100.00
2024-11-05T15-30-22,IN,Starke,18149,7035,2279,276,100.00,100.00
2024-11-05T15-30-22,IN,Steuben,18151,11345,4004,385,100.00,100.00
2024-11-05T15-30-22,IN,Sullivan,18153,5898,2031,193,100.00,100.00
2024-11-05T15-30-22,IN,Switzerland,18155,3156,914,73,100.00,100.00
2024-11-05T15-30-22,IN,Tippecanoe,18157,31699,30091,1868,100.00,100.00
2024-11-05T15-30-22,IN,Tipton,18159,5617,1675,277,100.00,100.00
2024-11-05T15-30-22,IN,Union,18161,2606,694,127,100.00,100.00
2024-11-05T15-30-22,IN,Vanderburgh,18163,41084,30403,1503,100.00,100.00
2024-11-05T15-30-22,IN,Vermillion,18165,4645,1930,190,100.00,100.00
2024-11-05T15-30-22,IN,Vigo,18167,22898,16282,995,100.00,100.00
2024-11-05T15-30-22,IN,Wabash,18169,10102,2973,344,100.00,100.00
2024-11-05T15-30-22,IN,Warren,18171,3362,879,95,100.00,100.00
2024-11-05T15-30-22,IN,Warrick,18173,20314,10227,674,100.00,100.00
2024-11-05T15-30-22,IN,Washington,18175,9219,2783,401,100.00,100.00
2024-11-05T15-30-22,IN,Wayne,18177,17083,8376,896,100.00,100.00
