timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MN,Aitkin,27001,5857,4135,282,100.00,100.00
2024-11-05T15-30-22,MN,Anoka,27003,91380,106871,7604,100.00,100.00
2024-11-05T15-30-22,MN,Becker,27005,11489,7539,439,100.00,100.00
2024-11-05T15-30-22,MN,Beltrami,27007,11278,12390,883,100.00,100.00
2024-11-05T15-30-22,MN,Benton,27009,13048,8435,810,100.00,100.00
2024-11-05T15-30-22,MN,Big Stone,27011,1516,1225,61,100.00,100.00
2024-11-05T15-30-22,MN,Blue Earth,27013,15185,19135,1341,100.00,100.00
2024-11-05T15-30-22,MN,Brown,27015,8137,5851,388,100.00,100.00
2024-11-05T15-30-22,MN,Carlton,27017,8650,11056,679,100.00,100.00
2024-11-05T15-30-22,MN,Carver,27019,31720,34470,1897,100.00,100.00
2024-11-05T15-30-22,MN,Cass,27021,11259,7294,488,100.00,100.00
2024-11-05T15-30-22,MN,Chippewa,27023,3320,2748,162,100.00,100.00
2024-11-05T15-30-22,MN,Chisago,27025,20205,13673,1018,100.00,100.00
2024-11-05T15-30-22,MN,Clay,27027,13220,17750,1138,100.00,100.00
2024-11-05T15-30-22,MN,Clearwater,27029,3203,1379,129,100.00,100.00
2024-11-05T15-30-22,MN,Cook,27031,1000,2517,94,100.00,100.00
2024-11-05T15-30-22,MN,Cottonwood,27033,3328,2405,179,100.00,100.00
2024-11-05T15-30-22,MN,Crow Wing,27035,23953,16451,1234,100.00,100.00
2024-11-05T15-30-22,MN,Dakota,27037,93160,153609,8166,100.00,100.00
2024-11-05T15-30-22,MN,Dodge,27039,6992,4905,397,100.00,100.00
2024-11-05T15-30-22,MN,Douglas,27041,13741,10179,656,100.00,100.00
2024-11-05T15-30-22,MN,Faribault,27043,4305,3091,268,100.00,100.00
2024-11-05T15-30-22,MN,Fillmore,27045,6417,5428,336,100.00,100.00
2024-11-05T15-30-22,MN,Freeborn,27047,8013,7818,506,100.00,100.00
2024-11-05T15-30-22,MN,Goodhue,27049,13947,13629,791,100.00,100.00
2024-11-05T15-30-22,MN,Grant,27051,1791,1576,135,100.00,100.00
2024-11-05T15-30-22,MN,Hennepin,27053,168903,513644,22020,100.00,100.00
2024-11-05T15-30-22,MN,Houston,27055,6036,4811,338,100.00,100.00
2024-11-05T15-30-22,MN,Hubbard,27057,7886,5208,358,100.00,100.00
2024-11-05T15-30-22,MN,Isanti,27059,15642,8837,864,100.00,100.00
2024-11-05T15-30-22,MN,Itasca,27061,14065,11741,626,100.00,100.00
2024-11-05T15-30-22,MN,Jackson,27063,3327,2076,145,100.00,100.00
2024-11-05T15-30-22,MN,Kanabec,27065,5797,3371,298,100.00,100.00
2024-11-05T15-30-22,MN,Kandiyohi,27067,12797,9522,590,100.00,100.00
2024-11-05T15-30-22,MN,Kittson,27069,1226,1189,46,100.00,100.00
2024-11-05T15-30-22,MN,Koochiching,27071,3537,2940,174,100.00,100.00
2024-11-05T15-30-22,MN,Lac Qui Parle,27073,2048,1790,103,100.00,100.00
2024-11-05T15-30-22,MN,Lake,27075,2747,3916,177,100.00,100.00
2024-11-05T15-30-22,MN,Lake of the Woods,27077,1514,721,58,100.00,100.00
2024-11-05T15-30-22,MN,Le Sueur,27079,9570,6994,542,100.00,100.00
2024-11-05T15-30-22,MN,Lincoln,27081,1815,1258,103,100.00,100.00
2024-11-05T15-30-22,MN,Lyon,27083,6976,5436,398,100.00,100.00
2024-11-05T15-30-22,MN,McLeod,27085,11985,8209,700,100.00,100.00
2024-11-05T15-30-22,MN,Mahnomen,27087,997,1084,58,100.00,100.00
2024-11-05T15-30-22,MN,Marshall,27089,3010,1764,134,100.00,100.00
2024-11-05T15-30-22,MN,Martin,27091,6272,4065,280,100.00,100.00
2024-11-05T15-30-22,MN,Meeker,27093,8306,4791,412,100.00,100.00
2024-11-05T15-30-22,MN,Mille Lacs,27095,9099,5184,572,100.00,100.00
2024-11-05T15-30-22,MN,Morrison,27097,13495,5793,585,100.00,100.00
2024-11-05T15-30-22,MN,Mower,27099,8415,9386,750,100.00,100.00
2024-11-05T15-30-22,MN,Murray,27101,2796,1760,129,100.00,100.00
2024-11-05T15-30-22,MN,Nicollet,27103,8094,10408,587,100.00,100.00
2024-11-05T15-30-22,MN,Nobles,27105,4654,3103,269,100.00,100.00
2024-11-05T15-30-22,MN,Norman,27107,1549,1574,110,100.00,100.00
2024-11-05T15-30-22,MN,Olmsted,27109,34077,52328,2680,100.00,100.00
2024-11-05T15-30-22,MN,Otter Tail,27111,21085,14125,895,100.00,100.00
2024-11-05T15-30-22,MN,Pennington,27113,3879,3162,239,100.00,100.00
2024-11-05T15-30-22,MN,Pine,27115,9431,6527,548,100.00,100.00
2024-11-05T15-30-22,MN,Pipestone,27117,3154,1468,128,100.00,100.00
2024-11-05T15-30-22,MN,Polk,27119,8558,6133,399,100.00,100.00
2024-11-05T15-30-22,MN,Pope,27121,3768,3160,198,100.00,100.00
2024-11-05T15-30-22,MN,Ramsey,27123,60719,198504,9827,100.00,100.00
2024-11-05T15-30-22,MN,Red Lake,27125,1127,886,70,100.00,100.00
2024-11-05T15-30-22,MN,Redwood,27127,4937,3075,218,100.00,100.00
2024-11-05T15-30-22,MN,Renville,27129,4488,3231,225,100.00,100.00
2024-11-05T15-30-22,MN,Rice,27131,15362,19235,1073,100.00,100.00
2024-11-05T15-30-22,MN,Rock,27133,3283,1810,181,100.00,100.00
2024-11-05T15-30-22,MN,Roseau,27135,5262,2843,238,100.00,100.00
2024-11-05T15-30-22,MN,St. Louis,27137,41273,72294,3579,100.00,100.00
2024-11-05T15-30-22,MN,Scott,27139,41018,44408,2890,100.00,100.00
2024-11-05T15-30-22,MN,Sherburne,27141,33341,21183,2047,100.00,100.00
2024-11-05T15-30-22,MN,Sibley,27143,4949,3199,253,100.00,100.00
2024-11-05T15-30-22,MN,Stearns,27145,45225,36587,2662,100.00,100.00
2024-11-05T15-30-22,MN,Steele,27147,10601,9089,748,100.00,100.00
2024-11-05T15-30-22,MN,Stevens,27149,2667,2266,119,100.00,100.00
2024-11-05T15-30-22,MN,Swift,27151,2667,2164,135,100.00,100.00
2024-11-05T15-30-22,MN,Todd,27153,8651,4403,403,100.00,100.00
2024-11-05T15-30-22,MN,Traverse,27155,906,815,58,100.00,100.00
2024-11-05T15-30-22,MN,Wabasha,27157,7194,5730,395,100.00,100.00
2024-11-05T15-30-22,MN,Wadena,27159,5295,2398,199,100.00,100.00
2024-11-05T15-30-22,MN,Waseca,27161,5789,4206,291,100.00,100.00
2024-11-05T15-30-22,MN,Washington,27163,64562,96678,5191,100.00,100.00
2024-11-05T15-30-22,MN,Watonwan,27165,2488,2174,168,100.00,100.00
2024-11-05T15-30-22,MN,Wilkin,27167,1875,1298,111,100.00,100.00
2024-11-05T15-30-22,MN,Winona,27169,12806,13474,835,100.00,100.00
2024-11-05T15-30-22,MN,Wright,27171,49500,35333,2947,100.00,100.00
2024-11-05T15-30-22,MN,Yellow Medicine,27173,3103,2121,135,100.00,100.00
