timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MO,Adair,29001,6589,3307,279,100.00,100.00
2024-11-05T15-30-22,MO,Andrew,29003,7002,2490,228,100.00,100.00
2024-11-05T15-30-22,MO,Atchison,29005,2052,479,92,100.00,100.00
2024-11-05T15-30-22,MO,Audrain,29007,7172,2893,312,100.00,100.00
2024-11-05T15-30-22,MO,Barry,29009,12423,3169,392,100.00,100.00
2024-11-05T15-30-22,MO,Barton,29011,4958,836,122,100.00,100.00
2024-11-05T15-30-22,MO,Bates,29013,6100,1924,203,100.00,100.00
2024-11-05T15-30-22,MO,Benton,29015,7966,2468,256,100.00,100.00
2024-11-05T15-30-22,MO,Bollinger,29017,5244,750,108,100.00,100.00
2024-11-05T15-30-22,MO,Boone,29019,37557,49327,2438,100.00,100.00
2024-11-05T15-30-22,MO,Buchanan,29021,21451,13017,922,100.00,100.00
2024-11-05T15-30-22,MO,Butler,29023,14267,3107,326,100.00,100.00
2024-11-05T15-30-22,MO,Caldwell,29025,3506,1036,127,100.00,100.00
2024-11-05T15-30-22,MO,Callaway,29027,14110,6598,550,100.00,100.00
2024-11-05T15-30-22,MO,Camden,29029,18505,6294,484,100.00,100.00
2024-11-05T15-30-22,MO,Cape Girardeau,29031,28864,10089,992,100.00,100.00
2024-11-05T15-30-22,MO,Carroll,29033,3395,955,112,100.00,100.00
2024-11-05T15-30-22,MO,Carter,29035,2403,379,43,100.00,100.00
2024-11-05T15-30-22,MO,Cass,29037,36053,21081,1674,100.00,100.00
2024-11-05T15-30-22,MO,Cedar,29039,5649,1260,189,100.00,100.00
2024-11-05T15-30-22,MO,Chariton,29041,2887,1052,96,100.00,100.00
2024-11-05T15-30-22,MO,Christian,29043,37040,12465,1039,100.00,100.00
2024-11-05T15-30-22,MO,Clark,29045,2539,617,115,100.00,100.00
2024-11-05T15-30-22,MO,Clay,29047,63337,62452,3420,100.00,100.00
2024-11-05T15-30-22,MO,Clinton,29049,7614,3217,276,100.00,100.00
2024-11-05T15-30-22,MO,Cole,29051,25034,13896,966,100.00,100.00
2024-11-05T15-30-22,MO,Cooper,29053,6028,2566,193,100.00,100.00
2024-11-05T15-30-22,MO,Crawford,29055,8220,2305,191,100.00,100.00
2024-11-05T15-30-22,MO,Dade,29057,3284,770,88,100.00,100.00
2024-11-05T15-30-22,MO,Dallas,29059,6504,1645,219,100.00,100.00
2024-11-05T15-30-22,MO,Daviess,29061,2934,864,112,100.00,100.00
2024-11-05T15-30-22,MO,DeKalb,29063,3610,1026,127,100.00,100.00
2024-11-05T15-30-22,MO,Dent,29065,5662,1181,180,100.00,100.00
2024-11-05T15-30-22,MO,Douglas,29067,5866,1165,159,100.00,100.00
2024-11-05T15-30-22,MO,Dunklin,29069,7786,1794,276,100.00,100.00
2024-11-05T15-30-22,MO,Franklin,29071,36907,16597,1400,100.00,100.00
2024-11-05T15-30-22,MO,Gasconade,29073,5976,1808,136,100.00,100.00
2024-11-05T15-30-22,MO,Gentry,29075,2450,735,70,100.00,100.00
2024-11-05T15-30-22,MO,Greene,29077,82303,57542,3600,100.00,100.00
2024-11-05T15-30-22,MO,Grundy,29079,3420,869,75,100.00,100.00
2024-11-05T15-30-22,MO,Harrison,29081,3105,648,56,100.00,100.00
2024-11-05T15-30-22,MO,Henry,29083,7617,2856,321,100.00,100.00
2024-11-05T15-30-22,MO,Hickory,29085,3818,1111,136,100.00,100.00
2024-11-05T15-30-22,MO,Holt,29087,1873,401,43,100.00,100.00
2024-11-05T15-30-22,MO,Howard,29089,3262,1513,123,100.00,100.00
2024-11-05T15-30-22,MO,Howell,29091,14932,3414,400,100.00,100.00
2024-11-05T15-30-22,MO,Iron,29093,3289,1014,127,100.00,100.00
2024-11-05T15-30-22,MO,Jackson County,29095,117054,189008,9408,100.00,100.00
2024-11-05T15-30-22,MO,Jasper,29097,38129,13518,1810,100.00,100.00
2024-11-05T15-30-22,MO,Jefferson,29099,73111,41469,3162,100.00,100.00
2024-11-05T15-30-22,MO,Johnson,29101,15269,7462,670,100.00,100.00
2024-11-05T15-30-22,MO,Knox,29103,1406,307,41,100.00,100.00
2024-11-05T15-30-22,MO,LaClede,29105,13600,3073,347,100.00,100.00
2024-11-05T15-30-22,MO,Lafayette,29107,11895,4927,349,100.00,100.00
2024-11-05T15-30-22,MO,Lawrence,29109,14138,3625,460,100.00,100.00
2024-11-05T15-30-22,MO,Lewis,29111,3460,833,130,100.00,100.00
2024-11-05T15-30-22,MO,Lincoln,29113,22811,8071,803,100.00,100.00
2024-11-05T15-30-22,MO,Linn,29115,4028,1424,168,100.00,100.00
2024-11-05T15-30-22,MO,Livingston,29117,5077,1598,108,100.00,100.00
2024-11-05T15-30-22,MO,McDonald,29119,7620,1428,196,100.00,100.00
2024-11-05T15-30-22,MO,Macon,29121,6111,1529,119,100.00,100.00
2024-11-05T15-30-22,MO,Madison,29123,4465,1068,144,100.00,100.00
2024-11-05T15-30-22,MO,Maries,29125,3822,873,69,100.00,100.00
2024-11-05T15-30-22,MO,Marion,29127,9642,3032,318,100.00,100.00
2024-11-05T15-30-22,MO,Mercer,29129,1475,273,29,100.00,100.00
2024-11-05T15-30-22,MO,Miller,29131,10194,2366,286,100.00,100.00
2024-11-05T15-30-22,MO,Mississippi,29133,3263,942,146,100.00,100.00
2024-11-05T15-30-22,MO,Moniteau,29135,5469,1572,159,100.00,100.00
2024-11-05T15-30-22,MO,Monroe,29137,3256,962,91,100.00,100.00
2024-11-05T15-30-22,MO,Montgomery,29139,4497,1329,116,100.00,100.00
2024-11-05T15-30-22,MO,Morgan,29141,7243,2138,227,100.00,100.00
2024-11-05T15-30-22,MO,New Madrid,29143,5068,1433,185,100.00,100.00
2024-11-05T15-30-22,MO,Newton,29145,22381,5860,739,100.00,100.00
2024-11-05T15-30-22,MO,Nodaway,29147,6562,2849,207,100.00,100.00
2024-11-05T15-30-22,MO,Oregon,29149,3635,786,122,100.00,100.00
2024-11-05T15-30-22,MO,Osage,29151,6337,1257,105,100.00,100.00
2024-11-05T15-30-22,MO,Ozark,29153,3802,791,107,100.00,100.00
2024-11-05T15-30-22,MO,Pemiscot,29155,3735,1260,106,100.00,100.00
2024-11-05T15-30-22,MO,Perry,29157,7619,1753,197,100.00,100.00
2024-11-05T15-30-22,MO,Pettis,29159,13134,5101,480,100.00,100.00
2024-11-05T15-30-22,MO,Phelps,29161,13014,5662,481,100.00,100.00
2024-11-05T15-30-22,MO,Pike,29163,5754,1856,133,100.00,100.00
2024-11-05T15-30-22,MO,Platte,29165,28061,28351,1341,100.00,100.00
2024-11-05T15-30-22,MO,Polk,29167,12204,3234,333,100.00,100.00
2024-11-05T15-30-22,MO,Pulaski,29169,10834,4022,481,100.00,100.00
2024-11-05T15-30-22,MO,Putnam,29171,1937,341,69,100.00,100.00
2024-11-05T15-30-22,MO,Ralls,29173,4404,1181,124,100.00,100.00
2024-11-05T15-30-22,MO,Randolph,29175,7700,2900,315,100.00,100.00
2024-11-05T15-30-22,MO,Ray,29177,7791,3444,307,100.00,100.00
2024-11-05T15-30-22,MO,Reynolds,29179,2343,581,62,100.00,100.00
2024-11-05T15-30-22,MO,Ripley,29181,4739,779,162,100.00,100.00
2024-11-05T15-30-22,MO,St. Charles,29183,121368,97175,5572,100.00,100.00
2024-11-05T15-30-22,MO,St. Clair,29185,3809,1071,91,100.00,100.00
2024-11-05T15-30-22,MO,Ste. Genevieve,29186,6415,2982,196,100.00,100.00
2024-11-05T15-30-22,MO,St. Francois,29187,19573,7899,661,100.00,100.00
2024-11-05T15-30-22,MO,St. Louis County,29189,179628,309428,13435,100.00,100.00
2024-11-05T15-30-22,MO,Saline,29195,5971,3038,274,100.00,100.00
2024-11-05T15-30-22,MO,Schuyler,29197,1513,327,57,100.00,100.00
2024-11-05T15-30-22,MO,Scotland,29199,1473,347,50,100.00,100.00
2024-11-05T15-30-22,MO,Scott,29201,13488,3409,339,100.00,100.00
2024-11-05T15-30-22,MO,Shannon,29203,3088,736,117,100.00,100.00
2024-11-05T15-30-22,MO,Shelby,29205,2535,616,61,100.00,100.00
2024-11-05T15-30-22,MO,Stoddard,29207,11451,1726,258,100.00,100.00
2024-11-05T15-30-22,MO,Stone,29209,14687,3948,319,100.00,100.00
2024-11-05T15-30-22,MO,Sullivan,29211,1957,425,42,100.00,100.00
2024-11-05T15-30-22,MO,Taney,29213,20221,5630,657,100.00,100.00
2024-11-05T15-30-22,MO,Texas,29215,9324,1884,240,100.00,100.00
2024-11-05T15-30-22,MO,Vernon,29217,6778,1835,228,100.00,100.00
2024-11-05T15-30-22,MO,Warren,29219,13858,5579,439,100.00,100.00
2024-11-05T15-30-22,MO,Washington,29221,7648,2183,227,100.00,100.00
2024-11-05T15-30-22,MO,Wayne,29223,4783,840,138,100.00,100.00
2024-11-05T15-30-22,MO,Webster,29225,15163,4074,456,100.00,100.00
2024-11-05T15-30-22,MO,Worth,29227,848,210,22,100.00,100.00
2024-11-05T15-30-22,MO,Wright,29229,7608,1197,139,100.00,100.00
2024-11-05T15-30-22,MO,St. Louis City,29510,18068,93919,3682,100.00,100.00
