timestamp,state,county,fips,trump_votes,harris_votes,other_votes,eevp,state_eevp
2024-11-05T15-30-22,MT,Beaverhead,30001,3707,2024,110,100.00,100.00
2024-11-05T15-30-22,MT,Big Horn,30003,1580,2805,68,100.00,100.00
2024-11-05T15-30-22,MT,Blaine,30005,1192,1814,51,100.00,100.00
2024-11-05T15-30-22,MT,Broadwater,30007,3503,1219,120,100.00,100.00
2024-11-05T15-30-22,MT,Carbon,30009,4459,2794,135,100.00,100.00
2024-11-05T15-30-22,MT,Carter,30011,732,109,13,100.00,100.00
2024-11-05T15-30-22,MT,Cascade,30013,19808,17323,746,100.00,100.00
2024-11-05T15-30-22,MT,Chouteau,30015,1643,1274,44,100.00,100.00
2024-11-05T15-30-22,MT,Custer,30017,3818,1855,147,100.00,100.00
2024-11-05T15-30-22,MT,Daniels,30019,719,220,15,100.00,100.00
2024-11-05T15-30-22,MT,Dawson,30021,3269,1259,125,100.00,100.00
2024-11-05T15-30-22,MT,Deer Lodge,30023,1820,2991,99,100.00,100.00
2024-11-05T15-30-22,MT,Fallon,30025,1200,256,39,100.00,100.00
2024-11-05T15-30-22,MT,Fergus,30027,4749,1910,104,100.00,100.00
2024-11-05T15-30-22,MT,Flathead,30029,38582,23647,1313,100.00,100.00
2024-11-05T15-30-22,MT,Gallatin,30031,30537,39094,924,100.00,100.00
2024-11-05T15-30-22,MT,Garfield,30033,720,68,8,100.00,100.00
2024-11-05T15-30-22,MT,Glacier,30035,1426,3638,70,100.00,100.00
2024-11-05T15-30-22,MT,Golden Valley,30037,422,91,7,100.00,100.00
2024-11-05T15-30-22,MT,Granite,30039,1377,778,30,100.00,100.00
2024-11-05T15-30-22,MT,Hill,30041,3217,3438,177,100.00,100.00
2024-11-05T15-30-22,MT,Jefferson,30043,5108,3099,146,100.00,100.00
2024-11-05T15-30-22,MT,Judith Basin,30045,991,352,17,100.00,100.00
2024-11-05T15-30-22,MT,Lake,30047,8881,7798,314,100.00,100.00
2024-11-05T15-30-22,MT,Lewis and Clark,30049,19367,22175,847,100.00,100.00
2024-11-05T15-30-22,MT,Liberty,30051,683,307,12,100.00,100.00
2024-11-05T15-30-22,MT,Lincoln,30053,8291,3287,241,100.00,100.00
2024-11-05T15-30-22,MT,McCone,30055,890,173,22,100.00,100.00
2024-11-05T15-30-22,MT,Madison,30057,4388,2025,101,100.00,100.00
2024-11-05T15-30-22,MT,Meagher,30059,845,309,26,100.00,100.00
2024-11-05T15-30-22,MT,Mineral,30061,1831,950,68,100.00,100.00
2024-11-05T15-30-22,MT,Missoula,30063,23743,48429,1200,100.00,100.00
2024-11-05T15-30-22,MT,Musselshell,30065,2408,536,61,100.00,100.00
2024-11-05T15-30-22,MT,Park,30067,5614,6009,193,100.00,100.00
2024-11-05T15-30-22,MT,Petroleum,30069,274,50,4,100.00,100.00
2024-11-05T15-30-22,MT,Phillips,30071,1678,490,32,100.00,100.00
2024-11-05T15-30-22,MT,Pondera,30073,1804,1017,45,100.00,100.00
2024-11-05T15-30-22,MT,Powder River,30075,886,205,19,100.00,100.00
2024-11-05T15-30-22,MT,Powell,30077,2160,1065,76,100.00,100.00
2024-11-05T15-30-22,MT,Prairie,30079,489,180,24,100.00,100.00
2024-11-05T15-30-22,MT,Ravalli,30081,19116,10449,482,100.00,100.00
2024-11-05T15-30-22,MT,Richland,30083,3914,1238,148,100.00,100.00
2024-11-05T15-30-22,MT,Roosevelt,30085,1636,2249,73,100.00,100.00
2024-11-05T15-30-22,MT,Rosebud,30087,2208,1435,81,100.00,100.00
2024-11-05T15-30-22,MT,Sanders,30089,5663,2241,202,100.00,100.00
2024-11-05T15-30-22,MT,Sheridan,30091,1159,685,53,100.00,100.00
2024-11-05T15-30-22,MT,Silver Bow,30093,6232,11854,332,100.00,100.00
2024-11-05T15-30-22,MT,Stillwater,30095,4473,1352,107,100.00,100.00
2024-11-05T15-30-22,MT,Sweet Grass,30097,1685,665,52,100.00,100.00
2024-11-05T15-30-22,MT,Teton,30099,2323,1216,67,100.00,100.00
2024-11-05T15-30-22,MT,Toole,30101,1436,558,50,100.00,100.00
2024-11-05T15-30-22,MT,Treasure,30103,336,101,10,100.00,100.00
2024-11-05T15-30-22,MT,Valley,30105,2672,1307,114,100.00,100.00
2024-11-05T15-30-22,MT,Wheatland,30107,792,278,16,100.00,100.00
2024-11-05T15-30-22,MT,Wibaux,30109,414,121,15,100.00,100.00
2024-11-05T15-30-22,MT,Yellowstone,30111,46812,33493,1680,100.00,100.00
